1stFlrSF,MSSubClass
1039,190.0
1040,42.5
1041,40.0
1042,50.0
1044,20.0
1047,30.0
1048,33.75
1050,37.5
1051,60.0
1052,58.333333333333336
1053,37.5
1054,52.5
1055,60.0
1056,60.0
1057,40.0
1058,60.0
1060,70.0
1061,60.0
1062,70.0
1063,20.0
1064,160.0
1065,40.0
1067,35.0
1068,20.0
1069,120.0
1071,60.0
1072,132.0
1073,25.0
1074,20.0
1075,75.0
1077,83.33333333333333
1078,20.0
1079,60.0
1080,34.0
1082,40.0
1085,50.0
1086,55.0
1088,68.0
1089,70.0
1090,20.0
1091,60.0
1092,30.0
1094,50.0
1095,106.66666666666667
1096,40.0
1097,33.333333333333336
1098,46.666666666666664
1099,20.0
1100,20.0
1103,30.0
1104,50.0
1105,90.0
1107,60.0
1108,52.5
1110,85.0
1112,43.333333333333336
1113,33.333333333333336
1114,20.0
1116,20.0
1117,80.0
1118,70.0
1120,48.0
1121,20.0
1122,40.0
1124,20.0
1125,50.0
1126,20.0
1127,60.0
1128,37.5
1130,45.0
1131,30.0
1132,40.0
1133,55.0
1134,51.666666666666664
1136,50.0
1137,35.0
1138,80.0
1140,50.0
1141,20.0
1142,80.0
1143,60.0
1144,32.0
1145,90.0
1146,80.0
1148,30.0
1149,50.0
1150,20.0
1152,63.333333333333336
1153,60.0
1154,20.0
1155,85.0
1156,60.0
1158,40.0
1159,20.0
1160,55.0
1161,60.0
1163,35.0
1164,82.5
1165,70.0
1166,63.333333333333336
1167,25.0
1168,55.0
1170,70.0
1172,50.0
1173,85.0
1175,60.0
1178,45.0
1180,45.0
1181,85.0
1182,60.0
1184,60.0
1186,60.0
1187,50.0
1188,40.0
1190,125.0
1192,50.0
1194,20.0
1195,60.0
1196,25.0
1199,120.0
1200,36.0
1203,60.0
1204,120.0
1207,70.0
1208,20.0
1210,60.0
1211,20.0
1212,40.0
1214,33.333333333333336
1215,20.0
1216,76.66666666666667
1217,80.0
1218,20.0
1220,33.333333333333336
1221,105.0
1222,70.0
1223,60.0
1224,100.0
1225,20.0
1226,35.0
1228,70.0
1229,20.0
1232,20.0
1234,40.0
1235,20.0
1236,38.0
1238,60.0
1240,20.0
1241,120.0
1242,20.0
1244,20.0
1246,105.0
1247,120.0
1248,120.0
1249,60.0
1251,20.0
1252,30.0
1253,20.0
1256,20.0
1258,76.66666666666667
1260,190.0
1261,20.0
1262,20.0
1264,40.0
1265,80.0
1266,20.0
1268,33.333333333333336
1269,70.0
1272,90.0
1274,20.0
1276,50.0
1277,40.0
1279,20.0
1281,50.0
1282,60.0
1283,20.0
1284,60.0
1285,20.0
1287,20.0
1288,120.0
1291,140.0
1294,20.0
1296,55.0
1297,20.0
1298,40.0
1299,60.0
1301,36.666666666666664
1302,63.333333333333336
1304,50.0
1306,57.5
1307,50.0
1309,20.0
1310,40.0
1314,60.0
1316,20.0
1318,90.0
1319,20.0
1320,75.0
1324,70.0
1325,60.0
1327,20.0
1328,37.5
1332,40.0
1334,20.0
1336,190.0
1337,95.0
1338,105.0
1339,20.0
1340,20.0
1342,20.0
1344,43.333333333333336
1349,20.0
1350,50.0
1352,86.66666666666667
1357,80.0
1358,120.0
1360,91.66666666666667
1361,90.0
1362,63.333333333333336
1363,20.0
1364,120.0
1368,120.0
1370,70.0
1372,40.0
1375,20.0
1377,50.0
1378,75.0
1381,20.0
1382,50.0
1383,33.333333333333336
1389,20.0
1390,50.0
1391,90.0
1392,36.0
1394,20.0
1402,120.0
1405,120.0
1407,60.0
1411,20.0
1412,20.0
1414,53.333333333333336
1416,30.0
1419,20.0
1422,62.0
1423,70.0
1425,20.0
1426,60.0
1428,20.0
1429,20.0
1430,20.0
1431,50.0
1432,80.0
1434,20.0
1436,45.0
1437,20.0
1440,97.5
1442,20.0
1444,50.0
1445,77.5
1453,90.0
1454,60.0
1456,120.0
1459,20.0
1462,60.0
1464,50.0
1465,60.0
1466,33.333333333333336
1468,40.0
1470,60.0
1472,80.0
1473,20.0
1476,60.0
1478,20.0
1479,20.0
1482,60.0
1484,20.0
1486,20.0
1489,20.0
1490,60.0
1493,20.0
1494,40.0
1496,35.0
1498,20.0
1500,66.66666666666667
1501,20.0
1502,70.0
1504,86.66666666666667
1505,20.0
1506,70.0
1507,80.0
1509,80.0
1512,60.0
1516,40.0
1518,81.66666666666667
1520,80.0
1521,75.0
1523,20.0
1525,20.0
1526,20.0
1530,20.0
1532,60.0
1533,20.0
1535,66.66666666666667
1536,20.0
1537,20.0
1541,20.0
1542,60.0
1547,60.0
1548,60.0
1549,70.0
1552,20.0
1553,60.0
1554,120.0
1555,120.0
1557,120.0
1559,30.0
1560,20.0
1561,120.0
1563,20.0
1566,20.0
1567,70.0
1569,120.0
1571,20.0
1572,40.0
1573,20.0
1574,20.0
1575,100.0
1576,70.0
1578,20.0
1580,40.0
1582,20.0
1584,70.0
1586,20.0
1588,20.0
1593,120.0
1600,20.0
1601,20.0
1602,20.0
1604,20.0
1610,40.0
1614,20.0
1616,70.0
1617,120.0
1619,190.0
1620,20.0
1621,20.0
1622,190.0
1624,20.0
1625,120.0
1629,20.0
1630,20.0
1632,55.0
1634,20.0
1636,35.0
1640,20.0
1644,50.0
1646,53.333333333333336
1647,20.0
1651,20.0
1652,86.66666666666667
1654,20.0
1656,43.333333333333336
1657,20.0
1659,120.0
1660,20.0
1661,50.0
1663,20.0
1664,70.0
1668,20.0
1670,20.0
1675,75.0
1679,20.0
1680,43.333333333333336
1682,20.0
1684,120.0
1686,40.0
1687,47.5
1689,20.0
1690,60.0
1694,20.0
1696,20.0
1698,20.0
1699,55.0
1700,20.0
1701,85.0
1702,120.0
1704,20.0
1707,20.0
1709,120.0
1710,20.0
1712,90.0
1713,20.0
1717,20.0
1718,20.0
1719,120.0
1720,20.0
1721,20.0
1724,80.0
1726,20.0
1728,85.0
1733,20.0
1734,33.333333333333336
1742,90.0
1746,20.0
1752,120.0
1766,105.0
1768,90.0
1771,20.0
1776,55.0
1779,20.0
1787,20.0
1788,20.0
1792,20.0
1795,20.0
1800,43.333333333333336
1801,20.0
1803,20.0
1811,20.0
1824,20.0
1826,20.0
1828,20.0
1831,60.0
1836,20.0
1838,20.0
1839,20.0
1842,20.0
1844,20.0
1848,60.0
1850,20.0
1856,20.0
1867,20.0
1869,120.0
1872,20.0
1888,20.0
1898,80.0
1902,20.0
1905,20.0
1922,20.0
1932,20.0
1940,45.0
1944,20.0
1959,90.0
1966,60.0
1968,50.0
1973,20.0
1976,20.0
1980,20.0
1987,20.0
1992,60.0
2000,50.0
2018,20.0
2020,55.0
2028,20.0
2036,20.0
2042,20.0
2046,20.0
2053,50.0
2069,40.0
2073,20.0
2076,20.0
2084,20.0
2097,20.0
2110,20.0
2113,20.0
2117,20.0
2121,20.0
2129,50.0
2136,20.0
2156,20.0
2158,20.0
2196,20.0
2207,20.0
2217,20.0
2223,20.0
2234,20.0
2259,20.0
2364,20.0
2392,20.0
2402,20.0
2411,60.0
2444,60.0
2515,20.0
2524,20.0
2633,20.0
2898,20.0
3138,60.0
3228,20.0
4692,60.0
