SalePrice,GarageYrBlt
250000,1985.75
250580,2008.0
251000,2000.0
252000,2005.0
252678,2009.0
253000,2005.0
253293,2009.0
254000,2006.0
254900,2004.0
255000,2004.0
255500,2006.0
255900,2002.0
256000,1937.0
256300,2007.0
257000,2005.0
257500,1957.0
258000,1998.0
259000,2004.0
259500,1945.0
260000,1992.6666666666667
260400,1996.0
261500,2001.0
262000,1994.0
262280,1990.0
262500,1988.0
263000,2003.0
263435,2009.0
264132,2008.0
264561,2006.0
265000,1996.0
265900,2006.0
265979,1950.0
266000,2005.5
266500,1941.0
267000,1998.0
268000,1981.0
269500,2009.0
269790,1997.0
270000,2001.0
271000,1998.0
271900,1990.0
272000,1989.0
274000,2003.0
274300,1998.0
274725,2006.0
274900,2004.0
274970,1966.0
275000,1996.4
275500,2005.0
276000,2007.0
277000,1973.0
277500,2005.0
278000,1990.5
279500,2006.0
280000,1995.75
281000,2006.0
281213,2005.0
282922,2007.0
283463,2006.0
284000,2003.0
285000,1999.0
286000,2001.0
287000,1988.5
287090,2008.0
289000,1959.0
290000,1997.8
293077,2008.0
294000,1974.0
295000,2003.0
295493,2008.0
297000,2007.0
299800,1994.0
301000,1987.0
301500,1994.0
302000,1980.5
303477,2007.0
305000,2003.0
305900,2004.0
306000,2008.0
307000,2004.0
309000,2004.0
310000,2000.5
311500,1939.0
311872,2007.0
312500,2002.0
313000,2000.0
314813,2007.0
315000,1985.0
315500,2008.0
315750,1996.0
316600,1983.0
317000,2004.0
318000,2007.0
318061,2007.0
319000,2005.0
319900,2005.0
320000,2002.25
324000,1993.0
325000,1998.25
325300,2005.0
325624,2007.0
326000,2004.0
328000,1996.0
328900,1999.0
333168,1999.0
335000,1985.3333333333333
336000,1998.0
337000,1999.0
337500,2008.0
339750,2008.0
340000,2001.0
341000,1993.0
342643,2006.0
345000,1988.5
348000,1997.0
350000,1999.5
354000,2004.0
359100,1934.0
360000,2003.0
361919,2006.0
367294,2008.0
369900,2005.0
370878,2009.0
372402,2007.0
372500,2008.0
374000,2003.0
375000,1965.0
377426,2005.0
377500,2006.0
378500,2009.0
380000,2006.0
381000,1982.0
383970,2007.0
385000,1994.0
386250,2003.0
392000,2007.0
392500,2008.0
394432,2010.0
394617,2008.0
395000,2006.0
395192,2010.0
402000,1994.0
402861,2009.0
403000,1995.0
410000,1996.0
412500,2003.0
415298,2007.0
423000,2005.0
424870,2006.0
426000,2008.0
430000,1992.0
437154,2006.0
438780,2006.0
440000,2006.0
446261,2008.0
451950,2008.0
465000,2006.0
466500,2001.0
475000,1993.0
485000,2009.0
501837,2009.0
538000,2003.0
555000,2008.0
556581,2005.0
582933,2009.0
611657,2009.0
625000,1995.0
745000,1996.0
755000,1994.0
