1stFlrSF,2ndFlrSF
1014,707.5
1015,0.0
1020,934.0
1021,580.0
1022,705.5
1024,940.0
1026,515.6
1028,388.0
1029,0.0
1032,333.3333333333333
1034,0.0
1035,371.0
1036,0.0
1038,1060.0
1039,0.0
1040,107.8125
1041,351.0
1042,534.0
1044,0.0
1047,0.0
1048,127.5
1050,443.25
1051,788.0
1052,240.0
1053,433.5
1054,0.0
1055,999.0
1056,0.0
1057,462.25
1058,846.0
1060,254.66666666666666
1061,862.0
1062,443.5
1063,0.0
1064,703.0
1065,423.0
1067,236.0
1068,0.0
1069,0.0
1071,1101.0
1072,143.4
1073,0.0
1074,0.0
1075,1063.0
1077,0.0
1078,0.0
1079,857.0
1080,337.8
1082,435.5
1085,649.0
1086,411.75
1088,440.4
1089,661.0
1090,0.0
1091,898.0
1092,255.0
1094,380.5
1095,507.6666666666667
1096,421.6666666666667
1097,298.6666666666667
1098,582.0
1099,0.0
1100,0.0
1103,0.0
1104,684.0
1105,1169.0
1107,983.0
1108,494.5
1110,0.0
1112,630.0
1113,286.0
1114,0.0
1116,0.0
1117,0.0
1118,456.0
1120,487.6
1121,0.0
1122,560.5
1124,0.0
1125,0.0
1126,0.0
1127,868.0
1128,337.0
1130,527.0
1131,0.0
1132,660.0
1133,1018.0
1134,764.6666666666666
1136,745.75
1137,408.5
1138,0.0
1140,364.0
1141,0.0
1142,557.0
1143,1330.0
1144,0.0
1145,526.5
1146,0.0
1148,189.33333333333334
1149,804.0
1150,0.0
1152,0.0
1153,1039.0
1154,0.0
1155,0.0
1156,866.0
1158,609.0
1159,0.0
1160,707.0
1161,808.0
1163,255.5
1164,500.5
1165,549.0
1166,376.3333333333333
1167,0.0
1168,739.0
1170,1175.0
1172,741.0
1173,0.0
1175,1173.5
1178,516.0
1180,441.0
1181,0.0
1182,1051.0
1184,1426.0
1186,800.0
1187,530.0
1188,428.25
1190,450.0
1192,403.0
1194,0.0
1195,644.0
1196,0.0
1199,0.0
1200,0.0
1203,1323.0
1204,0.0
1207,1196.0
1208,0.0
1210,1242.0
1211,0.0
1212,0.0
1214,435.3333333333333
1215,0.0
1216,526.6666666666666
1217,0.0
1218,0.0
1220,290.0
1221,345.5
1222,793.0
1223,904.0
1224,0.0
1225,0.0
1226,296.0
1228,0.0
1229,0.0
1232,0.0
1234,570.0
1235,0.0
1236,345.8
1238,1281.0
1240,0.0
1241,0.0
1242,0.0
1244,0.0
1246,522.0
1247,0.0
1248,0.0
1249,1347.0
1251,0.0
1252,222.66666666666666
1253,0.0
1256,0.0
1258,0.0
1260,1031.0
1261,0.0
1262,0.0
1264,656.0
1265,0.0
1266,0.0
1268,365.6666666666667
1269,0.0
1272,928.0
1274,0.0
1276,713.3333333333334
1277,533.5
1279,0.0
1281,457.0
1282,1414.0
1283,0.0
1284,885.0
1285,0.0
1287,0.0
1288,0.0
1291,615.0
1294,0.0
1296,0.0
1297,0.0
1298,608.0
1299,573.0
1301,372.0
1302,144.0
1304,983.0
1306,238.5
1307,1051.0
1309,0.0
1310,570.0
1314,0.0
1316,0.0
1318,584.0
1319,0.0
1320,660.0
1324,0.0
1325,1093.0
1327,0.0
1328,464.0
1332,192.0
1334,0.0
1336,0.0
1337,0.0
1338,648.0
1339,0.0
1340,0.0
1342,0.0
1344,0.0
1349,0.0
1350,0.0
1352,389.3333333333333
1357,0.0
1358,0.0
1360,453.3333333333333
1361,1259.0
1362,240.0
1363,0.0
1364,0.0
1368,0.0
1370,418.0
1372,637.0
1375,0.0
1377,806.0
1378,867.5
1381,0.0
1382,0.0
1383,338.3333333333333
1389,0.0
1390,304.0
1391,285.5
1392,492.4
1394,0.0
1402,0.0
1405,0.0
1407,985.0
1411,0.0
1412,0.0
1414,0.0
1416,0.0
1419,0.0
1422,418.4
1423,748.0
1425,0.0
1426,1519.0
1428,0.0
1429,0.0
1430,0.0
1431,0.0
1432,0.0
1434,0.0
1436,442.0
1437,0.0
1440,360.0
1442,0.0
1444,700.0
1445,344.5
1453,678.5
1454,482.0
1456,0.0
1459,0.0
1462,762.0
1464,0.0
1465,915.0
1466,454.0
1468,397.5
1470,1160.0
1472,0.0
1473,0.0
1476,957.0
1478,0.0
1479,0.0
1482,936.0
1484,0.0
1486,0.0
1489,0.0
1490,1304.0
1493,0.0
1494,0.0
1496,318.0
1498,0.0
1500,374.0
1501,0.0
1502,0.0
1504,0.0
1505,0.0
1506,0.0
1507,0.0
1509,0.0
1512,1142.0
1516,325.5
1518,716.3333333333334
1520,0.0
1521,1254.0
1523,0.0
1525,0.0
1526,0.0
1530,0.0
1532,797.0
1533,0.0
1535,0.0
1536,0.0
1537,0.0
1541,0.0
1542,1330.0
1547,720.0
1548,1066.0
1549,1178.0
1552,0.0
1553,1177.0
1554,0.0
1555,0.0
1557,0.0
1559,0.0
1560,0.0
1561,0.0
1563,0.0
1566,0.0
1567,0.0
1569,0.0
1571,0.0
1572,548.0
1573,0.0
1574,0.0
1575,313.0
1576,978.0
1578,0.0
1580,443.0
1582,0.0
1584,604.0
1586,0.0
1588,0.0
1593,0.0
1600,0.0
1601,0.0
1602,0.0
1604,0.0
1610,275.5
1614,0.0
1616,0.0
1617,0.0
1619,167.0
1620,0.0
1621,0.0
1622,0.0
1624,0.0
1625,0.0
1629,0.0
1630,0.0
1632,0.0
1634,0.0
1636,485.5
1640,0.0
1644,0.0
1646,0.0
1647,0.0
1651,0.0
1652,0.0
1654,0.0
1656,0.0
1657,0.0
1659,0.0
1660,0.0
1661,0.0
1663,0.0
1664,431.0
1668,0.0
1670,0.0
1675,1818.0
1679,0.0
1680,0.0
1682,0.0
1684,0.0
1686,381.0
1687,499.0
1689,0.0
1690,1589.0
1694,0.0
1696,0.0
1698,0.0
1699,1135.5
1700,0.0
1701,0.0
1702,0.0
1704,0.0
1707,0.0
1709,0.0
1710,0.0
1712,0.0
1713,0.0
1717,0.0
1718,0.0
1719,0.0
1720,0.0
1721,0.0
1724,0.0
1726,0.0
1728,94.66666666666667
1733,0.0
1734,362.6666666666667
1742,295.0
1746,0.0
1752,0.0
1766,324.0
1768,0.0
1771,0.0
1776,0.0
1779,0.0
1787,0.0
1788,0.0
1792,0.0
1795,0.0
1800,0.0
1801,0.0
1803,0.0
1811,0.0
1824,0.0
1826,0.0
1828,0.0
1831,1796.0
1836,0.0
1838,0.0
1839,0.0
1842,0.0
1844,0.0
1848,880.0
1850,0.0
1856,0.0
1867,0.0
1869,0.0
1872,0.0
1888,0.0
1898,1080.0
1902,0.0
1905,0.0
1922,0.0
1932,0.0
1940,627.0
1944,0.0
1959,0.0
1966,1174.0
1968,1479.0
1973,0.0
1976,0.0
1980,0.0
1987,0.0
1992,876.0
2000,352.0
2018,0.0
2020,0.0
2028,0.0
2036,0.0
2042,0.0
2046,0.0
2053,1185.0
2069,287.0
2073,0.0
2076,0.0
2084,0.0
2097,0.0
2110,0.0
2113,0.0
2117,0.0
2121,0.0
2129,743.0
2136,0.0
2156,0.0
2158,0.0
2196,0.0
2207,0.0
2217,0.0
2223,0.0
2234,0.0
2259,0.0
2364,0.0
2392,0.0
2402,0.0
2411,2065.0
2444,1872.0
2515,0.0
2524,0.0
2633,0.0
2898,0.0
3138,1538.0
3228,0.0
4692,950.0
