1stFlrSF,OverallQual
943,5.666666666666667
944,5.333333333333333
948,4.8
949,5.0
950,5.5
951,4.0
952,5.5
953,6.0
954,4.666666666666667
955,6.0
956,7.0
958,5.8
959,6.0
960,4.571428571428571
961,6.0
962,6.0
963,7.0
964,6.0
965,5.0
966,5.0
968,4.666666666666667
969,5.0
970,6.25
971,5.0
972,6.0
974,5.0
975,7.0
976,6.0
977,6.0
979,6.0
980,6.0
981,5.5
983,6.666666666666667
984,5.0
985,5.0
986,6.0
988,5.2
989,4.0
990,4.833333333333333
991,7.0
992,7.0
993,7.5
996,5.5
997,5.666666666666667
998,7.0
999,5.666666666666667
1001,5.5
1002,5.0
1003,6.0
1004,6.5
1005,6.0
1006,6.333333333333333
1007,6.0
1008,5.0
1010,6.0
1012,6.0
1013,3.0
1014,5.0
1015,5.0
1020,6.5
1021,5.0
1022,6.25
1024,5.0
1026,6.8
1028,6.0
1029,4.0
1032,5.666666666666667
1034,6.0
1035,6.0
1036,5.0
1038,8.0
1039,5.0
1040,4.5625
1041,5.5
1042,5.0
1044,5.0
1047,4.0
1048,5.0
1050,5.75
1051,6.0
1052,5.333333333333333
1053,6.0
1054,6.0
1055,7.0
1056,5.0
1057,6.0
1058,8.0
1060,5.333333333333333
1061,7.0
1062,6.5
1063,5.0
1064,7.0
1065,6.5
1067,4.5
1068,6.0
1069,6.0
1071,7.0
1072,5.4
1073,5.0
1074,5.0
1075,5.0
1077,4.333333333333333
1078,5.0
1079,7.0
1080,6.8
1082,7.0
1085,6.0
1086,6.25
1088,6.2
1089,5.0
1090,5.0
1091,8.0
1092,5.5
1094,6.0
1095,6.0
1096,5.333333333333333
1097,5.666666666666667
1098,6.333333333333333
1099,5.0
1100,4.0
1103,6.0
1104,4.0
1105,5.0
1107,7.0
1108,7.0
1110,5.0
1112,6.0
1113,6.0
1114,5.5
1116,6.0
1117,6.0
1118,6.0
1120,5.2
1121,4.5
1122,6.0
1124,5.0
1125,5.5
1126,4.666666666666667
1127,6.5
1128,5.75
1130,7.0
1131,4.0
1132,6.0
1133,7.5
1134,6.666666666666667
1136,6.5
1137,6.5
1138,6.0
1140,5.5
1141,6.0
1142,6.666666666666667
1143,8.0
1144,5.0
1145,7.5
1146,7.0
1148,5.0
1149,7.0
1150,5.0
1152,5.0
1153,7.0
1154,5.0
1155,5.0
1156,7.0
1158,7.0
1159,5.0
1160,5.5
1161,7.0
1163,4.5
1164,6.5
1165,7.0
1166,6.666666666666667
1167,5.5
1168,5.5
1170,6.0
1172,6.0
1173,7.0
1175,7.5
1178,5.5
1180,5.5
1181,4.0
1182,7.5
1184,8.0
1186,7.0
1187,7.0
1188,5.5
1190,6.0
1192,6.0
1194,6.0
1195,7.0
1196,5.0
1199,6.0
1200,5.8
1203,8.0
1204,6.0
1207,7.0
1208,6.666666666666667
1210,8.0
1211,5.0
1212,6.333333333333333
1214,5.666666666666667
1215,6.0
1216,6.333333333333333
1217,7.0
1218,6.0
1220,6.333333333333333
1221,6.5
1222,7.0
1223,7.0
1224,5.0
1225,4.0
1226,7.0
1228,6.5
1229,4.0
1232,6.5
1234,8.0
1235,5.0
1236,5.8
1238,7.0
1240,7.0
1241,7.0
1242,7.0
1244,6.0
1246,4.5
1247,8.0
1248,7.0
1249,9.0
1251,6.0
1252,5.666666666666667
1253,6.5
1256,5.0
1258,5.666666666666667
1260,6.0
1261,6.0
1262,6.0
1264,6.5
1265,5.0
1266,7.0
1268,6.0
1269,6.5
1272,5.0
1274,7.0
1276,6.666666666666667
1277,7.0
1279,6.0
1281,4.0
1282,7.0
1283,5.0
1284,8.0
1285,6.0
1287,5.0
1288,8.0
1291,6.0
1294,6.5
1296,6.0
1297,5.0
1298,6.5
1299,8.0
1301,6.666666666666667
1302,6.0
1304,7.0
1306,5.25
1307,6.0
1309,6.0
1310,7.5
1314,6.6
1316,6.5
1318,6.0
1319,5.0
1320,6.0
1324,7.0
1325,7.0
1327,5.0
1328,5.75
1332,7.0
1334,6.0
1336,5.0
1337,6.75
1338,6.5
1339,6.0
1340,6.0
1342,6.0
1344,6.0
1349,7.0
1350,6.0
1352,6.666666666666667
1357,6.0
1358,7.0
1360,7.0
1361,5.0
1362,6.333333333333333
1363,6.0
1364,7.0
1368,7.0
1370,7.0
1372,7.0
1375,6.0
1377,7.0
1378,5.5
1381,6.0
1382,5.0
1383,6.0
1389,5.0
1390,6.0
1391,7.0
1392,6.2
1394,6.0
1402,7.0
1405,7.0
1407,8.0
1411,7.0
1412,6.0
1414,6.666666666666667
1416,5.0
1419,8.0
1422,6.4
1423,6.0
1425,6.0
1426,10.0
1428,7.0
1429,6.0
1430,7.0
1431,6.5
1432,5.0
1434,7.0
1436,6.5
1437,5.0
1440,5.0
1442,6.5
1444,6.0
1445,6.0
1453,7.5
1454,8.0
1456,8.0
1459,7.0
1462,9.0
1464,6.5
1465,6.0
1466,7.0
1468,7.5
1470,8.0
1472,7.0
1473,5.0
1476,9.0
1478,6.333333333333333
1479,7.0
1482,8.0
1484,6.666666666666667
1486,5.0
1489,7.0
1490,8.0
1493,6.0
1494,7.0
1496,8.0
1498,7.0
1500,7.333333333333333
1501,7.0
1502,7.5
1504,7.0
1505,6.0
1506,8.0
1507,5.0
1509,6.0
1512,6.0
1516,6.5
1518,8.333333333333334
1520,6.0
1521,10.0
1523,6.0
1525,7.0
1526,5.0
1530,7.0
1532,7.0
1533,7.0
1535,5.666666666666667
1536,7.0
1537,6.0
1541,7.0
1542,6.0
1547,5.0
1548,6.0
1549,8.0
1552,7.0
1553,7.0
1554,8.0
1555,7.0
1557,7.0
1559,5.0
1560,7.0
1561,9.0
1563,8.0
1566,8.0
1567,7.0
1569,7.0
1571,8.0
1572,7.0
1573,7.0
1574,8.0
1575,6.0
1576,7.0
1578,8.0
1580,8.0
1582,5.0
1584,5.5
1586,6.0
1588,7.5
1593,8.0
1600,6.5
1601,7.5
1602,6.0
1604,7.0
1610,7.0
1614,7.0
1616,7.5
1617,6.0
1619,5.0
1620,6.5
1621,7.0
1622,4.0
1624,8.0
1625,8.0
1629,8.0
1630,7.5
1632,5.5
1634,8.0
1636,6.5
1640,6.0
1644,6.5
1646,8.0
1647,5.0
1651,6.0
1652,8.333333333333334
1654,7.0
1656,6.333333333333333
1657,6.0
1659,8.0
1660,8.0
1661,6.5
1663,4.0
1664,5.5
1668,8.5
1670,7.0
1675,7.0
1679,6.0
1680,6.0
1682,7.0
1684,9.0
1686,7.0
1687,6.0
1689,7.0
1690,8.0
1694,8.0
1696,5.0
1698,9.0
1699,6.5
1700,5.5
1701,5.0
1702,9.0
1704,8.0
1707,8.0
1709,9.0
1710,7.5
1712,5.0
1713,8.0
1717,8.0
1718,9.0
1719,8.0
1720,7.0
1721,5.0
1724,6.0
1726,7.0
1728,6.0
1733,3.0
1734,8.0
1742,9.0
1746,9.0
1752,9.0
1766,7.0
1768,4.0
1771,5.0
1776,6.5
1779,5.0
1787,8.0
1788,8.0
1792,9.0
1795,8.0
1800,7.333333333333333
1801,7.0
1803,5.0
1811,6.0
1824,7.0
1826,8.0
1828,9.0
1831,10.0
1836,7.5
1838,9.0
1839,6.0
1842,9.0
1844,6.666666666666667
1848,9.0
1850,9.0
1856,9.0
1867,5.0
1869,9.0
1872,7.0
1888,6.0
1898,7.0
1902,7.0
1905,9.0
1922,9.0
1932,8.0
1940,8.5
1944,9.0
1959,7.0
1966,9.0
1968,8.0
1973,8.0
1976,8.0
1980,9.0
1987,8.0
1992,9.0
2000,8.0
2018,9.0
2020,7.5
2028,8.0
2036,7.0
2042,8.0
2046,8.0
2053,8.0
2069,8.0
2073,6.0
2076,10.0
2084,10.0
2097,8.0
2110,7.0
2113,8.0
2117,6.0
2121,9.0
2129,8.0
2136,5.0
2156,7.0
2158,6.0
2196,7.0
2207,7.0
2217,8.0
2223,7.0
2234,9.0
2259,6.0
2364,9.0
2392,10.0
2402,10.0
2411,10.0
2444,10.0
2515,6.0
2524,8.0
2633,10.0
2898,8.0
3138,10.0
3228,8.0
4692,10.0
