LotArea,GarageYrBlt
9464,1958.0
9473,2002.0
9477,1966.0
9480,1942.0
9490,1941.0
9492,1941.0
9500,1963.5
9503,1970.0
9505,2001.0
9520,2008.0
9525,1976.5
9531,1998.0
9541,2009.0
9548,2003.0
9549,1995.0
9550,1998.0
9554,1993.0
9560,1972.0
9571,1957.0
9572,1990.0
9587,2005.0
9588,2007.0
9590,2003.0
9591,2004.0
9600,1953.9130434782608
9612,2008.0
9636,1993.0
9638,1969.0
9650,1977.0
9672,1986.0
9675,2005.0
9717,1950.0
9735,2007.0
9738,1965.0
9742,2002.0
9750,1978.4
9758,1981.0
9760,1964.0
9764,1967.0
9765,1993.0
9786,1942.0
9790,1965.0
9800,1975.0
9803,2005.0
9808,2002.0
9819,1973.5
9825,
9828,1995.0
9830,1997.0
9842,1980.0
9849,2007.0
9855,1956.0
9858,1968.0
9873,1970.0
9880,1977.0
9900,1957.75
9906,1940.0
9920,1973.3333333333333
9937,1966.5
9938,1993.0
9945,1963.0
9947,1990.0
9950,1995.0
9965,2006.5
9967,2000.0
9986,2007.0
9991,1993.0
10000,1979.4
10004,1964.0
10005,1977.0
10007,1959.0
10010,1975.0
10011,1957.0
10012,1974.0
10020,
10029,1988.0
10041,1992.0
10083,2003.0
10084,2004.5
10106,
10120,1977.0
10125,1978.5
10134,1940.0
10140,1979.4
10141,1998.0
10142,2004.0
10150,1958.0
10152,1956.0
10159,2010.0
10171,2004.0
10175,1964.0
10182,2006.0
10186,1992.0
10192,1968.0
10197,1961.0
10200,1972.3333333333333
10205,1962.0
10206,1981.5
10207,2007.0
10208,1996.0
10215,1954.0
10226,2008.0
10237,2005.0
10240,1992.5
10246,1965.0
10261,2000.0
10264,1999.0
10267,1961.0
10289,1965.0
10300,1990.0
10304,1976.0
10316,2000.0
10320,1906.0
10335,1983.5
10355,1967.0
10356,1975.0
10357,1990.0
10364,1995.0
10380,1987.0
10382,1965.5
10386,2004.0
10395,1978.0
10400,1980.8
10402,2009.0
10410,1957.0
10420,2009.0
10421,1988.0
10434,1977.0
10437,1995.0
10440,1956.3333333333333
10448,1972.0
10452,1953.0
10463,2005.0
10475,2008.0
10480,1956.0
10482,1958.0
10496,1949.0
10500,1980.0
10530,1978.0
10542,1993.0
10552,1959.0
10562,2007.0
10570,1932.0
10574,2005.0
10592,1923.0
10593,1996.0
10594,1926.0
10603,1977.0
10615,1920.0
10624,2002.0
10625,1975.5
10628,1970.0
10634,1953.0
10635,2003.0
10637,2007.0
10650,1976.0
10652,2006.0
10655,2003.0
10656,2007.0
10659,1961.0
10665,2003.0
10667,1996.0
10678,1992.0
10680,1951.0
10690,1964.0
10708,1955.0
10712,
10721,1960.0
10728,2006.0
10762,1989.5
10768,1976.0
10769,2007.0
10778,
10780,1976.0
10784,1991.0
10791,1967.0
10793,1969.0
10800,1966.1818181818182
10832,1994.0
10839,1997.0
10846,1993.0
10852,2000.0
10859,1995.0
10880,1950.0
10896,
10900,1977.0
10918,1926.0
10920,1960.0
10921,1965.0
10927,2003.0
10930,1962.0
10944,1994.0
10970,1981.0
10991,2007.0
10994,2005.0
10998,1977.0
11000,1983.0
11003,2008.0
11029,1979.0
11040,1982.5
11049,2007.0
11050,2000.0
11065,2006.0
11070,1989.0
11075,1969.0
11096,2006.0
11100,1946.0
11103,2006.0
11120,1984.0
11143,2004.0
11146,2006.0
11160,1968.0
11170,1990.0
11175,2007.0
11184,1978.0
11194,2000.0
11198,2005.0
11200,1975.0
11207,1997.0
11210,2005.0
11214,1998.0
11216,2006.0
11218,1992.0
11228,1993.0
11235,1974.0
11241,1970.0
11248,2002.0
11249,1995.0
11250,1984.25
11275,1969.0
11287,1989.0
11302,2005.0
11308,2008.0
11310,1954.0
11316,2002.0
11317,2003.0
11333,1976.0
11340,1947.0
11341,1957.0
11344,1958.0
11345,1948.0
11361,1976.0
11362,2004.0
11367,2002.0
11394,2010.0
11400,2001.0
11404,1998.0
11409,1949.0
11414,1997.0
11423,2001.0
11425,1954.0
11426,2003.0
11428,2006.0
11435,1931.0
11443,2005.0
11457,1988.0
11475,1971.5
11478,2008.0
11500,1956.3333333333333
11512,1959.0
11526,1993.0
11553,1968.0
11584,1979.0
11600,1947.3333333333333
11606,1969.0
11616,1970.0
11625,1965.0
11639,2007.0
11643,1969.0
11645,2004.5
11664,1948.0
11670,2006.0
11694,2007.0
11700,1963.5
11717,1970.0
11751,1977.0
11764,1999.0
11767,1948.0
11777,1966.0
11782,1987.0
11787,1996.0
11796,2004.0
11838,2001.0
11839,1990.0
11841,
11844,2008.0
11846,2003.0
11851,1990.0
11880,1978.0
11883,1996.0
11885,2001.0
11888,1930.0
11900,1967.0
11911,2005.0
11923,2007.0
11924,2005.0
11932,2008.0
11952,1977.0
11957,2006.0
11988,1948.0
11999,2003.0
12000,1944.5
12003,2009.0
12011,1998.0
12030,2007.0
12046,1976.0
12085,2007.0
12090,1987.6666666666667
12095,1964.0
12099,2004.0
12108,
12118,2004.0
12122,1961.0
12134,1988.0
12137,1998.0
12144,1949.0
12150,1954.0
12155,1952.0
12160,1956.0
12168,1934.0
12180,1941.0
12182,2005.0
12203,1998.0
12205,1966.0
12209,2001.0
12220,2009.0
12224,2000.0
12227,1977.0
12243,1971.0
12244,2003.0
12256,1994.0
12257,1995.0
12274,2008.0
12327,1983.0
12328,1976.0
12342,1960.5
12354,2005.0
12358,1991.0
12376,1990.0
12378,2003.0
12384,1976.0
12393,2004.0
12394,2003.0
12400,1958.0
12416,1986.0
12420,2001.0
12435,2001.0
12438,2006.0
12444,2008.0
12456,2008.0
12461,1994.0
12464,2000.0
12474,2008.0
12493,1960.0
12508,1989.0
12513,1920.0
12537,1971.0
12546,1981.0
12552,2004.0
12589,2005.0
12615,1950.0
12640,1976.0
12665,1977.0
12677,2003.0
12692,1992.0
12702,1956.0
12704,2009.0
12735,1980.0
12772,1960.0
12798,1997.0
12800,1989.0
12803,2002.0
12822,2003.0
12886,1997.0
12898,2008.0
12900,1969.0
12919,2009.0
12925,1970.0
12936,1972.0
12968,1962.0
12984,1977.0
13000,1968.0
13005,1983.0
13006,1997.0
13031,1995.0
13053,1922.0
13072,2005.5
13101,1987.0
13125,1971.25
13132,1914.0
13159,2009.0
13173,2006.0
13175,1978.0
13214,2009.0
13265,2002.0
13284,1954.0
13286,2007.0
13300,1956.0
13346,1992.0
13350,1974.0
13360,1921.0
13400,1966.0
13418,2004.0
13450,2002.0
13472,2003.0
13474,1990.0
13478,2008.0
13500,1974.0
13501,2006.0
13515,1940.0
13517,1976.0
13518,2009.0
13526,1965.0
13560,1968.0
13568,1996.0
13600,1955.0
13650,1958.0
13651,1973.0
13673,1962.0
13680,1955.0
13682,2006.0
13688,2003.0
13693,2006.0
13695,2004.0
13700,1965.0
13704,2001.0
13710,1950.0
13728,1935.0
13758,1990.0
13811,1987.0
13825,1958.0
13837,1988.0
13860,1972.0
13869,1997.0
13891,2007.3333333333333
13907,
14000,1973.0
14006,2002.0
14054,2006.0
14100,1982.0
14112,1964.0
14115,1976.3333333333333
14145,1984.0
14154,2006.0
14157,2005.0
14175,1999.0
14191,2002.0
14200,1966.0
14215,2005.0
14226,2006.0
14230,2007.0
14260,2000.0
14303,1994.0
14331,2002.0
14364,1988.0
14375,1958.0
14442,1957.0
14450,2007.0
14536,2002.0
14541,1993.0
14559,1951.0
14572,2004.0
14585,1960.0
14587,2008.0
14598,2007.0
14601,2006.0
14684,1990.0
14720,1996.0
14762,1979.0
14774,1999.0
14778,1993.0
14781,2001.0
14803,1989.0
14850,1957.0
14859,2006.0
14892,2006.0
14948,2008.0
14963,1996.0
14977,2006.0
15138,1995.0
15256,2007.0
15306,2006.0
15384,2004.0
15426,1997.0
15431,2008.0
15498,1976.0
15523,1972.0
15576,1960.0
15578,2006.0
15593,1953.0
15602,1959.0
15611,1991.5
15623,1996.0
15660,1939.0
15750,1953.0
15863,1970.0
15865,1970.0
15870,1969.0
16033,2004.0
16056,2005.0
16059,1991.0
16157,1978.0
16158,2005.0
16196,1998.0
16226,1998.0
16259,2006.0
16285,2001.0
16321,1957.0
16381,1969.0
16466,1955.0
16492,1966.0
16545,1998.0
16560,1932.0
16635,1977.0
16647,1975.0
16659,1977.0
16669,1981.0
16692,1978.0
16737,2004.0
16770,1998.0
16905,1959.0
17043,1979.0
17104,2006.0
17120,1991.0
17140,1956.0
17217,
17400,1977.0
17423,2009.0
17500,1959.0
17503,1948.0
17542,1974.0
17600,1960.0
17671,1925.0
17755,1959.0
17871,1967.0
17920,1955.0
18000,1994.0
18030,
18386,2003.0
18450,1965.0
18800,1976.0
18890,1977.0
19138,1951.0
19296,1991.0
19378,2006.0
19690,1966.0
19900,1970.0
20431,2006.0
20544,1986.0
20781,1968.0
20896,2005.0
21000,1953.0
21286,1948.0
21384,1923.0
21453,1969.0
21535,1994.0
21695,1988.0
21750,1957.0
21780,1955.0
21872,1996.0
21930,2005.0
22420,1918.0
22950,1993.0
23257,2006.0
23595,1979.0
24090,1940.0
24682,1999.0
25000,1967.0
25095,1968.0
25286,1963.0
25339,2007.0
25419,1918.0
26142,1962.0
26178,1989.0
27650,1960.0
28698,1967.0
29959,1994.0
31770,1960.0
32463,1975.0
32668,1975.0
34650,1955.0
35133,1963.0
35760,1995.0
36500,1964.0
39104,1954.0
40094,2007.0
45600,1908.0
46589,1994.0
50271,1981.0
53107,1992.0
53227,1954.0
53504,2003.0
57200,1966.0
63887,2008.0
70761,1975.0
115149,1971.0
159000,1958.0
164660,1965.0
215245,1965.0
