Id,HalfBath
844,0
845,1
846,0
847,1
848,0
849,0
850,1
851,0
852,0
853,0
854,1
855,1
856,1
857,0
858,1
859,0
860,1
861,1
862,1
863,0
864,0
865,0
866,0
867,0
868,1
869,0
870,1
871,0
872,1
873,0
874,0
875,1
876,1
877,0
878,1
879,0
880,0
881,1
882,1
883,1
884,0
885,0
886,0
887,0
888,1
889,0
890,0
891,0
892,1
893,0
894,0
895,0
896,1
897,0
898,0
899,1
900,0
901,0
902,0
903,1
904,0
905,0
906,0
907,0
908,1
909,0
910,1
911,0
912,1
913,0
914,0
915,1
916,1
917,0
918,0
919,1
920,0
921,1
922,2
923,0
924,0
925,0
926,0
927,1
928,1
929,0
930,1
931,0
932,0
933,0
934,0
935,0
936,0
937,0
938,1
939,1
940,0
941,0
942,1
943,0
944,0
945,0
946,0
947,0
948,0
949,1
950,1
951,0
952,0
953,0
954,1
955,0
956,0
957,1
958,0
959,0
960,1
961,0
962,1
963,1
964,0
965,1
966,1
967,1
968,0
969,0
970,0
971,1
972,0
973,0
974,0
975,0
976,1
977,0
978,1
979,0
980,0
981,0
982,1
983,0
984,1
985,0
986,0
987,0
988,1
989,1
990,1
991,1
992,1
993,1
994,1
995,0
996,1
997,0
998,0
999,0
1000,0
1001,0
1002,0
1003,0
1004,0
1005,0
1006,0
1007,0
1008,1
1009,0
1010,0
1011,0
1012,0
1013,1
1014,0
1015,0
1016,1
1017,0
1018,0
1019,1
1020,0
1021,1
1022,0
1023,0
1024,0
1025,0
1026,0
1027,0
1028,0
1029,0
1030,1
1031,0
1032,1
1033,1
1034,0
1035,0
1036,0
1037,0
1038,1
1039,1
1040,0
1041,0
1042,1
1043,0
1044,1
1045,1
1046,0
1047,1
1048,0
1049,0
1050,0
1051,0
1052,0
1053,1
1054,0
1055,1
1056,0
1057,0
1058,1
1059,1
1060,1
1061,0
1062,0
1063,0
1064,0
1065,1
1066,1
1067,1
1068,1
1069,1
1070,0
1071,0
1072,1
1073,0
1074,1
1075,0
1076,1
1077,0
1078,0
1079,0
1080,0
1081,0
1082,1
1083,0
1084,0
1085,1
1086,0
1087,1
1088,1
1089,0
1090,1
1091,0
1092,1
1093,0
1094,1
1095,0
1096,0
1097,1
1098,1
1099,0
1100,0
1101,0
1102,0
1103,0
1104,0
1105,1
1106,1
1107,0
1108,1
1109,1
1110,0
1111,1
1112,1
1113,0
1114,0
1115,0
1116,0
1117,1
1118,0
1119,0
1120,0
1121,0
1122,0
1123,0
1124,0
1125,1
1126,0
1127,0
1128,0
1129,1
1130,0
1131,0
1132,0
1133,0
1134,1
1135,1
1136,0
1137,0
1138,0
1139,0
1140,0
1141,0
1142,1
1143,0
1144,0
1145,0
1146,0
1147,0
1148,1
1149,0
1150,0
1151,0
1152,1
1153,0
1154,0
1155,2
1156,0
1157,0
1158,0
1159,0
1160,1
1161,1
1162,0
1163,0
1164,2
1165,1
1166,0
1167,0
1168,1
1169,0
1170,1
1171,0
1172,0
1173,1
1174,0
1175,1
1176,1
1177,0
1178,0
1179,1
1180,0
1181,1
1182,0
1183,1
1184,0
1185,1
1186,0
1187,0
1188,0
1189,1
1190,1
1191,0
1192,1
1193,0
1194,0
1195,1
1196,1
1197,1
1198,0
1199,0
1200,1
1201,0
1202,1
1203,0
1204,0
1205,1
1206,0
1207,0
1208,0
1209,0
1210,0
1211,1
1212,0
1213,0
1214,0
1215,0
1216,0
1217,0
1218,0
1219,0
1220,1
1221,0
1222,0
1223,0
1224,0
1225,1
1226,0
1227,1
1228,0
1229,1
1230,0
1231,2
1232,0
1233,0
1234,0
1235,1
1236,1
1237,1
1238,1
1239,1
1240,0
1241,1
1242,0
1243,0
1244,1
1245,0
1246,1
1247,1
1248,0
1249,1
1250,0
1251,1
1252,0
1253,0
1254,1
1255,1
1256,0
1257,0
1258,0
1259,0
1260,1
1261,1
1262,0
1263,0
1264,0
1265,0
1266,1
1267,1
1268,0
1269,1
1270,1
1271,1
1272,0
1273,0
1274,0
1275,0
1276,0
1277,1
1278,1
1279,1
1280,0
1281,0
1282,0
1283,0
1284,2
1285,0
1286,0
1287,1
1288,0
1289,0
1290,1
1291,0
1292,1
1293,0
1294,1
1295,0
1296,1
1297,0
1298,0
1299,1
1300,1
1301,1
1302,0
1303,1
1304,0
1305,0
1306,0
1307,0
1308,0
1309,0
1310,0
1311,0
1312,0
1313,1
1314,1
1315,0
1316,1
1317,0
1318,0
1319,0
1320,0
1321,1
1322,0
1323,1
1324,0
1325,0
1326,0
1327,0
1328,0
1329,0
1330,1
1331,0
1332,0
1333,0
1334,1
1335,1
1336,0
1337,0
1338,0
1339,1
1340,0
1341,0
1342,0
1343,1
1344,1
1345,1
1346,0
1347,0
1348,0
1349,0
1350,0
1351,2
1352,1
1353,0
1354,1
1355,1
1356,0
1357,0
1358,1
1359,1
1360,0
1361,1
1362,0
1363,0
1364,1
1365,1
1366,1
1367,1
1368,0
1369,0
1370,0
1371,0
1372,0
1373,1
1374,1
1375,1
1376,0
1377,0
1378,0
1379,1
1380,1
1381,0
1382,1
1383,1
1384,0
1385,0
1386,0
1387,1
1388,0
1389,0
1390,0
1391,0
1392,0
1393,0
1394,0
1395,0
1396,1
1397,0
1398,1
1399,1
1400,1
1401,0
1402,1
1403,0
1404,0
1405,0
1406,0
1407,0
1408,0
1409,0
1410,1
1411,1
1412,1
1413,0
1414,0
1415,1
1416,0
1417,0
1418,1
1419,1
1420,0
1421,1
1422,0
1423,0
1424,0
1425,0
1426,0
1427,1
1428,1
1429,0
1430,0
1431,1
1432,0
1433,0
1434,1
1435,0
1436,1
1437,0
1438,0
1439,0
1440,1
1441,0
1442,0
1443,1
1444,0
1445,0
1446,0
1447,0
1448,1
1449,1
1450,0
1451,2
1452,0
1453,0
1454,0
1455,0
1456,1
1457,0
1458,0
1459,0
1460,1
