LotArea,FullBath
8900,1.0
8910,1.0
8923,1.0
8924,2.0
8925,2.0
8926,1.0
8930,2.0
8935,2.0
8944,2.0
8960,1.0
8963,3.0
8967,1.0
8973,1.0
8978,1.0
8990,2.0
8993,2.0
9000,1.2857142857142858
9017,2.0
9018,2.0
9020,1.0
9022,1.0
9037,2.0
9042,2.0
9056,2.0
9060,1.0
9066,2.0
9069,1.0
9084,1.3333333333333333
9098,1.0
9100,1.5
9101,1.0
9120,1.6666666666666667
9125,2.0
9130,1.0
9135,2.0
9142,2.0
9144,1.0
9150,1.0
9156,2.0
9158,2.0
9170,1.0
9179,2.0
9180,1.0
9187,1.5
9196,2.0
9200,1.3333333333333333
9204,1.0
9206,2.0
9230,1.0
9236,2.0
9240,2.0
9245,1.5
9246,2.0
9247,1.0
9248,2.0
9250,1.0
9262,2.0
9286,1.0
9291,2.0
9297,2.0
9300,1.0
9303,2.0
9313,2.0
9317,2.0
9320,1.0
9337,2.0
9340,1.0
9350,2.0
9353,1.0
9360,1.0
9364,1.0
9375,2.0
9382,2.0
9400,2.0
9405,1.0
9416,2.0
9430,2.0
9439,1.0
9450,1.0
9452,2.0
9453,2.0
9464,1.0
9473,2.0
9477,1.0
9480,1.0
9490,1.0
9492,1.0
9500,1.0
9503,1.0
9505,2.0
9520,2.0
9525,1.5
9531,2.0
9541,2.0
9548,2.0
9549,1.0
9550,1.0
9554,2.0
9560,1.0
9571,1.0
9572,2.0
9587,2.0
9588,2.0
9590,2.0
9591,2.0
9600,1.3333333333333333
9612,2.0
9636,2.0
9638,2.0
9650,2.0
9672,2.0
9675,2.0
9717,1.0
9735,2.0
9738,1.0
9742,2.0
9750,1.6
9758,1.0
9760,1.5
9764,1.0
9765,2.0
9786,1.0
9790,1.5
9800,1.0
9803,2.0
9808,2.0
9819,1.5
9825,2.0
9828,2.0
9830,1.0
9842,2.5
9849,2.0
9855,1.0
9858,1.0
9873,1.0
9880,1.0
9900,2.0
9906,1.0
9920,1.3333333333333333
9937,1.0
9938,2.0
9945,1.0
9947,2.0
9950,2.0
9965,2.5
9967,2.0
9986,2.0
9991,2.0
10000,1.4
10004,1.0
10005,2.0
10007,1.0
10010,1.0
10011,1.0
10012,2.0
10020,0.0
10029,2.0
10041,2.0
10083,2.0
10084,2.0
10106,2.0
10120,1.5
10125,2.0
10134,1.0
10140,1.6
10141,2.0
10142,2.0
10150,1.0
10152,1.0
10159,2.0
10171,2.0
10175,2.0
10182,2.0
10186,2.0
10192,3.0
10197,1.0
10200,1.3333333333333333
10205,1.0
10206,1.5
10207,3.0
10208,2.0
10215,1.0
10226,2.0
10237,2.0
10240,2.0
10246,0.0
10261,2.0
10264,2.0
10267,1.0
10289,1.0
10300,2.0
10304,2.0
10316,2.0
10320,1.0
10335,2.0
10355,2.0
10356,1.0
10357,2.0
10364,2.0
10380,2.0
10382,1.5
10386,2.0
10395,2.0
10400,1.8
10402,2.0
10410,1.5
10420,2.0
10421,2.0
10434,1.0
10437,2.0
10440,1.6666666666666667
10448,2.0
10452,1.0
10463,2.0
10475,2.0
10480,1.5
10482,1.0
10496,2.0
10500,1.0
10530,1.0
10542,2.0
10552,1.0
10562,1.0
10570,2.0
10574,2.0
10592,1.0
10593,2.0
10594,1.0
10603,2.0
10615,2.0
10624,2.0
10625,1.75
10628,1.0
10634,1.0
10635,2.0
10637,2.0
10650,1.0
10652,2.0
10655,2.0
10656,2.0
10659,1.0
10665,2.0
10667,2.0
10678,2.0
10680,2.0
10690,1.0
10708,1.0
10712,1.0
10721,1.0
10728,2.0
10762,1.5
10768,2.0
10769,2.0
10778,2.0
10780,1.0
10784,2.0
10791,2.0
10793,2.0
10800,1.7142857142857142
10832,2.0
10839,2.0
10846,1.0
10852,2.0
10859,1.0
10880,1.0
10896,2.0
10900,1.0
10918,1.0
10920,1.0
10921,1.0
10927,2.0
10930,1.0
10944,2.0
10970,1.0
10991,2.0
10994,2.0
10998,2.0
11000,1.5
11003,2.0
11029,1.5
11040,1.5
11049,2.0
11050,2.0
11065,2.0
11070,3.0
11075,2.0
11096,2.0
11100,1.0
11103,2.0
11120,2.0
11143,3.0
11146,2.0
11160,2.0
11170,2.0
11175,2.0
11184,2.0
11194,2.0
11198,2.0
11200,1.5
11207,2.0
11210,2.0
11214,2.0
11216,2.0
11218,2.0
11228,2.0
11235,1.0
11241,1.0
11248,2.0
11249,2.0
11250,1.5
11275,1.5
11287,2.0
11302,2.0
11308,2.0
11310,1.0
11316,2.0
11317,2.0
11333,1.0
11340,1.5
11341,1.0
11344,1.0
11345,2.0
11361,2.0
11362,2.0
11367,2.0
11394,1.0
11400,2.0
11404,2.0
11409,1.0
11414,1.0
11423,2.0
11425,1.0
11426,2.0
11428,2.0
11435,1.0
11443,2.0
11457,2.0
11475,2.0
11478,2.0
11500,1.3333333333333333
11512,1.0
11526,2.0
11553,1.0
11584,2.0
11600,1.3333333333333333
11606,1.0
11616,1.5
11625,1.0
11639,2.0
11643,2.0
11645,2.0
11664,1.0
11670,2.0
11694,2.0
11700,1.25
11717,2.0
11751,2.0
11764,2.0
11767,1.0
11777,1.0
11782,1.0
11787,2.0
11796,2.0
11838,2.0
11839,2.0
11841,1.0
11844,2.0
11846,2.0
11851,2.0
11880,2.0
11883,2.0
11885,2.0
11888,2.0
11900,1.5
11911,2.0
11923,2.0
11924,3.0
11932,2.0
11952,2.0
11957,2.0
11988,1.0
11999,2.0
12000,1.0
12003,2.0
12011,2.0
12030,2.0
12046,2.0
12085,2.0
12090,2.3333333333333335
12095,1.0
12099,2.0
12108,2.0
12118,2.0
12122,1.0
12134,2.0
12137,2.0
12144,1.0
12150,2.0
12155,2.0
12160,1.0
12168,2.0
12180,1.0
12182,2.0
12203,2.0
12205,2.0
12209,2.0
12220,2.0
12224,2.0
12227,2.0
12243,2.0
12244,2.0
12256,2.0
12257,2.0
12274,2.0
12327,1.0
12328,1.0
12342,1.0
12354,1.0
12358,1.0
12376,3.0
12378,2.0
12384,2.0
12393,2.0
12394,2.0
12400,1.0
12416,2.0
12420,2.0
12435,2.0
12438,2.0
12444,2.0
12456,2.0
12461,2.0
12464,1.0
12474,2.0
12493,1.0
12508,2.0
12513,2.0
12537,1.0
12546,2.0
12552,2.0
12589,2.0
12615,2.0
12640,2.0
12665,1.5
12677,1.0
12692,3.0
12702,1.0
12704,2.0
12735,1.0
12772,1.0
12798,2.0
12800,2.0
12803,2.0
12822,1.0
12886,2.0
12898,2.0
12900,0.0
12919,2.0
12925,2.0
12936,1.0
12968,1.0
12984,2.0
13000,2.0
13005,2.0
13006,2.0
13031,2.0
13053,1.0
13072,1.0
13101,2.0
13125,1.75
13132,1.0
13159,2.0
13173,2.0
13175,2.0
13214,2.0
13265,2.0
13284,1.0
13286,2.0
13300,1.0
13346,2.0
13350,1.0
13360,1.0
13400,1.0
13418,3.0
13450,2.0
13472,2.0
13474,2.0
13478,2.0
13500,2.0
13501,2.0
13515,1.0
13517,2.0
13518,3.0
13526,1.0
13560,1.0
13568,1.0
13600,2.0
13650,2.0
13651,2.0
13673,1.0
13680,2.0
13682,3.0
13688,2.0
13693,2.0
13695,1.0
13700,1.0
13704,2.0
13710,1.0
13728,2.0
13758,2.0
13811,2.0
13825,1.0
13837,2.0
13860,2.0
13869,2.0
13891,2.3333333333333335
13907,1.0
14000,1.5
14006,2.0
14054,2.0
14100,3.0
14112,1.0
14115,1.3333333333333333
14145,2.0
14154,2.0
14157,2.0
14175,1.0
14191,2.0
14200,2.0
14215,3.0
14226,2.0
14230,2.0
14260,2.0
14303,2.0
14331,2.0
14364,2.0
14375,1.0
14442,2.0
14450,2.0
14536,2.0
14541,2.0
14559,1.0
14572,2.0
14585,1.0
14587,2.0
14598,2.0
14601,2.0
14684,2.0
14720,2.0
14762,2.0
14774,2.0
14778,1.0
14781,2.0
14803,2.0
14850,1.0
14859,2.0
14892,2.0
14948,2.0
14963,1.0
14977,2.0
15138,2.0
15256,2.0
15306,2.0
15384,2.0
15426,2.0
15431,2.0
15498,2.0
15523,1.0
15576,2.0
15578,2.0
15593,2.0
15602,2.0
15611,2.0
15623,3.0
15660,1.0
15750,1.0
15863,2.0
15865,2.0
15870,1.0
16033,2.0
16056,3.0
16059,2.0
16157,1.0
16158,2.0
16196,2.0
16226,2.0
16259,3.0
16285,2.0
16321,1.0
16381,2.0
16466,1.0
16492,2.0
16545,2.0
16560,2.0
16635,2.0
16647,2.0
16659,2.0
16669,2.0
16692,3.0
16737,2.0
16770,2.0
16905,1.0
17043,2.0
17104,2.0
17120,2.0
17140,1.0
17217,1.0
17400,2.0
17423,2.0
17500,2.0
17503,1.0
17542,2.0
17600,2.0
17671,1.0
17755,1.0
17871,1.0
17920,1.0
18000,1.0
18030,3.0
18386,3.0
18450,2.0
18800,2.0
18890,2.0
19138,1.0
19296,1.0
19378,2.0
19690,2.0
19900,2.0
20431,2.0
20544,2.0
20781,2.0
20896,1.0
21000,2.0
21286,2.0
21384,1.0
21453,1.0
21535,3.0
21695,2.0
21750,1.0
21780,2.0
21872,2.0
21930,2.0
22420,2.0
22950,2.0
23257,2.0
23595,0.0
24090,2.0
24682,2.0
25000,2.0
25095,1.0
25286,1.0
25339,2.0
25419,2.0
26142,1.0
26178,2.0
27650,2.0
28698,2.0
29959,2.0
31770,1.0
32463,1.0
32668,3.0
34650,1.0
35133,1.0
35760,3.0
36500,2.0
39104,1.0
40094,3.0
45600,3.0
46589,2.0
50271,0.0
53107,2.0
53227,1.0
53504,3.0
57200,1.0
63887,2.0
70761,2.0
115149,2.0
159000,2.0
164660,2.0
215245,2.0
