LotArea,OverallQual
10452,6.0
10463,8.0
10475,8.0
10480,6.5
10482,6.0
10496,6.0
10500,4.333333333333333
10530,6.0
10542,7.0
10552,5.0
10562,8.0
10570,8.0
10574,8.0
10592,6.0
10593,7.0
10594,5.0
10603,6.0
10615,3.0
10624,5.0
10625,6.5
10628,7.0
10634,5.0
10635,8.0
10637,8.0
10650,5.0
10652,7.0
10655,8.0
10656,8.0
10659,5.0
10665,7.0
10667,7.0
10678,8.0
10680,5.0
10690,5.0
10708,5.0
10712,5.0
10721,6.0
10728,8.0
10762,6.5
10768,5.0
10769,8.0
10778,4.0
10780,5.0
10784,7.0
10791,4.0
10793,5.0
10800,5.357142857142857
10832,7.0
10839,6.0
10846,8.0
10852,6.0
10859,5.0
10880,5.0
10896,6.0
10900,6.0
10918,7.0
10920,6.0
10921,4.0
10927,8.0
10930,5.0
10944,7.0
10970,6.0
10991,8.0
10994,8.0
10998,5.0
11000,6.5
11003,10.0
11029,6.0
11040,5.0
11049,8.0
11050,9.0
11065,8.0
11070,7.0
11075,5.5
11096,8.0
11100,4.0
11103,7.0
11120,6.0
11143,8.0
11146,8.0
11160,7.0
11170,7.0
11175,7.0
11184,6.0
11194,8.0
11198,9.0
11200,5.5
11207,6.0
11210,7.0
11214,7.0
11216,8.0
11218,6.0
11228,7.0
11235,4.0
11241,6.0
11248,9.0
11249,6.0
11250,6.25
11275,6.5
11287,7.0
11302,8.0
11308,9.0
11310,6.0
11316,7.0
11317,7.0
11333,6.0
11340,5.0
11341,5.0
11344,5.0
11345,5.0
11361,6.0
11362,8.0
11367,8.0
11394,9.0
11400,10.0
11404,7.0
11409,5.0
11414,7.0
11423,8.0
11425,5.0
11426,7.0
11428,8.0
11435,8.0
11443,8.0
11457,6.0
11475,5.5
11478,8.0
11500,5.333333333333333
11512,6.0
11526,6.0
11553,5.0
11584,7.0
11600,5.0
11606,5.0
11616,5.5
11625,5.0
11639,7.0
11643,5.0
11645,7.0
11664,6.0
11670,9.0
11694,9.0
11700,6.25
11717,6.0
11751,6.0
11764,8.0
11767,4.5
11777,5.0
11782,5.0
11787,7.0
11796,7.0
11838,8.0
11839,7.0
11841,6.0
11844,8.0
11846,9.0
11851,7.0
11880,7.0
11883,7.0
11885,8.0
11888,6.0
11900,6.5
11911,6.0
11923,9.0
11924,9.0
11932,8.0
11952,7.0
11957,8.0
11988,6.0
11999,8.0
12000,6.0
12003,8.0
12011,8.0
12030,8.0
12046,6.0
12085,8.0
12090,6.666666666666667
12095,6.0
12099,8.0
12108,4.0
12118,7.0
12122,7.0
12134,8.0
12137,7.0
12144,5.0
12150,5.0
12155,6.0
12160,5.5
12168,8.0
12180,4.0
12182,7.0
12203,8.0
12205,6.0
12209,6.0
12220,10.0
12224,6.0
12227,6.0
12243,5.0
12244,8.0
12256,8.0
12257,8.0
12274,7.0
12327,8.0
12328,6.0
12342,4.5
12354,6.0
12358,5.0
12376,7.0
12378,9.0
12384,7.0
12393,7.0
12394,7.0
12400,6.0
12416,6.0
12420,7.0
12435,7.0
12438,8.0
12444,8.0
12456,10.0
12461,8.0
12464,5.0
12474,10.0
12493,4.0
12508,6.0
12513,4.0
12537,5.0
12546,6.0
12552,7.0
12589,6.0
12615,6.0
12640,6.0
12665,6.5
12677,8.0
12692,8.0
12702,5.0
12704,8.0
12735,4.0
12772,6.0
12798,6.0
12800,7.0
12803,7.0
12822,7.0
12886,5.0
12898,9.0
12900,4.0
12919,9.0
12925,6.0
12936,6.0
12968,5.0
12984,5.0
13000,6.0
13005,7.0
13006,7.0
13031,6.0
13053,6.0
13072,6.0
13101,5.0
13125,6.25
13132,5.0
13159,7.0
13173,9.0
13175,6.0
13214,9.0
13265,8.0
13284,5.0
13286,9.0
13300,5.0
13346,7.0
13350,5.0
13360,5.0
13400,5.0
13418,8.0
13450,7.0
13472,10.0
13474,7.0
13478,10.0
13500,8.0
13501,8.0
13515,6.0
13517,6.0
13518,9.0
13526,5.0
13560,6.0
13568,5.0
13600,6.0
13650,5.0
13651,7.0
13673,5.0
13680,3.0
13682,10.0
13688,9.0
13693,9.0
13695,5.5
13700,7.0
13704,7.0
13710,5.0
13728,6.0
13758,7.0
13811,6.0
13825,5.0
13837,7.0
13860,8.0
13869,6.0
13891,9.0
13907,5.0
14000,6.5
14006,7.0
14054,7.0
14100,8.0
14112,5.0
14115,6.0
14145,7.0
14154,7.0
14157,9.0
14175,5.0
14191,8.0
14200,7.0
14215,8.0
14226,8.0
14230,8.0
14260,8.0
14303,8.0
14331,8.0
14364,7.0
14375,6.0
14442,6.0
14450,9.0
14536,8.0
14541,8.0
14559,5.0
14572,7.0
14585,6.0
14587,9.0
14598,6.0
14601,9.0
14684,7.0
14720,8.0
14762,5.0
14774,9.0
14778,6.0
14781,8.0
14803,8.0
14850,5.0
14859,7.0
14892,9.0
14948,9.0
14963,8.0
14977,8.0
15138,8.0
15256,8.0
15306,8.0
15384,7.0
15426,6.0
15431,10.0
15498,8.0
15523,5.0
15576,6.0
15578,6.0
15593,7.0
15602,7.0
15611,6.5
15623,10.0
15660,7.0
15750,5.0
15863,7.0
15865,8.0
15870,5.0
16033,9.0
16056,9.0
16059,8.0
16157,5.0
16158,7.0
16196,7.0
16226,8.0
16259,9.0
16285,7.0
16321,5.0
16381,6.0
16466,5.0
16492,6.0
16545,8.0
16560,6.0
16635,6.0
16647,5.0
16659,7.0
16669,8.0
16692,7.0
16737,9.0
16770,7.0
16905,5.0
17043,6.0
17104,7.0
17120,4.0
17140,4.0
17217,5.0
17400,5.0
17423,9.0
17500,7.0
17503,6.0
17542,7.0
17600,6.0
17671,8.0
17755,5.0
17871,6.0
17920,5.0
18000,3.0
18030,5.0
18386,7.0
18450,6.0
18800,6.0
18890,5.0
19138,4.0
19296,6.0
19378,7.0
19690,6.0
19900,7.0
20431,9.0
20544,7.0
20781,7.0
20896,8.0
21000,6.0
21286,5.0
21384,5.0
21453,6.0
21535,10.0
21695,6.0
21750,5.0
21780,6.0
21872,7.0
21930,5.0
22420,6.0
22950,10.0
23257,7.0
23595,7.0
24090,7.0
24682,6.0
25000,5.0
25095,5.0
25286,4.0
25339,5.0
25419,8.0
26142,5.0
26178,7.0
27650,7.0
28698,5.0
29959,7.0
31770,6.0
32463,4.0
32668,6.0
34650,5.0
35133,5.0
35760,10.0
36500,5.0
39104,7.0
40094,10.0
45600,6.0
46589,8.0
50271,9.0
53107,6.0
53227,4.0
53504,8.0
57200,5.0
63887,10.0
70761,7.0
115149,7.0
159000,6.0
164660,5.0
215245,7.0
