1stFlrSF,OverallCond
1242,6.0
1244,6.0
1246,6.5
1247,5.0
1248,5.0
1249,5.0
1251,6.0
1252,6.0
1253,5.0
1256,6.0
1258,5.333333333333333
1260,6.0
1261,6.0
1262,6.5
1264,5.0
1265,8.0
1266,5.0
1268,6.0
1269,5.5
1272,7.0
1274,5.0
1276,5.666666666666667
1277,5.0
1279,6.0
1281,4.0
1282,5.0
1283,7.0
1284,5.0
1285,5.0
1287,7.0
1288,5.0
1291,4.5
1294,5.0
1296,5.0
1297,6.0
1298,5.0
1299,5.0
1301,5.0
1302,5.666666666666667
1304,4.0
1306,4.75
1307,8.0
1309,6.0
1310,5.0
1314,5.2
1316,5.0
1318,5.0
1319,6.0
1320,6.5
1324,5.0
1325,5.0
1327,6.0
1328,4.75
1332,6.0
1334,5.0
1336,5.0
1337,5.0
1338,5.0
1339,5.5
1340,5.5
1342,5.0
1344,5.333333333333333
1349,5.0
1350,5.0
1352,5.333333333333333
1357,7.0
1358,5.0
1360,4.666666666666667
1361,5.0
1362,5.0
1363,7.0
1364,5.0
1368,5.0
1370,5.333333333333333
1372,5.0
1375,5.0
1377,5.0
1378,5.0
1381,7.0
1382,5.0
1383,5.0
1389,5.0
1390,5.0
1391,5.0
1392,4.8
1394,5.0
1402,5.0
1405,5.0
1407,5.0
1411,5.0
1412,5.0
1414,6.0
1416,7.0
1419,6.0
1422,5.2
1423,7.0
1425,5.0
1426,5.0
1428,5.0
1429,6.0
1430,5.0
1431,5.0
1432,7.0
1434,5.0
1436,6.5
1437,7.0
1440,5.25
1442,5.5
1444,7.0
1445,6.0
1453,5.0
1454,5.0
1456,5.0
1459,5.0
1462,5.0
1464,5.5
1465,5.0
1466,4.666666666666667
1468,6.0
1470,5.0
1472,5.0
1473,8.0
1476,5.0
1478,4.333333333333333
1479,5.0
1482,5.0
1484,5.333333333333333
1486,7.0
1489,6.0
1490,5.0
1493,5.0
1494,5.0
1496,6.5
1498,5.0
1500,5.0
1501,5.0
1502,5.0
1504,5.0
1505,4.0
1506,5.0
1507,5.0
1509,5.0
1512,7.0
1516,6.5
1518,6.333333333333333
1520,6.0
1521,9.0
1523,5.0
1525,5.0
1526,6.0
1530,5.0
1532,5.0
1533,5.0
1535,5.0
1536,5.0
1537,9.0
1541,5.0
1542,7.0
1547,6.0
1548,7.0
1549,8.0
1552,5.0
1553,5.0
1554,5.0
1555,5.0
1557,5.0
1559,6.0
1560,5.0
1561,5.0
1563,5.0
1566,5.0
1567,5.0
1569,5.0
1571,5.0
1572,4.5
1573,5.0
1574,5.0
1575,6.0
1576,8.0
1578,5.0
1580,5.0
1582,5.0
1584,6.0
1586,5.0
1588,5.0
1593,5.0
1600,5.5
1601,5.0
1602,7.0
1604,5.0
1610,6.0
1614,5.0
1616,5.0
1617,5.0
1619,6.0
1620,4.5
1621,7.0
1622,4.0
1624,5.0
1625,5.0
1629,5.0
1630,5.0
1632,5.0
1634,5.0
1636,5.5
1640,7.0
1644,5.0
1646,5.0
1647,6.0
1651,5.0
1652,5.0
1654,5.0
1656,5.0
1657,3.0
1659,5.0
1660,5.0
1661,5.5
1663,6.0
1664,6.0
1668,5.0
1670,5.0
1675,9.0
1679,5.0
1680,6.666666666666667
1682,6.0
1684,5.0
1686,6.5
1687,4.0
1689,5.333333333333333
1690,5.0
1694,5.0
1696,5.0
1698,5.0
1699,6.0
1700,5.0
1701,5.0
1702,5.0
1704,5.0
1707,6.0
1709,5.0
1710,5.0
1712,5.0
1713,5.0
1717,5.0
1718,5.0
1719,5.0
1720,5.0
1721,6.0
1724,5.0
1726,5.0
1728,4.833333333333333
1733,5.0
1734,5.0
1742,5.0
1746,5.0
1752,5.0
1766,4.5
1768,5.0
1771,4.0
1776,5.0
1779,4.0
1787,5.0
1788,5.0
1792,5.0
1795,5.0
1800,4.666666666666667
1801,8.0
1803,4.0
1811,7.0
1824,5.0
1826,5.0
1828,5.0
1831,5.0
1836,5.0
1838,5.0
1839,7.0
1842,5.0
1844,5.333333333333333
1848,5.0
1850,5.0
1856,2.0
1867,5.0
1869,5.0
1872,5.0
1888,6.0
1898,7.0
1902,8.0
1905,5.0
1922,5.0
1932,5.0
1940,5.5
1944,5.0
1959,5.0
1966,5.0
1968,9.0
1973,5.0
1976,5.0
1980,5.0
1987,5.0
1992,5.0
2000,6.0
2018,5.0
2020,5.0
2028,5.0
2036,5.0
2042,5.0
2046,5.0
2053,5.0
2069,6.0
2073,6.0
2076,5.0
2084,5.0
2097,5.0
2110,5.0
2113,6.0
2117,7.0
2121,5.0
2129,5.0
2136,3.0
2156,7.0
2158,7.0
2196,7.0
2207,5.0
2217,6.0
2223,6.0
2234,5.0
2259,5.0
2364,5.0
2392,5.0
2402,5.0
2411,5.0
2444,6.0
2515,3.0
2524,5.0
2633,5.0
2898,6.0
3138,5.0
3228,5.0
4692,5.0
