1stFlrSF,GarageYrBlt
912,1967.076923076923
913,1990.0
914,1998.0
915,1950.0
916,1945.6666666666667
918,1966.0
920,2001.5
923,1982.0
924,1981.0
925,1971.0
926,1985.5
927,1992.0
928,1964.5
929,
930,1946.0
932,1979.5
933,1994.0
935,1965.0
936,1982.0
938,1977.0
939,1969.5
941,2003.0
943,1983.6666666666667
944,1965.6666666666667
948,1969.5
949,1965.0
950,1955.0
951,1936.0
952,1959.5
953,1999.5
954,1970.3333333333333
955,1982.0
956,2001.0
958,1967.4
959,1989.0
960,1963.5714285714287
961,1988.0
962,2000.0
963,2001.0
964,1940.5
965,1979.0
966,1961.0
968,1934.6666666666667
969,1975.0
970,2002.0
971,1969.0
972,1943.5
974,
975,1997.0
976,1970.0
977,1985.0
979,1963.3333333333333
980,1985.25
981,1959.0
983,1983.6666666666667
984,1977.0
985,1977.0
986,1926.0
988,1955.2
989,1935.0
990,1997.2
991,2004.0
992,2000.0
993,1999.5
996,1992.0
997,1979.0
998,1989.0
999,1962.0
1001,1949.5
1002,1963.5
1003,1984.0
1004,1974.0
1005,1991.6666666666667
1006,1998.0
1007,2000.0
1008,1953.5
1010,2002.0
1012,1946.0
1013,
1014,1956.5
1015,1925.0
1020,1950.0
1021,1958.0
1022,1971.5
1024,
1026,1977.4
1028,1963.0
1029,1961.0
1032,1975.6666666666667
1034,1976.0
1035,
1036,1949.0
1038,2005.0
1039,1965.0
1040,1965.2
1041,1963.5
1042,1928.0
1044,1952.0
1047,1954.0
1048,1947.5
1050,1969.75
1051,1966.0
1052,1959.3333333333333
1053,1970.5
1054,1966.0
1055,1996.5
1056,1963.5
1057,1982.25
1058,2003.0
1060,1961.3333333333333
1061,1992.0
1062,1984.5
1063,1954.0
1064,1987.0
1065,1983.5
1067,1995.5
1068,1963.0
1069,1977.0
1071,2006.0
1072,1977.2
1073,1966.5
1074,1975.0
1075,1910.0
1077,1927.0
1078,1960.5
1079,1999.0
1080,1980.5
1082,1976.5
1085,1962.0
1086,1986.75
1088,1978.5
1089,1937.0
1090,2005.0
1091,2002.0
1092,1963.0
1094,1964.5
1095,1961.3333333333333
1096,1965.3333333333333
1097,1984.0
1098,1966.3333333333333
1099,1999.0
1100,1960.0
1103,1976.0
1104,1957.0
1105,1960.0
1107,1973.0
1108,1964.0
1110,1978.0
1112,1968.3333333333333
1113,1980.6666666666667
1114,2004.0
1116,1962.0
1117,1976.0
1118,1976.5
1120,1984.25
1121,1983.0
1122,1969.0
1124,
1125,1992.0
1126,1985.3333333333333
1127,1980.5
1128,1962.25
1130,1989.0
1131,1995.0
1132,2004.5
1133,1965.0
1134,1971.6666666666667
1136,1979.0
1137,1963.0
1138,1958.0
1140,1984.0
1141,2005.0
1142,1982.3333333333333
1143,2004.0
1144,1959.8
1145,2002.5
1146,2003.0
1148,1953.3333333333333
1149,1964.0
1150,1959.0
1152,1957.0
1153,1990.5
1154,1966.0
1155,1987.0
1156,1977.0
1158,2005.5
1159,1968.0
1160,1946.0
1161,1977.0
1163,1955.0
1164,1976.5
1165,1982.0
1166,1977.6666666666667
1167,1982.0
1168,1959.0
1170,1932.0
1172,1929.0
1173,1974.0
1175,1991.5
1178,1951.5
1180,1955.0
1181,1974.0
1182,1986.5
1184,2007.0
1186,1965.0
1187,1990.0
1188,1956.25
1190,1973.0
1192,1940.0
1194,1956.5
1195,1998.0
1196,1956.5
1199,1993.0
1200,1974.5
1203,1994.0
1204,1998.0
1207,1940.0
1208,1996.6666666666667
1210,1998.0
1211,1968.0
1212,1996.0
1214,1975.6666666666667
1215,1958.0
1216,1972.6666666666667
1217,1990.0
1218,2009.0
1220,1984.0
1221,2003.5
1222,1981.0
1223,1994.0
1224,1980.0
1225,
1226,1980.0
1228,1977.0
1229,1956.0
1232,1995.5
1234,2005.0
1235,1961.0
1236,1959.2
1238,1989.0
1240,2006.0
1241,2007.0
1242,1973.0
1244,1957.0
1246,1965.0
1247,2005.0
1248,2005.0
1249,2006.0
1251,1964.0
1252,1959.3333333333333
1253,1977.5
1256,1965.0
1258,1982.3333333333333
1260,1900.0
1261,1958.0
1262,1991.0
1264,1983.0
1265,1965.0
1266,2006.0
1268,1977.0
1269,1984.0
1272,
1274,2005.0
1276,1960.6666666666667
1277,1983.0
1279,1980.0
1281,1920.0
1282,2007.0
1283,1980.0
1284,2002.0
1285,1977.0
1287,1997.0
1288,1996.0
1291,1984.5
1294,1998.5
1296,1984.0
1297,1954.0
1298,1987.5
1299,2001.0
1301,1987.3333333333333
1302,1982.6666666666667
1304,1953.0
1306,1989.6666666666667
1307,1908.0
1309,1974.0
1310,2001.5
1314,1997.6
1316,2006.0
1318,1978.0
1319,1953.0
1320,1958.0
1324,1985.5
1325,1993.0
1327,1974.0
1328,1974.5
1332,1979.0
1334,1977.0
1336,1953.0
1337,1998.0
1338,1985.0
1339,1974.0
1340,1982.0
1342,1967.0
1344,1975.0
1349,2000.0
1350,1969.0
1352,1985.6666666666667
1357,1959.0
1358,2007.0
1360,1954.6666666666667
1361,1977.0
1362,1989.6666666666667
1363,1952.5
1364,2005.0
1368,2005.0
1370,1966.6666666666667
1372,2000.5
1375,1954.0
1377,1988.0
1378,1978.5
1381,1972.0
1382,1982.5
1383,1970.0
1389,1975.0
1390,1925.0
1391,2005.0
1392,1973.2
1394,1963.0
1402,2006.0
1405,2003.0
1407,1997.0
1411,1977.0
1412,1988.0
1414,1999.3333333333333
1416,2007.0
1419,2007.0
1422,1977.8
1423,1993.0
1425,1964.0
1426,2006.0
1428,2007.5
1429,1960.0
1430,2001.0
1431,1980.5
1432,1978.0
1434,2001.0
1436,1974.5
1437,1987.5
1440,1981.0
1442,1977.0
1444,1958.0
1445,1947.0
1453,1988.0
1454,2000.0
1456,2003.0
1459,2002.0
1462,2004.0
1464,2002.0
1465,1965.0
1466,1990.6666666666667
1468,1992.5
1470,1998.0
1472,1980.0
1473,1968.0
1476,2004.0
1478,1975.3333333333333
1479,2001.0
1482,2005.0
1484,1993.6666666666667
1486,1968.0
1489,1987.0
1490,1995.0
1493,1997.0
1494,1999.6
1496,1995.0
1498,2006.0
1500,2001.3333333333333
1501,1999.0
1502,1997.0
1504,2002.0
1505,1953.0
1506,2006.5
1507,1960.0
1509,1988.0
1512,1968.0
1516,1969.0
1518,1999.6666666666667
1520,1955.0
1521,1988.0
1523,1976.0
1525,2000.0
1526,1957.0
1530,2004.5
1532,1990.0
1533,1975.0
1535,1987.3333333333333
1536,2002.0
1537,1962.0
1541,2003.0
1542,1977.0
1547,1979.0
1548,1974.0
1549,1932.0
1552,2005.0
1553,1987.0
1554,2006.0
1555,2006.0
1557,2003.0
1559,1948.0
1560,2003.0
1561,2005.0
1563,2007.0
1566,2008.0
1567,1991.5
1569,2007.0
1571,2007.0
1572,1983.0
1573,2002.0
1574,2006.0
1575,1979.0
1576,1996.0
1578,2008.0
1580,2006.0
1582,1964.0
1584,1943.5
1586,1979.0
1588,2002.5
1593,2001.0
1600,1982.0
1601,1989.5
1602,1977.0
1604,2006.0
1610,1992.0
1614,2005.0
1616,2000.0
1617,1993.0
1619,1965.0
1620,2000.5
1621,1984.0
1622,1975.0
1624,1994.0
1625,2006.0
1629,2002.5
1630,2004.0
1632,1962.5
1634,2006.0
1636,2006.0
1640,1993.0
1644,1971.0
1646,2006.3333333333333
1647,1977.0
1651,1986.0
1652,2004.6666666666667
1654,2002.0
1656,1979.6666666666667
1657,1970.0
1659,2000.0
1660,2006.0
1661,1976.5
1663,1954.0
1664,1916.0
1668,2002.5
1670,2006.0
1675,2003.0
1679,1994.0
1680,1987.3333333333333
1682,1970.0
1684,2005.0
1686,1987.0
1687,1968.0
1689,1988.3333333333333
1690,2003.0
1694,2006.3333333333333
1696,1962.0
1698,2007.0
1699,1979.5
1700,1981.0
1701,1975.0
1702,2008.0
1704,2008.0
1707,1981.0
1709,1999.0
1710,2005.5
1712,2005.0
1713,2004.0
1717,2006.0
1718,2007.5
1719,1993.0
1720,1996.0
1721,1968.0
1724,1967.0
1726,2007.0
1728,1985.3333333333333
1733,1955.0
1734,2007.0
1742,1996.5
1746,2006.0
1752,2005.0
1766,1989.5
1768,
1771,1960.0
1776,1987.0
1779,1955.0
1787,2001.0
1788,2001.0
1792,2003.0
1795,2004.5
1800,2004.5
1801,1959.0
1803,1957.0
1811,1956.0
1824,1971.0
1826,2005.0
1828,2007.0
1831,1995.0
1836,2004.0
1838,2006.0
1839,1957.0
1842,1981.0
1844,1983.6666666666667
1848,2006.0
1850,2004.0
1856,2010.0
1867,1955.0
1869,2007.0
1872,1988.0
1888,1966.0
1898,1961.0
1902,1959.0
1905,2006.0
1922,2005.0
1932,2008.0
1940,1972.0
1944,2003.0
1959,1989.0
1966,2009.0
1968,1982.0
1973,2006.0
1976,2006.0
1980,2004.0
1987,1994.0
1992,2005.0
2000,1988.0
2018,2009.0
2020,1993.0
2028,2005.0
2036,1965.0
2042,2009.0
2046,2008.0
2053,1996.0
2069,1983.0
2073,1978.0
2076,2006.0
2084,2007.0
2097,2005.0
2110,1968.0
2113,1995.0
2117,1970.0
2121,2007.0
2129,1992.0
2136,1951.0
2156,1968.0
2158,1950.0
2196,1990.0
2207,1970.0
2217,1970.0
2223,1973.0
2234,2009.0
2259,1953.0
2364,2009.0
2392,2003.0
2402,2008.0
2411,1996.0
2444,1994.0
2515,1975.0
2524,1981.0
2633,2001.0
2898,1976.0
3138,2007.0
3228,1992.0
4692,2008.0
