Id,2ndFlrSF
448,930
449,596
450,504
451,0
452,0
453,868
454,804
455,0
456,0
457,720
458,0
459,833
460,224
461,1103
462,560
463,0
464,811
465,0
466,0
467,0
468,756
469,0
470,878
471,0
472,808
473,0
474,0
475,0
476,0
477,0
478,574
479,0
480,0
481,0
482,0
483,910
484,0
485,0
486,0
487,0
488,0
489,648
490,0
491,688
492,620
493,728
494,0
495,0
496,0
497,0
498,687
499,0
500,0
501,546
502,902
503,0
504,0
505,467
506,1000
507,846
508,0
509,689
510,0
511,0
512,0
513,0
514,0
515,0
516,0
517,741
518,1067
519,914
520,804
521,600
522,0
523,660
524,1538
525,1015
526,0
527,0
528,1237
529,0
530,0
531,0
532,611
533,0
534,0
535,707
536,527
537,844
538,0
539,0
540,0
541,0
542,1288
543,0
544,0
545,832
546,806
547,720
548,0
549,0
550,1182
551,0
552,0
553,0
554,0
555,1040
556,0
557,0
558,439
559,717
560,0
561,0
562,0
563,0
564,511
565,1129
566,806
567,1370
568,0
569,636
570,0
571,0
572,0
573,846
574,656
575,533
576,384
577,600
578,0
579,689
580,745
581,0
582,0
583,0
584,1254
585,584
586,0
587,0
588,0
589,0
590,0
591,812
592,568
593,0
594,0
595,0
596,0
597,684
598,0
599,0
600,840
601,846
602,595
603,988
604,600
605,0
606,800
607,0
608,896
609,1254
610,0
611,677
612,0
613,573
614,0
615,0
616,0
617,702
618,0
619,0
620,780
621,0
622,1066
623,0
624,756
625,778
626,0
627,0
628,0
629,1040
630,0
631,661
632,0
633,0
634,0
635,0
636,1440
637,0
638,576
639,0
640,0
641,0
642,872
643,704
644,840
645,0
646,0
647,0
648,0
649,788
650,0
651,843
652,755
653,807
654,713
655,0
656,567
657,0
658,651
659,546
660,0
661,793
662,762
663,0
664,0
665,0
666,482
667,915
668,0
669,0
670,0
671,738
672,672
673,0
674,0
675,0
676,586
677,679
678,0
679,0
680,0
681,0
682,672
683,0
684,0
685,644
686,900
687,887
688,551
689,0
690,0
691,0
692,1872
693,1281
694,0
695,472
696,0
697,0
698,0
699,0
700,0
701,0
702,0
703,1312
704,780
705,0
706,720
707,0
708,0
709,728
710,0
711,0
712,319
713,0
714,0
715,754
716,0
717,978
718,0
719,1093
720,0
721,0
722,0
723,0
724,473
725,0
726,0
727,0
728,0
729,0
730,0
731,0
732,0
733,878
734,0
735,0
736,888
737,0
738,900
739,0
740,864
741,664
742,0
743,0
744,0
745,0
746,1540
747,1276
748,1320
749,0
750,441
751,348
752,660
753,0
754,1060
755,0
756,729
757,902
758,714
759,744
760,1203
761,0
762,0
763,783
764,1097
765,0
766,0
767,734
768,767
769,0
770,1589
771,0
772,0
773,0
774,0
775,0
776,0
777,0
778,0
779,0
780,0
781,0
782,793
783,0
784,0
785,742
786,0
787,686
788,1128
789,0
790,1111
791,0
792,0
793,886
794,0
795,809
796,676
797,0
798,0
799,1174
800,787
801,1072
802,0
803,728
804,1088
805,0
806,0
807,0
808,504
809,0
810,1063
811,0
812,0
813,0
814,0
815,564
816,0
817,0
818,0
819,0
820,0
821,842
822,0
823,886
824,545
825,0
826,0
827,0
828,0
829,966
830,623
831,0
832,600
833,888
834,0
835,0
836,0
837,0
838,504
839,0
840,432
841,672
842,581
843,0
844,0
845,540
846,0
847,769
848,0
849,1051
850,761
851,0
852,0
853,728
854,0
855,0
856,0
857,0
858,779
859,0
860,1142
861,514
862,0
863,0
864,0
865,0
866,0
867,0
868,0
869,720
870,887
871,0
872,878
873,0
874,0
875,455
876,1426
877,0
878,762
879,0
880,0
881,0
882,530
883,785
884,795
885,0
886,0
887,0
888,521
889,0
890,0
891,252
892,765
893,0
894,0
895,0
896,813
897,0
898,1120
899,0
900,0
901,0
902,0
903,702
904,0
905,0
906,0
907,0
908,1037
909,0
910,742
911,1169
912,0
913,0
914,1001
915,612
916,546
917,0
918,0
919,1215
920,0
921,785
922,928
923,0
924,0
925,0
926,0
927,1140
928,880
929,0
930,1243
931,0
932,0
933,0
934,0
935,0
936,0
937,0
938,858
939,571
940,1196
941,0
942,1038
943,0
944,0
945,0
946,561
947,0
948,0
949,840
950,0
951,0
952,0
953,0
954,800
955,0
956,979
957,668
958,0
959,0
960,720
961,0
962,1330
963,744
964,0
965,1070
966,701
967,332
968,0
969,368
970,0
971,472
972,862
973,0
974,0
975,883
976,709
977,0
978,0
979,0
980,0
981,0
982,1336
983,0
984,1141
985,432
986,0
987,634
988,0
989,912
990,798
991,985
992,826
993,831
994,750
995,0
996,456
997,0
998,0
999,0
1000,0
1001,0
1002,0
1003,0
1004,0
1005,0
1006,0
1007,0
1008,546
1009,0
1010,0
1011,551
1012,0
1013,602
1014,0
1015,0
1016,855
1017,0
1018,0
1019,670
1020,0
1021,0
1022,0
1023,336
1024,0
1025,0
1026,0
1027,0
1028,0
1029,408
1030,546
1031,980
1032,998
1033,1168
1034,0
1035,0
1036,0
1037,0
1038,1208
1039,546
1040,0
1041,0
1042,832
1043,0
1044,797
1045,0
1046,0
1047,876
1048,0
1049,0
1050,0
1051,0
1052,0
1053,850
1054,0
1055,898
1056,0
1057,0
1058,871
1059,1054
1060,895
1061,0
1062,0
1063,915
1064,0
1065,0
1066,954
1067,772
1068,813
1069,1230
1070,0
1071,0
1072,727
1073,454
1074,728
1075,0
1076,780
1077,370
1078,0
1079,0
1080,0
1081,0
1082,0
1083,0
1084,0
1085,807
1086,0
1087,546
1088,871
1089,739
1090,0
1091,0
1092,628
1093,304
1094,0
1095,0
1096,0
1097,582
1098,0
1099,567
1100,0
1101,0
1102,0
1103,0
1104,0
1105,672
1106,1122
1107,0
1108,1134
1109,742
1110,0
1111,885
1112,866
1113,0
1114,0
1115,0
1116,0
1117,640
1118,0
1119,580
1120,0
1121,0
1122,0
1123,0
1124,0
1125,670
1126,0
1127,0
1128,0
1129,1112
1130,0
1131,653
1132,0
1133,1032
1134,878
1135,684
1136,0
1137,220
1138,240
1139,0
1140,0
1141,0
1142,780
1143,1362
1144,0
1145,252
1146,534
1147,0
1148,704
1149,539
1150,650
1151,0
1152,0
1153,0
1154,0
1155,918
1156,0
1157,0
1158,0
1159,0
1160,933
1161,601
1162,0
1163,0
1164,0
1165,0
1166,0
1167,0
1168,712
1169,872
1170,1796
1171,0
1172,0
1173,625
1174,971
1175,1175
1176,743
1177,0
1178,406
1179,523
1180,0
1181,1216
1182,0
1183,2065
1184,0
1185,0
1186,272
1187,685
1188,0
1189,829
1190,776
1191,0
1192,677
1193,630
1194,0
1195,689
1196,728
1197,984
1198,875
1199,0
1200,0
1201,0
1202,913
1203,464
1204,0
1205,0
1206,0
1207,0
1208,0
1209,0
1210,0
1211,790
1212,672
1213,0
1214,0
1215,0
1216,0
1217,584
1218,0
1219,240
1220,546
1221,0
1222,0
1223,678
1224,0
1225,702
1226,0
1227,1039
1228,0
1229,0
1230,0
1231,1259
1232,0
1233,0
1234,0
1235,940
1236,892
1237,862
1238,1101
1239,0
1240,0
1241,884
1242,0
1243,0
1244,0
1245,725
1246,728
1247,797
1248,0
1249,924
1250,0
1251,0
1252,0
1253,0
1254,651
1255,896
1256,408
1257,0
1258,0
1259,0
1260,0
1261,783
1262,0
1263,684
1264,764
1265,0
1266,739
1267,925
1268,0
1269,1479
1270,650
1271,192
1272,0
1273,0
1274,0
1275,589
1276,992
1277,660
1278,0
1279,903
1280,430
1281,0
1282,0
1283,0
1284,912
1285,748
1286,587
1287,0
1288,0
1289,0
1290,850
1291,0
1292,672
1293,994
1294,832
1295,0
1296,0
1297,0
1298,0
1299,950
1300,0
1301,978
1302,741
1303,1323
1304,0
1305,732
1306,0
1307,0
1308,0
1309,0
1310,0
1311,0
1312,0
1313,1357
1314,1177
1315,0
1316,1020
1317,0
1318,0
1319,0
1320,0
1321,0
1322,0
1323,862
1324,0
1325,0
1326,0
1327,0
1328,0
1329,1208
1330,677
1331,0
1332,0
1333,0
1334,557
1335,600
1336,0
1337,0
1338,0
1339,941
1340,0
1341,0
1342,0
1343,885
1344,741
1345,728
1346,0
1347,0
1348,0
1349,0
1350,1215
1351,1296
1352,858
1353,390
1354,1185
1355,873
1356,698
1357,0
1358,0
1359,804
1360,0
1361,1611
1362,0
1363,457
1364,796
1365,600
1366,860
1367,908
1368,550
1369,0
1370,0
1371,534
1372,0
1373,989
1374,0
1375,932
1376,0
1377,0
1378,620
1379,504
1380,640
1381,0
1382,0
1383,764
1384,0
1385,560
1386,358
1387,1392
1388,862
1389,0
1390,349
1391,0
1392,0
1393,0
1394,691
1395,0
1396,1349
1397,0
1398,574
1399,768
1400,448
1401,208
1402,729
1403,0
1404,0
1405,520
1406,0
1407,0
1408,0
1409,622
1410,857
1411,896
1412,556
1413,0
1414,0
1415,795
1416,0
1417,1044
1418,1140
1419,0
1420,0
1421,708
1422,0
1423,0
1424,626
1425,0
1426,0
1427,904
1428,510
1429,0
1430,0
1431,1104
1432,0
1433,0
1434,830
1435,0
1436,0
1437,0
1438,0
1439,0
1440,685
1441,748
1442,0
1443,981
1444,0
1445,0
1446,0
1447,0
1448,870
1449,550
1450,0
1451,896
1452,0
1453,0
1454,0
1455,0
1456,694
1457,0
1458,1152
1459,0
1460,0
