SalePrice,2ndFlrSF
134800,0.0
134900,195.0
135000,311.05882352941177
135500,260.5
135750,0.0
135900,780.0
135960,0.0
136000,586.0
136500,60.8
136900,639.0
136905,0.0
137000,402.4
137450,448.0
137500,218.83333333333334
137900,0.0
138000,256.0
138500,0.0
138800,0.0
138887,892.0
139000,247.27272727272728
139400,0.0
139500,545.0
139600,0.0
139900,0.0
139950,0.0
140000,293.9
140200,605.0
141000,74.375
141500,472.0
142000,0.0
142125,0.0
142500,0.0
142600,0.0
142953,1120.0
143000,189.4
143250,0.0
143500,0.0
143750,0.0
143900,0.0
144000,152.5
144152,600.0
144500,0.0
144900,0.0
145000,221.21428571428572
145250,0.0
145500,0.0
145900,928.0
146000,430.0
146500,756.0
146800,0.0
147000,126.55555555555556
147400,623.0
147500,0.0
148000,0.0
148500,395.6666666666667
148800,551.0
149000,296.25
149300,0.0
149350,0.0
149500,364.0
149700,0.0
149900,0.0
150000,0.0
150500,0.0
150750,0.0
150900,0.0
151000,408.0
151400,1230.0
151500,0.0
152000,325.8333333333333
153000,0.0
153337,0.0
153500,0.0
153575,698.0
153900,270.0
154000,317.8
154300,1169.0
154500,0.0
154900,523.0
155000,315.0
155835,728.0
155900,0.0
156000,0.0
156500,0.0
156932,796.0
157000,127.33333333333333
157500,290.5
157900,0.0
158000,238.33333333333334
158500,0.0
158900,714.0
159000,327.25
159434,672.0
159500,568.6666666666666
159895,0.0
159950,0.0
160000,414.5833333333333
160200,0.0
161000,761.0
161500,342.0
161750,703.0
162000,330.0
162500,0.0
162900,638.5
163000,394.75
163500,0.0
163900,670.0
163990,728.0
164000,466.6666666666667
164500,306.0
164700,625.0
164900,0.0
164990,0.0
165000,270.125
165150,778.0
165400,896.0
165500,0.0
165600,804.0
166000,237.5
167000,0.0
167240,0.0
167500,507.6666666666667
167900,406.5
168000,398.0
168500,475.3333333333333
169000,717.3333333333334
169500,764.0
169900,0.0
169990,0.0
170000,215.5
171000,306.8
171500,0.0
171750,0.0
171900,625.0
172000,800.0
172400,711.0
172500,583.6
172785,728.0
173000,464.0
173500,738.0
173733,612.0
173900,750.0
174000,439.14285714285717
174500,704.0
174900,0.0
175000,322.22222222222223
175500,287.3333333333333
175900,396.5
176000,292.125
176432,0.0
176485,0.0
176500,338.5
177000,602.6
177500,515.0
178000,650.8571428571429
178400,0.0
178740,0.0
178900,701.0
179000,264.3333333333333
179200,0.0
179400,744.0
179500,720.0
179540,728.0
179600,0.0
179665,832.0
179900,289.8
180000,218.6
180500,191.0
181000,314.7142857142857
181134,0.0
181500,0.0
181900,0.0
182000,0.0
182900,0.0
183000,842.0
183200,702.0
183500,880.0
183900,739.0
184000,535.75
184100,640.0
184750,1538.0
184900,0.0
185000,474.2
185500,0.0
185750,0.0
185850,0.0
185900,812.0
186000,0.0
186500,813.5
186700,0.0
187000,823.3333333333334
187100,0.0
187500,408.0
187750,0.0
188000,576.3333333333334
188500,716.0
188700,811.0
189000,650.8333333333334
189950,514.0
190000,421.0
191000,388.75
192000,312.2
192140,1104.0
192500,420.0
193000,545.6666666666666
193500,480.0
193879,0.0
194000,0.0
194201,0.0
194500,513.0
194700,0.0
195000,947.3333333333334
195400,0.0
196000,0.0
196500,797.0
197000,620.25
197500,390.0
197900,568.6666666666666
198500,1427.0
198900,0.0
199900,465.0
200000,963.625
200100,901.0
200141,0.0
200500,924.5
200624,0.0
201000,261.6666666666667
201800,918.0
202500,0.0
202665,0.0
202900,915.0
203000,0.0
204000,434.0
204750,881.0
204900,0.0
205000,525.0
205950,843.0
206000,0.0
206300,0.0
206900,1020.0
207000,397.5
207500,352.8
208300,0.0
208500,854.0
208900,0.0
209500,0.0
210000,499.8
211000,905.0
212000,578.6666666666666
212900,0.0
213000,256.3333333333333
213250,0.0
213490,0.0
213500,429.0
214000,415.4
214500,689.0
214900,1070.0
215000,496.5
215200,783.0
216000,860.0
216500,1100.0
216837,0.0
217000,0.0
217500,0.0
218000,0.0
219210,984.0
219500,946.0
220000,376.6
221000,322.0
221500,0.0
222000,414.3333333333333
222500,1014.5
223000,0.0
223500,685.0
224000,0.0
224500,846.0
224900,442.0
225000,810.6666666666666
226000,604.3333333333334
226700,902.0
227000,285.0
227680,0.0
227875,887.0
228000,508.5
228500,846.0
228950,167.0
229000,806.0
229456,0.0
230000,469.375
230500,482.0
231500,832.5
232000,0.0
232600,0.0
233000,1128.0
233170,0.0
233230,840.0
234000,402.0
235000,557.1428571428571
235128,0.0
236000,1081.5
236500,0.0
237000,895.5
237500,0.0
238000,1215.0
239000,684.5
239500,878.0
239686,631.0
239799,571.0
239900,900.0
240000,643.5
241000,438.0
241500,0.0
242000,540.0
243000,0.0
244000,344.0
244400,1196.0
244600,0.0
245000,0.0
245350,0.0
245500,0.0
246578,0.0
248000,1079.5
248328,0.0
248900,0.0
249700,0.0
250000,963.875
250580,0.0
251000,0.0
252000,871.0
252678,920.0
253000,858.0
253293,0.0
254000,0.0
254900,956.0
255000,449.0
255500,0.0
255900,1141.0
256000,604.0
256300,0.0
257000,0.0
257500,0.0
258000,1098.0
259000,0.0
259500,884.0
260000,630.3333333333334
260400,0.0
261500,573.0
262000,0.0
262280,797.0
262500,0.0
263000,1182.0
263435,1103.0
264132,0.0
264561,0.0
265000,1067.0
265900,0.0
265979,1320.0
266000,422.0
266500,1152.0
267000,1242.0
268000,564.5
269500,1194.0
269790,886.0
270000,290.3333333333333
271000,452.0
271900,0.0
272000,665.0
274000,0.0
274300,989.0
274725,1134.0
274900,0.0
274970,626.0
275000,169.2
275500,1060.0
276000,1092.0
277000,791.0
277500,0.0
278000,0.0
279500,0.0
280000,484.75
281000,850.0
281213,1349.0
282922,0.0
283463,0.0
284000,520.0
285000,627.6666666666666
286000,0.0
287000,604.0
287090,0.0
289000,0.0
290000,987.6
293077,0.0
294000,651.0
295000,1818.0
295493,0.0
297000,0.0
299800,1540.0
301000,1177.0
301500,0.0
302000,678.5
303477,1426.0
305000,780.0
305900,0.0
306000,0.0
307000,0.0
309000,1320.0
310000,1074.5
311500,817.0
311872,0.0
312500,0.0
313000,677.0
314813,0.0
315000,584.5
315500,0.0
315750,1015.0
316600,636.0
317000,1330.0
318000,0.0
318061,0.0
319000,0.0
319900,0.0
320000,648.25
324000,0.0
325000,936.5
325300,1218.0
325624,551.0
326000,0.0
328000,954.0
328900,0.0
333168,1177.0
335000,778.3333333333334
336000,1336.0
337000,1097.0
337500,0.0
339750,1028.0
340000,1013.0
341000,1093.0
342643,1347.0
345000,923.0
348000,985.0
350000,381.0
354000,1332.0
359100,1254.0
360000,0.0
361919,1312.0
367294,0.0
369900,0.0
370878,0.0
372402,0.0
372500,0.0
374000,0.0
375000,0.0
377426,0.0
377500,0.0
378500,0.0
380000,574.0
381000,1479.0
383970,1414.0
385000,0.0
386250,0.0
392000,0.0
392500,0.0
394432,0.0
394617,0.0
395000,0.0
395192,0.0
402000,762.0
402861,0.0
403000,1304.0
410000,1185.0
412500,1096.0
415298,0.0
423000,0.0
424870,1362.0
426000,590.0
430000,0.0
437154,880.0
438780,1519.0
440000,0.0
446261,1237.0
451950,568.0
465000,0.0
466500,0.0
475000,1518.0
485000,1174.0
501837,0.0
538000,1589.0
555000,0.0
556581,876.0
582933,1088.0
611657,0.0
625000,1796.0
745000,2065.0
755000,1872.0
