1stFlrSF,SalePrice
1288,245500.0
1291,162200.0
1294,186539.5
1296,155000.0
1297,153000.0
1298,215000.0
1299,261500.0
1301,182583.33333333334
1302,153495.0
1304,225000.0
1306,188375.0
1307,240000.0
1309,181000.0
1310,252495.0
1314,197677.6
1316,185065.5
1318,112000.0
1319,123000.0
1320,215239.5
1324,207000.0
1325,341000.0
1327,150750.0
1328,184500.0
1332,260000.0
1334,167900.0
1336,157000.0
1337,174875.0
1338,206750.0
1339,159500.0
1340,150567.0
1342,161500.0
1344,162600.0
1349,179000.0
1350,166750.0
1352,216300.0
1357,177000.0
1358,215500.0
1360,184166.66666666666
1361,190000.0
1362,185900.0
1363,203200.0
1364,185850.0
1368,202582.5
1370,197833.33333333334
1372,255290.0
1375,140000.0
1377,229000.0
1378,132750.0
1381,197500.0
1382,162000.0
1383,208666.66666666666
1389,170000.0
1390,136500.0
1391,217899.5
1392,193500.0
1394,159000.0
1402,194201.0
1405,171750.0
1407,348000.0
1411,82500.0
1412,175000.0
1414,180246.66666666666
1416,112000.0
1419,392000.0
1422,183633.6
1423,191000.0
1425,180500.0
1426,438780.0
1428,204840.0
1429,181900.0
1430,187100.0
1431,178500.0
1432,194000.0
1434,189000.0
1436,234750.0
1437,193000.0
1440,162725.0
1442,175825.0
1444,277000.0
1445,186250.0
1453,246000.0
1454,230500.0
1456,215000.0
1459,192000.0
1462,350000.0
1464,228961.0
1465,129000.0
1466,258590.0
1468,239800.0
1470,315000.0
1472,187500.0
1473,143000.0
1476,379630.5
1478,178666.66666666666
1479,208500.0
1482,290500.0
1484,217966.66666666666
1486,167000.0
1489,209175.0
1490,403000.0
1493,208900.0
1494,240500.0
1496,270800.0
1498,204900.0
1500,253859.33333333334
1501,204000.0
1502,222585.0
1504,191666.66666666666
1505,149500.0
1506,238811.0
1507,127000.0
1509,175000.0
1512,250000.0
1516,230500.0
1518,329562.0
1520,153000.0
1521,325000.0
1523,180000.0
1525,235000.0
1526,144500.0
1530,259500.0
1532,262280.0
1533,280000.0
1535,150607.33333333334
1536,214000.0
1537,174000.0
1541,212500.0
1542,272000.0
1547,169000.0
1548,240000.0
1549,315000.0
1552,212900.0
1553,301000.0
1554,209500.0
1555,183250.0
1557,234000.0
1559,153500.0
1560,201000.0
1561,277500.0
1563,245000.0
1566,262500.0
1567,230280.5
1569,175900.0
1571,239000.0
1572,299600.0
1573,227000.0
1574,232000.0
1575,227085.0
1576,159500.0
1578,287090.0
1580,287564.0
1582,190000.0
1584,190000.0
1586,181000.0
1588,220500.0
1593,286000.0
1600,231900.0
1601,214500.0
1602,215000.0
1604,220000.0
1610,265312.0
1614,221500.0
1616,234250.0
1617,193000.0
1619,228950.0
1620,232750.0
1621,202500.0
1622,168000.0
1624,262000.0
1625,235000.0
1629,277000.0
1630,254246.5
1632,141000.0
1634,250000.0
1636,227750.0
1640,224000.0
1644,221000.0
1646,272325.6666666667
1647,217500.0
1651,184000.0
1652,322833.3333333333
1654,230000.0
1656,199900.0
1657,163500.0
1659,278000.0
1660,290000.0
1661,195200.0
1663,256000.0
1664,118000.0
1668,258500.0
1670,240000.0
1675,295000.0
1679,193500.0
1680,190718.33333333334
1682,174000.0
1684,266000.0
1686,304750.0
1687,178500.0
1689,215609.33333333334
1690,538000.0
1694,290116.6666666667
1696,143900.0
1698,320000.0
1699,244500.0
1700,182750.0
1701,171000.0
1702,367294.0
1704,306000.0
1707,228000.0
1709,328900.0
1710,306201.0
1712,145000.0
1713,274900.0
1717,255500.0
1718,317250.0
1719,324000.0
1720,260400.0
1721,180000.0
1724,197900.0
1726,311872.0
1728,196241.66666666666
1733,139600.0
1734,386977.6666666667
1742,350500.0
1746,377500.0
1752,319900.0
1766,265439.0
1768,136500.0
1771,115000.0
1776,196731.5
1779,170000.0
1787,275000.0
1788,236500.0
1792,374000.0
1795,188500.0
1800,230833.33333333334
1801,289000.0
1803,155000.0
1811,230000.0
1824,302000.0
1826,319000.0
1828,314813.0
1831,625000.0
1836,248418.5
1838,315000.0
1839,257500.0
1842,385000.0
1844,223333.33333333334
1848,437154.0
1850,326000.0
1856,394432.0
1867,190000.0
1869,318061.0
1872,241500.0
1888,190000.0
1898,242000.0
1902,335000.0
1905,320000.0
1922,377426.0
1932,394617.0
1940,377146.0
1944,360000.0
1959,171000.0
1966,485000.0
1968,381000.0
1973,395000.0
1976,440000.0
1980,315000.0
1987,301500.0
1992,556581.0
2000,325450.0
2018,378500.0
2020,273430.5
2028,369900.0
2036,375000.0
2042,253293.0
2046,372500.0
2053,410000.0
2069,311000.0
2073,210000.0
2076,465000.0
2084,385000.0
2097,423000.0
2110,244000.0
2113,350000.0
2117,237500.0
2121,415298.0
2129,285000.0
2136,137900.0
2156,262500.0
2158,243000.0
2196,271900.0
2207,180000.0
2217,268000.0
2223,244000.0
2234,501837.0
2259,217000.0
2364,611657.0
2392,386250.0
2402,555000.0
2411,745000.0
2444,755000.0
2515,200624.0
2524,278000.0
2633,466500.0
2898,287000.0
3138,184750.0
3228,430000.0
4692,160000.0
