GrLivArea.1,HalfBath
1250,0.75
1251,0.0
1252,0.2
1253,0.5
1256,1.0
1258,0.5
1261,0.0
1262,0.0
1264,0.0
1265,0.0
1266,0.0
1268,0.3333333333333333
1269,0.5
1271,0.0
1274,0.0
1276,0.0
1277,0.0
1279,0.0
1283,0.0
1284,1.0
1285,0.5
1287,0.0
1288,1.0
1291,0.0
1294,0.0
1296,0.0
1297,0.0
1298,0.0
1301,0.0
1302,0.6
1304,1.0
1306,0.0
1308,1.0
1309,1.0
1310,0.0
1314,0.0
1316,0.0
1317,0.0
1319,0.0
1320,0.5
1322,1.0
1324,0.0
1327,0.0
1328,0.6666666666666666
1334,0.0
1336,0.5
1337,0.0
1338,0.0
1339,0.0
1340,0.0
1342,0.0
1343,1.0
1344,0.14285714285714285
1346,1.0
1347,0.0
1348,0.5
1349,0.0
1350,0.5
1352,0.3333333333333333
1355,0.5
1357,0.0
1358,0.0
1360,0.3333333333333333
1362,0.5
1363,0.0
1364,0.0
1365,1.0
1367,0.0
1368,0.0
1369,0.0
1370,0.0
1372,0.0
1374,0.0
1375,0.5
1376,0.0
1378,0.0
1381,1.0
1382,0.75
1383,0.5
1385,0.0
1386,1.0
1387,0.0
1389,0.5
1391,0.0
1392,0.6
1393,1.0
1394,1.0
1395,1.0
1396,0.0
1400,1.0
1402,2.0
1405,0.0
1406,0.0
1411,0.0
1412,0.3333333333333333
1414,0.25
1416,0.75
1419,0.5
1422,0.0
1425,0.0
1426,1.0
1428,0.0
1429,0.0
1430,0.6666666666666666
1431,0.0
1432,0.6666666666666666
1434,0.0
1436,0.0
1437,0.5
1440,0.0
1441,1.0
1442,0.25
1445,1.0
1446,1.0
1452,0.5
1453,1.0
1456,0.8
1458,0.5
1459,0.0
1464,0.0
1466,0.3333333333333333
1468,0.0
1469,0.0
1470,0.3333333333333333
1471,1.0
1472,0.3333333333333333
1473,0.0
1474,1.0
1475,0.0
1476,1.0
1477,0.0
1478,0.6666666666666666
1479,0.5
1481,1.0
1482,0.3333333333333333
1484,0.3333333333333333
1486,0.0
1487,1.0
1489,0.0
1490,1.0
1493,0.0
1494,0.16666666666666666
1496,0.5
1498,0.5
1500,0.3333333333333333
1501,0.6666666666666666
1502,0.75
1504,0.0
1505,0.0
1506,0.0
1507,0.0
1509,0.6666666666666666
1510,0.0
1511,1.0
1512,1.0
1513,1.0
1516,1.0
1517,0.0
1518,1.0
1520,0.0
1522,0.0
1523,0.0
1524,1.0
1525,0.5
1526,0.0
1529,0.0
1530,0.0
1533,0.0
1535,0.0
1536,0.0
1537,1.0
1539,0.5
1541,0.0
1547,1.0
1548,1.0
1550,0.0
1552,0.5
1553,1.0
1554,0.0
1555,0.0
1556,1.0
1557,0.0
1558,1.0
1559,0.0
1560,0.5
1561,0.0
1563,0.0
1564,1.0
1566,0.0
1567,0.0
1569,0.0
1571,0.5
1572,1.0
1573,0.25
1574,0.5
1575,0.0
1576,0.6666666666666666
1577,0.0
1578,0.0
1580,0.0
1582,0.5
1584,0.0
1586,0.0
1588,0.0
1590,1.0
1593,1.0
1595,0.0
1600,0.3333333333333333
1601,0.0
1602,0.0
1603,1.0
1604,0.6666666666666666
1605,0.0
1608,1.0
1610,0.0
1611,1.0
1614,0.0
1616,0.0
1617,0.0
1620,0.3333333333333333
1621,0.0
1622,0.0
1624,0.0
1625,0.0
1626,0.6666666666666666
1629,0.0
1630,0.0
1632,0.5
1634,0.0
1635,0.5
1636,0.0
1638,1.0
1639,0.0
1640,0.6666666666666666
1641,1.0
1644,0.3333333333333333
1646,0.0
1647,0.6666666666666666
1651,0.0
1652,0.0
1654,0.0
1656,0.4
1657,0.0
1658,1.0
1659,0.0
1660,0.6666666666666666
1661,0.3333333333333333
1663,0.0
1664,0.5
1665,1.0
1666,0.0
1668,0.5
1670,0.0
1671,1.0
1674,0.5
1675,1.0
1679,0.0
1680,0.0
1682,0.5
1683,1.0
1684,0.0
1686,0.0
1687,0.0
1688,1.0
1689,0.0
1690,0.5
1691,0.0
1692,1.0
1694,0.0
1696,1.0
1698,0.0
1699,0.0
1700,0.5
1701,0.0
1702,1.0
1704,0.0
1707,1.0
1708,0.0
1709,0.0
1710,0.4
1712,0.0
1713,0.0
1714,1.0
1716,0.75
1717,0.3333333333333333
1718,0.3333333333333333
1719,1.0
1720,0.6666666666666666
1721,1.0
1724,1.0
1725,1.0
1726,0.0
1728,0.2857142857142857
1732,1.0
1733,0.5
1734,0.25
1738,0.0
1739,1.0
1740,1.0
1742,0.5
1743,2.0
1744,1.0
1746,0.0
1750,0.0
1752,0.0
1756,1.0
1761,0.0
1762,1.0
1764,1.0
1766,1.0
1767,0.0
1768,0.8333333333333334
1771,0.0
1774,0.0
1775,1.0
1776,0.3333333333333333
1779,1.0
1784,1.0
1786,0.6666666666666666
1787,0.0
1788,0.0
1790,1.5
1792,1.0
1795,0.0
1796,1.0
1797,1.0
1800,0.25
1801,0.5
1802,1.0
1803,0.0
1804,1.0
1811,0.0
1812,0.0
1818,1.0
1820,1.0
1824,0.6666666666666666
1826,0.5
1828,0.0
1829,1.0
1836,0.0
1838,0.5
1839,0.6666666666666666
1840,1.0
1842,1.0
1844,0.0
1845,1.0
1846,0.0
1848,1.0
1850,0.5
1851,1.0
1852,1.0
1855,0.5
1856,1.0
1861,1.0
1863,1.0
1865,1.0
1867,0.0
1868,1.0
1869,0.0
1872,0.5
1876,1.0
1886,1.0
1888,1.0
1889,1.0
1894,1.0
1895,1.0
1902,0.0
1904,1.0
1905,0.0
1908,1.0
1911,1.0
1912,0.0
1913,1.0
1915,1.0
1919,1.0
1920,0.0
1922,0.0
1923,1.0
1924,1.0
1928,0.3333333333333333
1929,1.0
1932,0.0
1933,1.0
1935,1.0
1936,1.0
1939,1.0
1940,1.0
1944,0.0
1947,1.0
1948,1.0
1949,1.0
1950,1.0
1953,1.0
1954,1.0
1958,0.5
1959,0.6666666666666666
1960,0.5
1961,1.0
1962,1.0
1964,1.0
1968,1.0
1969,1.0
1970,1.0
1971,1.0
1973,0.0
1976,0.0
1977,1.0
1978,1.0
1980,0.0
1981,0.0
1982,1.0
1983,1.0
1986,1.0
1987,0.0
1989,1.0
1991,1.0
1992,1.0
1993,1.0
2000,0.0
2002,0.0
2007,1.0
2008,0.0
2013,1.0
2018,0.0
2019,0.0
2020,0.6666666666666666
2021,1.0
2022,1.0
2028,0.0
2030,1.0
2031,1.0
2034,1.0
2035,1.0
2036,0.0
2042,1.0
2046,1.0
2054,1.0
2057,1.0
2058,1.0
2060,1.0
2062,1.0
2069,0.0
2073,0.0
2076,1.0
2078,1.0
2080,1.5
2082,1.0
2084,0.5
2087,1.0
2090,0.6666666666666666
2093,1.0
2094,1.0
2097,1.0
2098,1.0
2108,0.0
2110,1.0
2112,1.0
2113,1.0
2117,1.0
2119,1.0
2121,1.0
2126,1.0
2127,1.0
2132,1.0
2134,0.0
2136,0.0
2138,0.0
2142,1.0
2144,0.0
2149,1.0
2153,1.0
2156,0.0
2157,1.0
2158,0.0
2161,1.0
2167,1.0
2169,1.0
2172,1.0
2183,1.0
2184,1.0
2192,1.0
2196,0.0
2198,1.0
2200,2.0
2201,0.0
2207,0.0
2210,0.0
2217,0.0
2223,0.0
2224,1.0
2229,0.0
2230,0.0
2234,0.0
2236,1.0
2240,0.0
2243,1.0
2256,1.0
2259,0.0
2260,1.0
2262,1.0
2263,1.0
2267,1.0
2270,1.0
2274,0.0
2285,1.0
2287,0.0
2290,0.5
2291,0.5
2295,1.0
2296,1.0
2320,0.5
2324,0.0
2329,1.0
2332,1.0
2337,0.0
2340,0.0
2344,1.0
2345,1.0
2353,1.0
2358,0.0
2364,1.0
2365,1.0
2372,0.0
2374,1.0
2376,1.0
2380,1.0
2392,0.5
2398,1.0
2402,0.0
2403,0.0
2414,0.0
2417,1.0
2418,1.0
2447,0.0
2448,1.0
2450,1.0
2452,1.0
2462,1.0
2466,0.0
2468,1.0
2473,1.0
2482,1.0
2504,1.0
2514,1.0
2515,0.0
2519,1.0
2520,1.0
2521,1.0
2524,1.0
2526,0.5
2531,1.0
2554,1.0
2555,0.0
2574,1.0
2576,1.0
2596,1.0
2599,1.0
2601,1.0
2610,1.0
2612,1.0
2614,1.0
2620,2.0
2622,1.0
2624,1.0
2630,1.0
2633,1.0
2634,2.0
2640,1.0
2643,1.0
2646,1.0
2654,1.0
2668,1.0
2696,1.0
2704,1.0
2713,1.0
2715,1.0
2727,1.0
2728,1.0
2730,1.0
2775,1.0
2784,1.0
2792,0.0
2794,1.0
2810,1.0
2822,1.0
2828,0.0
2868,1.0
2872,1.0
2898,0.0
2945,1.0
2978,1.0
3082,1.0
3086,0.0
3112,0.0
3140,1.0
3194,1.0
3222,0.0
3228,0.0
3238,1.0
3279,1.0
3395,0.0
3447,1.0
3493,0.0
3608,1.0
3627,1.0
4316,1.0
4476,1.0
4676,1.0
5642,1.0
