SalePrice,MSSubClass
216837,20.0
217000,20.0
217500,20.0
218000,20.0
219210,60.0
219500,63.333333333333336
220000,34.0
221000,40.0
221500,20.0
222000,33.333333333333336
222500,60.0
223000,20.0
223500,65.0
224000,70.0
224500,60.0
224900,40.0
225000,45.0
226000,46.666666666666664
226700,60.0
227000,33.333333333333336
227680,20.0
227875,60.0
228000,40.0
228500,60.0
228950,190.0
229000,50.0
229456,20.0
230000,53.75
230500,60.0
231500,60.0
232000,20.0
232600,20.0
233000,60.0
233170,20.0
233230,60.0
234000,95.0
235000,60.714285714285715
235128,20.0
236000,60.0
236500,70.0
237000,60.0
237500,20.0
238000,60.0
239000,66.66666666666667
239500,60.0
239686,50.0
239799,60.0
239900,60.0
240000,45.0
241000,60.0
241500,20.0
242000,50.0
243000,20.0
244000,33.333333333333336
244400,70.0
244600,20.0
245000,20.0
245350,20.0
245500,120.0
246578,120.0
248000,60.0
248328,20.0
248900,20.0
249700,20.0
250000,53.75
250580,20.0
251000,120.0
252000,60.0
252678,60.0
253000,60.0
253293,20.0
254000,120.0
254900,60.0
255000,40.0
255500,20.0
255900,60.0
256000,35.0
256300,20.0
257000,20.0
257500,20.0
258000,60.0
259000,20.0
259500,70.0
260000,43.333333333333336
260400,20.0
261500,60.0
262000,20.0
262280,60.0
262500,20.0
263000,60.0
263435,60.0
264132,20.0
264561,120.0
265000,60.0
265900,20.0
265979,70.0
266000,90.0
266500,70.0
267000,60.0
268000,40.0
269500,60.0
269790,60.0
270000,66.66666666666667
271000,40.0
271900,20.0
272000,40.0
274000,120.0
274300,60.0
274725,60.0
274900,20.0
274970,80.0
275000,80.0
275500,60.0
276000,60.0
277000,55.0
277500,120.0
278000,70.0
279500,20.0
280000,40.0
281000,60.0
281213,60.0
282922,20.0
283463,20.0
284000,40.0
285000,43.333333333333336
286000,120.0
287000,40.0
287090,20.0
289000,20.0
290000,52.0
293077,20.0
294000,60.0
295000,75.0
295493,20.0
297000,20.0
299800,60.0
301000,60.0
301500,20.0
302000,40.0
303477,60.0
305000,60.0
305900,20.0
306000,20.0
307000,20.0
309000,60.0
310000,60.0
311500,50.0
311872,20.0
312500,20.0
313000,60.0
314813,20.0
315000,42.5
315500,20.0
315750,60.0
316600,50.0
317000,60.0
318000,20.0
318061,120.0
319000,20.0
319900,120.0
320000,40.0
324000,120.0
325000,53.75
325300,60.0
325624,60.0
326000,20.0
328000,60.0
328900,120.0
333168,60.0
335000,46.666666666666664
336000,60.0
337000,60.0
337500,20.0
339750,60.0
340000,60.0
341000,60.0
342643,60.0
345000,70.0
348000,60.0
350000,40.0
354000,60.0
359100,70.0
360000,20.0
361919,60.0
367294,120.0
369900,20.0
370878,20.0
372402,20.0
372500,20.0
374000,20.0
375000,20.0
377426,20.0
377500,20.0
378500,20.0
380000,60.0
381000,50.0
383970,60.0
385000,20.0
386250,20.0
392000,20.0
392500,120.0
394432,20.0
394617,20.0
395000,20.0
395192,20.0
402000,60.0
402861,20.0
403000,60.0
410000,50.0
412500,60.0
415298,20.0
423000,20.0
424870,60.0
426000,60.0
430000,20.0
437154,60.0
438780,60.0
440000,20.0
446261,60.0
451950,60.0
465000,20.0
466500,20.0
475000,75.0
485000,60.0
501837,20.0
538000,60.0
555000,20.0
556581,60.0
582933,60.0
611657,20.0
625000,60.0
745000,60.0
755000,60.0
