2ndFlrSF,1stFlrSF
886,1184.6666666666667
887,968.0
888,1014.3333333333334
892,892.0
895,1096.0
896,995.5
898,1091.0
900,1045.5
901,901.0
902,866.0
903,1128.0
904,1223.0
908,882.0
910,916.0
912,1015.0
913,866.0
914,882.0
915,1293.3333333333333
918,902.0
920,932.0
924,1134.0
925,964.0
928,1272.0
929,929.0
930,956.0
932,1026.0
933,943.0
936,876.0
939,1053.0
940,1024.0
941,1068.0
950,4692.0
954,1306.0
956,991.0
960,1182.0
966,1160.0
971,1636.0
975,954.0
977,1057.0
978,1290.5
979,979.0
980,948.0
981,1026.0
983,1205.5
984,879.0
985,1407.0
988,927.0
989,1108.0
992,928.0
994,1378.0
998,1687.0
1000,960.0
1001,1001.0
1015,1383.0
1017,1080.0
1020,1000.0
1028,1050.0
1031,1260.0
1032,1100.0
1037,1020.0
1038,1022.0
1039,894.0
1040,1023.0
1044,1246.0
1051,1307.0
1053,1145.0
1054,1130.0
1060,1038.0
1063,1075.0
1066,1548.0
1067,1277.0
1070,1108.0
1072,616.0
1080,1898.0
1081,847.0
1088,1734.0
1092,1482.0
1093,1325.0
1096,1572.0
1097,1268.0
1098,1165.0
1100,860.0
1101,959.0
1103,832.0
1104,734.0
1106,1164.0
1111,976.0
1112,847.0
1116,1301.0
1120,1120.0
1121,1122.0
1122,1500.0
1128,956.0
1129,1166.0
1134,887.0
1140,1272.0
1141,1149.0
1142,1347.0
1151,884.0
1152,1188.0
1157,804.0
1160,1470.0
1168,1352.0
1169,1105.0
1174,1966.0
1175,1170.0
1177,1487.5
1178,1549.0
1182,912.0
1185,2053.0
1194,774.0
1196,1207.0
1200,1153.0
1203,1328.0
1208,1319.5
1215,925.0
1216,1298.0
1218,1158.0
1230,1291.0
1237,1476.0
1242,1210.0
1243,993.0
1254,1610.3333333333333
1257,1010.0
1259,1361.0
1274,1372.0
1276,980.0
1281,1238.0
1286,1005.0
1288,997.0
1296,1338.0
1304,1490.0
1306,1214.0
1312,1264.0
1320,1226.0
1323,1203.0
1330,1342.5
1332,1136.0
1336,1276.0
1347,1249.0
1349,1133.0
1357,1453.0
1360,1360.0
1362,1466.0
1370,1134.0
1392,1392.0
1414,1282.0
1426,1184.0
1427,495.0
1440,1440.0
1479,1968.0
1518,1518.0
1519,1426.0
1523,1699.0
1538,3138.0
1540,1175.0
1589,1690.0
1611,990.0
1796,1831.0
1818,1675.0
1872,2444.0
2065,2411.0
