GrLivArea,MSSubClass
1646,58.75
1647,50.0
1651,20.0
1652,77.5
1654,20.0
1656,48.0
1657,20.0
1658,60.0
1659,120.0
1660,50.0
1661,53.333333333333336
1663,20.0
1664,65.0
1665,60.0
1666,70.0
1668,37.5
1670,20.0
1671,60.0
1674,55.0
1675,60.0
1679,20.0
1680,50.0
1682,40.0
1683,60.0
1684,120.0
1686,20.0
1687,20.0
1688,60.0
1689,20.0
1690,67.5
1691,50.0
1692,60.0
1694,27.5
1696,20.0
1698,20.0
1699,190.0
1700,20.0
1701,85.0
1702,120.0
1704,20.0
1707,20.0
1708,160.0
1709,150.0
1710,46.0
1712,90.0
1713,20.0
1714,60.0
1716,90.0
1717,46.666666666666664
1718,33.333333333333336
1719,120.0
1720,46.666666666666664
1721,40.0
1724,70.0
1725,60.0
1726,20.0
1728,81.42857142857143
1732,60.0
1733,40.0
1734,45.0
1738,50.0
1739,160.0
1740,70.0
1742,95.0
1743,60.0
1744,60.0
1746,20.0
1750,60.0
1752,85.0
1756,60.0
1761,60.0
1762,70.0
1764,60.0
1766,20.0
1767,160.0
1768,65.83333333333333
1771,20.0
1774,60.0
1775,60.0
1776,56.666666666666664
1779,40.0
1784,70.0
1786,103.33333333333333
1787,20.0
1788,35.0
1790,60.0
1792,57.5
1795,30.0
1796,60.0
1797,60.0
1800,47.5
1801,40.0
1802,70.0
1803,20.0
1804,60.0
1811,20.0
1812,125.0
1818,50.0
1820,55.0
1824,60.0
1826,45.0
1828,20.0
1829,60.0
1836,20.0
1838,40.0
1839,46.666666666666664
1840,60.0
1842,20.0
1844,20.0
1845,60.0
1846,50.0
1848,50.0
1850,40.0
1851,60.0
1852,60.0
1855,65.0
1856,20.0
1861,60.0
1863,60.0
1865,60.0
1867,20.0
1868,70.0
1869,85.0
1872,40.0
1876,60.0
1886,60.0
1888,20.0
1889,190.0
1894,60.0
1895,60.0
1902,55.0
1904,55.0
1905,20.0
1908,60.0
1911,60.0
1912,190.0
1913,50.0
1915,60.0
1919,60.0
1920,73.33333333333333
1922,52.5
1923,60.0
1924,60.0
1928,146.66666666666666
1929,60.0
1932,20.0
1933,60.0
1935,60.0
1936,60.0
1939,60.0
1940,20.0
1944,20.0
1947,60.0
1948,60.0
1949,60.0
1950,60.0
1953,60.0
1954,50.0
1958,75.0
1959,70.0
1960,75.0
1961,60.0
1962,60.0
1964,65.0
1968,60.0
1969,60.0
1970,60.0
1971,60.0
1973,20.0
1976,20.0
1977,60.0
1978,60.0
1980,20.0
1981,50.0
1982,60.0
1983,60.0
1986,60.0
1987,20.0
1989,60.0
1991,50.0
1992,60.0
1993,60.0
2000,20.0
2002,90.0
2007,60.0
2008,20.0
2013,60.0
2018,20.0
2019,70.0
2020,56.666666666666664
2021,60.0
2022,60.0
2028,20.0
2030,60.0
2031,60.0
2034,60.0
2035,60.0
2036,20.0
2042,20.0
2046,40.0
2054,60.0
2057,50.0
2058,75.0
2060,60.0
2062,60.0
2069,20.0
2073,20.0
2076,20.0
2078,60.0
2080,65.0
2082,50.0
2084,40.0
2087,60.0
2090,93.33333333333333
2093,60.0
2094,60.0
2097,46.666666666666664
2098,60.0
2108,70.0
2110,40.0
2112,60.0
2113,20.0
2117,20.0
2119,80.0
2121,20.0
2126,60.0
2127,60.0
2132,50.0
2134,75.0
2136,20.0
2138,75.0
2142,60.0
2144,50.0
2149,50.0
2153,60.0
2156,20.0
2157,60.0
2158,20.0
2161,60.0
2167,60.0
2169,60.0
2172,60.0
2183,50.0
2184,60.0
2192,75.0
2196,20.0
2198,60.0
2200,90.0
2201,80.0
2207,20.0
2210,70.0
2217,20.0
2223,20.0
2224,60.0
2229,75.0
2230,75.0
2234,20.0
2236,60.0
2240,90.0
2243,60.0
2256,60.0
2259,20.0
2260,60.0
2262,60.0
2263,60.0
2267,60.0
2270,60.0
2274,90.0
2285,60.0
2287,50.0
2290,125.0
2291,125.0
2295,60.0
2296,60.0
2320,65.0
2324,60.0
2329,60.0
2332,60.0
2337,190.0
2340,70.0
2344,60.0
2345,70.0
2353,60.0
2358,60.0
2364,20.0
2365,60.0
2372,70.0
2374,60.0
2376,60.0
2380,60.0
2392,40.0
2398,60.0
2402,20.0
2403,70.0
2414,190.0
2417,60.0
2418,60.0
2447,50.0
2448,60.0
2450,60.0
2452,60.0
2462,60.0
2466,60.0
2468,60.0
2473,60.0
2482,60.0
2504,60.0
2514,60.0
2515,20.0
2519,60.0
2520,60.0
2521,160.0
2524,20.0
2526,55.0
2531,60.0
2554,70.0
2555,70.0
2574,60.0
2576,60.0
2596,60.0
2599,60.0
2601,70.0
2610,60.0
2612,60.0
2614,60.0
2620,90.0
2622,60.0
2624,70.0
2630,60.0
2633,20.0
2634,90.0
2640,70.0
2643,60.0
2646,60.0
2654,60.0
2668,60.0
2696,60.0
2704,80.0
2713,60.0
2715,60.0
2727,70.0
2728,60.0
2730,60.0
2775,75.0
2784,60.0
2792,50.0
2794,60.0
2810,60.0
2822,60.0
2828,60.0
2868,60.0
2872,55.0
2898,20.0
2945,60.0
2978,80.0
3082,75.0
3086,50.0
3112,75.0
3140,60.0
3194,70.0
3222,60.0
3228,20.0
3238,50.0
3279,60.0
3395,190.0
3447,50.0
3493,75.0
3608,75.0
3627,60.0
4316,60.0
4476,60.0
4676,60.0
5642,60.0
