1stFlrSF,HalfBath
1383,0.6666666666666666
1389,0.0
1390,0.0
1391,0.5
1392,0.8
1394,1.0
1402,2.0
1405,0.0
1407,1.0
1411,0.0
1412,0.0
1414,0.0
1416,0.0
1419,0.0
1422,0.2
1423,0.0
1425,0.0
1426,1.0
1428,0.0
1429,0.0
1430,0.0
1431,0.0
1432,1.0
1434,0.0
1436,0.5
1437,0.5
1440,0.0
1442,0.25
1444,0.0
1445,0.5
1453,1.0
1454,1.0
1456,0.0
1459,0.0
1462,1.0
1464,0.0
1465,1.0
1466,0.3333333333333333
1468,0.5
1470,1.0
1472,0.0
1473,0.0
1476,1.0
1478,0.6666666666666666
1479,0.0
1482,1.0
1484,0.0
1486,0.0
1489,0.0
1490,1.0
1493,0.0
1494,0.2
1496,0.5
1498,0.0
1500,0.3333333333333333
1501,0.0
1502,0.5
1504,0.0
1505,0.0
1506,0.0
1507,0.0
1509,0.0
1512,1.0
1516,1.0
1518,1.0
1520,0.0
1521,1.0
1523,0.0
1525,0.0
1526,0.0
1530,0.0
1532,1.0
1533,0.0
1535,0.0
1536,0.0
1537,1.0
1541,0.0
1542,1.0
1547,0.0
1548,1.0
1549,1.0
1552,0.0
1553,1.0
1554,0.0
1555,0.0
1557,0.0
1559,0.0
1560,0.0
1561,0.0
1563,0.0
1566,0.0
1567,0.0
1569,0.0
1571,0.0
1572,1.0
1573,0.0
1574,0.0
1575,0.0
1576,1.0
1578,0.0
1580,0.0
1582,0.0
1584,0.0
1586,0.0
1588,0.0
1593,1.0
1600,0.0
1601,0.0
1602,0.0
1604,1.0
1610,0.5
1614,0.0
1616,0.0
1617,0.0
1619,0.0
1620,0.0
1621,0.0
1622,0.0
1624,0.0
1625,0.0
1629,0.0
1630,0.0
1632,0.0
1634,0.0
1636,0.0
1640,0.0
1644,0.0
1646,0.0
1647,0.0
1651,0.0
1652,0.0
1654,0.0
1656,0.0
1657,0.0
1659,0.0
1660,0.0
1661,0.0
1663,0.0
1664,0.0
1668,0.0
1670,0.0
1675,0.0
1679,0.0
1680,0.0
1682,0.0
1684,0.0
1686,0.5
1687,0.5
1689,0.0
1690,1.0
1694,0.0
1696,1.0
1698,0.0
1699,0.0
1700,0.5
1701,0.0
1702,1.0
1704,0.0
1707,1.0
1709,0.0
1710,0.0
1712,0.0
1713,0.0
1717,0.0
1718,0.0
1719,1.0
1720,0.0
1721,1.0
1724,1.0
1726,0.0
1728,0.16666666666666666
1733,0.0
1734,0.3333333333333333
1742,0.5
1746,0.0
1752,0.0
1766,0.5
1768,0.0
1771,0.0
1776,0.0
1779,1.0
1787,0.0
1788,0.0
1792,0.0
1795,0.0
1800,0.0
1801,0.0
1803,0.0
1811,0.0
1824,0.0
1826,0.0
1828,0.0
1831,1.0
1836,0.0
1838,0.0
1839,0.0
1842,1.0
1844,0.0
1848,1.0
1850,0.0
1856,1.0
1867,0.0
1869,0.0
1872,0.0
1888,1.0
1898,1.0
1902,0.0
1905,0.0
1922,0.0
1932,0.0
1940,1.0
1944,0.0
1959,0.0
1966,1.0
1968,1.0
1973,0.0
1976,0.0
1980,0.0
1987,0.0
1992,1.0
2000,0.5
2018,0.0
2020,0.5
2028,0.0
2036,0.0
2042,1.0
2046,1.0
2053,1.0
2069,0.5
2073,0.0
2076,1.0
2084,0.0
2097,1.0
2110,1.0
2113,1.0
2117,1.0
2121,1.0
2129,1.0
2136,0.0
2156,0.0
2158,0.0
2196,0.0
2207,0.0
2217,0.0
2223,0.0
2234,0.0
2259,0.0
2364,1.0
2392,0.0
2402,0.0
2411,1.0
2444,1.0
2515,0.0
2524,1.0
2633,1.0
2898,0.0
3138,1.0
3228,0.0
4692,1.0
