GrLivArea,OverallQual
1102,7.0
1103,6.0
1108,7.0
1109,5.0
1110,5.0
1111,5.666666666666667
1112,5.0
1113,5.5
1114,5.5
1116,6.0
1117,6.0
1118,5.666666666666667
1120,4.5
1121,4.5
1122,5.0
1123,4.0
1124,5.0
1125,5.5
1126,4.666666666666667
1128,4.666666666666667
1130,5.0
1131,4.5
1132,4.0
1134,5.0
1135,7.0
1136,6.0
1137,6.0
1138,6.0
1140,4.5
1141,6.0
1142,5.0
1144,5.0
1145,7.0
1146,7.0
1148,5.0
1150,5.0
1152,5.0
1154,4.5
1155,5.0
1158,6.0
1159,5.0
1163,3.0
1164,6.0
1165,6.0
1166,7.0
1167,5.5
1173,7.0
1176,6.0
1178,4.5
1180,4.0
1181,4.0
1183,3.0
1184,5.0
1188,5.0
1190,5.0
1192,4.5
1194,6.0
1196,5.333333333333333
1198,6.0
1199,6.0
1200,6.111111111111111
1203,5.0
1204,6.0
1208,6.0
1211,5.0
1212,6.333333333333333
1214,4.333333333333333
1215,6.0
1216,5.5
1217,6.5
1218,6.0
1220,5.5
1221,6.0
1223,7.0
1224,5.5
1225,4.0
1226,7.0
1228,6.5
1229,5.0
1230,4.5
1232,6.5
1234,8.0
1235,5.0
1236,5.333333333333333
1240,7.0
1241,7.0
1242,7.0
1244,6.0
1246,5.0
1247,8.0
1248,6.0
1250,6.0
1251,6.0
1252,6.0
1253,6.5
1256,5.0
1258,5.75
1261,6.0
1262,6.0
1264,5.0
1265,5.0
1266,7.0
1268,5.0
1269,6.5
1271,5.0
1274,7.0
1276,5.0
1277,7.0
1279,6.0
1283,5.0
1284,5.0
1285,5.5
1287,5.0
1288,8.0
1291,6.0
1294,5.666666666666667
1296,6.0
1297,5.0
1298,6.0
1301,6.0
1302,5.6
1304,5.0
1306,4.666666666666667
1308,5.0
1309,6.0
1310,6.5
1314,6.6
1316,6.0
1317,4.0
1319,5.0
1320,6.0
1322,6.0
1324,6.0
1327,5.0
1328,5.0
1334,6.0
1336,4.5
1337,6.75
1338,8.0
1339,6.0
1340,6.0
1342,6.0
1343,5.0
1344,5.285714285714286
1346,4.0
1347,5.0
1348,5.5
1349,7.0
1350,6.0
1352,6.0
1355,5.5
1357,6.0
1358,7.0
1360,6.0
1362,5.75
1363,5.333333333333333
1364,7.0
1365,5.0
1367,5.5
1368,6.666666666666667
1369,6.0
1370,7.5
1372,7.0
1374,4.0
1375,6.0
1376,5.5
1378,7.0
1381,6.0
1382,5.5
1383,5.5
1385,5.0
1386,6.0
1387,5.0
1389,6.0
1391,7.0
1392,6.0
1393,5.0
1394,5.5
1395,6.0
1396,6.0
1400,6.0
1402,7.0
1405,7.0
1406,6.0
1411,7.0
1412,6.0
1414,7.0
1416,5.75
1419,8.0
1422,6.0
1425,6.0
1426,6.5
1428,7.0
1429,6.0
1430,7.0
1431,6.5
1432,5.666666666666667
1434,7.0
1436,7.0
1437,5.0
1440,4.75
1441,7.0
1442,6.5
1445,6.0
1446,7.0
1452,5.5
1453,7.0
1456,6.4
1458,6.0
1459,7.0
1464,6.5
1466,6.0
1468,8.0
1469,6.0
1470,5.333333333333333
1471,6.0
1472,6.333333333333333
1473,5.0
1474,7.0
1475,5.0
1476,6.0
1477,7.0
1478,6.333333333333333
1479,6.75
1481,6.0
1482,6.666666666666667
1484,6.333333333333333
1486,5.0
1487,6.0
1489,6.666666666666667
1490,7.0
1493,6.0
1494,6.833333333333333
1496,7.5
1498,6.5
1500,6.666666666666667
1501,6.666666666666667
1502,7.0
1504,7.0
1505,5.5
1506,8.0
1507,5.0
1509,6.333333333333333
1510,4.0
1511,6.0
1512,6.0
1513,5.0
1516,6.0
1517,6.5
1518,8.0
1520,5.5
1522,5.0
1523,6.0
1524,6.0
1525,6.5
1526,4.0
1529,4.0
1530,7.0
1533,7.0
1535,5.666666666666667
1536,7.0
1537,6.0
1539,5.0
1541,7.0
1547,7.0
1548,6.5
1550,7.0
1552,6.5
1553,7.0
1554,8.0
1555,7.0
1556,6.0
1557,7.0
1558,5.0
1559,5.0
1560,6.5
1561,9.0
1563,8.0
1564,6.5
1566,8.0
1567,7.0
1569,7.0
1571,7.0
1572,5.5
1573,5.5
1574,7.0
1575,6.0
1576,5.666666666666667
1577,6.0
1578,7.0
1580,8.0
1582,6.0
1584,5.0
1586,6.0
1588,6.333333333333333
1590,8.0
1593,6.666666666666667
1595,6.0
1600,6.333333333333333
1601,6.666666666666667
1602,6.0
1603,6.0
1604,6.0
1605,3.0
1608,6.0
1610,6.0
1611,6.0
1614,7.0
1616,7.0
1617,6.0
1620,6.0
1621,7.0
1622,4.0
1624,8.0
1625,8.0
1626,7.0
1629,8.0
1630,7.5
1632,6.0
1634,8.0
1635,6.0
1636,8.0
1638,6.0
1639,6.0
1640,6.333333333333333
1641,7.0
1644,6.0
1646,7.75
1647,5.666666666666667
1651,6.0
1652,7.5
1654,7.0
1656,6.2
1657,6.0
1658,6.0
1659,8.0
1660,7.0
1661,6.666666666666667
1663,4.0
1664,6.0
1665,7.5
1666,8.0
1668,7.5
1670,7.0
1671,6.0
1674,6.5
1675,6.0
1679,6.0
1680,6.0
1682,6.5
1683,6.0
1684,9.0
1686,6.0
1687,5.0
1688,6.0
1689,7.0
1690,6.5
1691,5.0
1692,7.0
1694,7.5
1696,5.0
1698,9.0
1699,3.0
1700,5.5
1701,5.0
1702,9.0
1704,8.0
1707,8.0
1708,7.0
1709,7.25
1710,7.0
1712,5.0
1713,8.0
1714,7.0
1716,5.75
1717,7.333333333333333
1718,8.333333333333334
1719,8.0
1720,7.0
1721,5.5
1724,6.5
1725,7.0
1726,7.0
1728,5.571428571428571
1732,6.0
1733,5.0
1734,6.5
1738,4.0
1739,8.0
1740,7.0
1742,8.0
1743,6.0
1744,7.0
1746,9.0
1750,5.5
1752,8.5
1756,6.0
1761,7.0
1762,7.0
1764,6.0
1766,9.0
1767,7.0
1768,6.333333333333333
1771,5.0
1774,5.5
1775,7.0
1776,6.666666666666667
1779,6.0
1784,5.0
1786,6.0
1787,8.0
1788,6.0
1790,6.5
1792,6.75
1795,7.0
1796,6.0
1797,7.0
1800,7.0
1801,7.5
1802,7.0
1803,5.0
1804,7.0
1811,6.0
1812,5.0
1818,7.0
1820,7.0
1824,6.333333333333333
1826,7.5
1828,9.0
1829,7.0
1836,7.5
1838,7.0
1839,6.333333333333333
1840,7.0
1842,9.0
1844,6.666666666666667
1845,6.0
1846,6.0
1848,6.0
1850,8.0
1851,6.0
1852,7.5
1855,6.0
1856,9.0
1861,7.0
1863,7.0
1865,7.0
1867,5.0
1868,5.5
1869,7.0
1872,7.5
1876,6.0
1886,7.0
1888,6.0
1889,7.0
1894,7.0
1895,7.0
1902,6.5
1904,6.5
1905,9.0
1908,7.5
1911,8.0
1912,6.0
1913,6.0
1915,8.0
1919,8.0
1920,5.666666666666667
1922,8.0
1923,7.0
1924,8.0
1928,6.0
1929,7.0
1932,8.0
1933,6.0
1935,7.5
1936,8.0
1939,8.0
1940,9.0
1944,9.0
1947,7.0
1948,7.0
1949,7.0
1950,7.0
1953,7.0
1954,7.0
1958,6.5
1959,7.333333333333333
1960,5.5
1961,6.0
1962,7.0
1964,6.0
1968,6.5
1969,7.0
1970,8.0
1971,7.0
1973,8.0
1976,8.0
1977,6.0
1978,7.0
1980,9.0
1981,4.0
1982,7.0
1983,7.0
1986,7.0
1987,8.0
1989,8.0
1991,6.0
1992,8.0
1993,6.0
2000,8.0
2002,5.0
2007,10.0
2008,5.0
2013,7.0
2018,9.0
2019,7.0
2020,7.666666666666667
2021,7.0
2022,7.0
2028,8.0
2030,6.0
2031,7.5
2034,7.0
2035,7.0
2036,7.0
2042,8.0
2046,7.5
2054,6.0
2057,7.0
2058,6.0
2060,6.5
2062,7.0
2069,7.0
2073,6.0
2076,10.0
2078,8.0
2080,6.0
2082,7.0
2084,8.5
2087,6.0
2090,7.333333333333333
2093,7.0
2094,7.0
2097,7.333333333333333
2098,8.0
2108,6.0
2110,7.0
2112,6.0
2113,8.0
2117,6.0
2119,6.0
2121,9.0
2126,5.0
2127,7.0
2132,8.0
2134,6.0
2136,5.0
2138,5.0
2142,6.0
2144,6.0
2149,7.0
2153,9.0
2156,7.0
2157,7.0
2158,6.0
2161,8.0
2167,7.0
2169,8.0
2172,7.0
2183,7.0
2184,9.0
2192,5.0
2196,7.0
2198,8.0
2200,5.0
2201,6.0
2207,7.0
2210,6.0
2217,8.0
2223,7.0
2224,9.0
2229,6.0
2230,4.0
2234,9.0
2236,7.0
2240,5.0
2243,7.0
2256,7.0
2259,6.0
2260,7.0
2262,8.0
2263,7.666666666666667
2267,6.0
2270,8.0
2274,5.0
2285,8.0
2287,7.0
2290,6.0
2291,6.5
2295,7.0
2296,10.0
2320,5.5
2324,9.0
2329,7.0
2332,10.0
2337,5.0
2340,7.0
2344,7.0
2345,6.0
2353,7.0
2358,7.0
2364,9.0
2365,8.0
2372,5.0
2374,8.0
2376,8.0
2380,6.0
2392,9.0
2398,7.0
2402,10.0
2403,7.0
2414,5.0
2417,8.0
2418,7.0
2447,6.0
2448,8.0
2450,8.0
2452,8.0
2462,7.0
2466,8.0
2468,8.0
2473,8.0
2482,8.0
2504,9.0
2514,7.0
2515,6.0
2519,7.0
2520,7.5
2521,6.0
2524,8.0
2526,7.0
2531,8.0
2554,7.0
2555,6.0
2574,8.0
2576,8.0
2596,9.0
2599,9.0
2601,5.0
2610,8.0
2612,8.0
2614,6.0
2620,5.0
2622,8.0
2624,6.0
2630,8.0
2633,10.0
2634,5.0
2640,7.0
2643,9.0
2646,7.0
2654,6.0
2668,9.0
2696,7.0
2704,8.0
2713,9.0
2715,8.0
2727,8.0
2728,9.0
2730,7.0
2775,10.0
2784,7.0
2792,6.0
2794,8.0
2810,8.0
2822,9.0
2828,8.0
2868,9.0
2872,7.0
2898,8.0
2945,10.0
2978,7.0
3082,7.0
3086,5.0
3112,8.0
3140,9.0
3194,8.0
3222,7.0
3228,8.0
3238,8.0
3279,8.0
3395,6.0
3447,8.0
3493,7.0
3608,10.0
3627,10.0
4316,10.0
4476,10.0
4676,10.0
5642,10.0
