1stFlrSF,GrLivArea
1140,1504.0
1141,1141.0
1142,1699.0
1143,2473.0
1144,1144.0
1145,1671.5
1146,1146.0
1148,1337.3333333333333
1149,1953.0
1150,1150.0
1152,1152.0
1153,2192.0
1154,1154.0
1155,1155.0
1156,2022.0
1158,1767.0
1159,1159.0
1160,1867.0
1161,1969.0
1163,1418.5
1164,1664.5
1165,1714.0
1166,1700.0
1167,1167.0
1168,1907.0
1170,2345.0
1172,1913.0
1173,1173.0
1175,2348.5
1178,1694.0
1180,1621.0
1181,1181.0
1182,2233.0
1184,2610.0
1186,1986.0
1187,1717.0
1188,1646.25
1190,1640.0
1192,1595.0
1194,1194.0
1195,1839.0
1196,1196.0
1199,1199.0
1200,1200.0
1203,2526.0
1204,1204.0
1207,2403.0
1208,1208.0
1210,2452.0
1211,1211.0
1212,1212.0
1214,1649.3333333333333
1215,1215.0
1216,1742.6666666666667
1217,1217.0
1218,1218.0
1220,1510.0
1221,1566.5
1222,2015.0
1223,2127.0
1224,1224.0
1225,1225.0
1226,1522.0
1228,1228.0
1229,1229.0
1232,1232.0
1234,1804.0
1235,1235.0
1236,1581.8
1238,2519.0
1240,1240.0
1241,1241.0
1242,1242.0
1244,1244.0
1246,1768.0
1247,1247.0
1248,1248.0
1249,2596.0
1251,1251.0
1252,1474.6666666666667
1253,1253.0
1256,1256.0
1258,1258.0
1260,2291.0
1261,1261.0
1262,1262.0
1264,1920.0
1265,1265.0
1266,1266.0
1268,1633.6666666666667
1269,1269.0
1272,2200.0
1274,1274.0
1276,1989.3333333333333
1277,1810.5
1279,1279.0
1281,1738.0
1282,2696.0
1283,1283.0
1284,2169.0
1285,1285.0
1287,1287.0
1288,1288.0
1291,1906.0
1294,1294.0
1296,1296.0
1297,1297.0
1298,1906.0
1299,1872.0
1301,1673.0
1302,1446.0
1304,2287.0
1306,1544.5
1307,2358.0
1309,1309.0
1310,1880.0
1314,1314.0
1316,1316.0
1318,1902.0
1319,1319.0
1320,1980.0
1324,1324.0
1325,2418.0
1327,1327.0
1328,1792.0
1332,1524.0
1334,1334.0
1336,1336.0
1337,1337.0
1338,1986.0
1339,1339.0
1340,1340.0
1342,1342.0
1344,1344.0
1349,1349.0
1350,1350.0
1352,1741.3333333333333
1357,1357.0
1358,1358.0
1360,1944.0
1361,2620.0
1362,1602.0
1363,1363.0
1364,1364.0
1368,1368.0
1370,1788.0
1372,2009.0
1375,1375.0
1377,2183.0
1378,2245.5
1381,1381.0
1382,1382.0
1383,1721.3333333333333
1389,1389.0
1390,1694.0
1391,1676.5
1392,1884.4
1394,1394.0
1402,1402.0
1405,1405.0
1407,2392.0
1411,1411.0
1412,1412.0
1414,1414.0
1416,1416.0
1419,1419.0
1422,1840.4
1423,2555.0
1425,1425.0
1426,2945.0
1428,1428.0
1429,1429.0
1430,1430.0
1431,1431.0
1432,1432.0
1434,1434.0
1436,1878.0
1437,1437.0
1440,1928.75
1442,1442.0
1444,2144.0
1445,1789.5
1453,2131.5
1454,1936.0
1456,1456.0
1459,1459.0
1462,2224.0
1464,1464.0
1465,2380.0
1466,1920.0
1468,1865.5
1470,2630.0
1472,1472.0
1473,1473.0
1476,2433.0
1478,1478.0
1479,1479.0
1482,2418.0
1484,1484.0
1486,1486.0
1489,1489.0
1490,2794.0
1493,1493.0
1494,1494.0
1496,1814.0
1498,1498.0
1500,1874.0
1501,1501.0
1502,1502.0
1504,1504.0
1505,1505.0
1506,1506.0
1507,1507.0
1509,1509.0
1512,2654.0
1516,1841.5
1518,2425.0
1520,1520.0
1521,2775.0
1523,1523.0
1525,1525.0
1526,1526.0
1530,1530.0
1532,2329.0
1533,1533.0
1535,1535.0
1536,1536.0
1537,1537.0
1541,1541.0
1542,2872.0
1547,2320.0
1548,2614.0
1549,2727.0
1552,1552.0
1553,2730.0
1554,1554.0
1555,1555.0
1557,1557.0
1559,1559.0
1560,1560.0
1561,1561.0
1563,1563.0
1566,1566.0
1567,1567.0
1569,1569.0
1571,1571.0
1572,2120.0
1573,1573.0
1574,1574.0
1575,1888.0
1576,2554.0
1578,1578.0
1580,2023.0
1582,1582.0
1584,2188.0
1586,1586.0
1588,1588.0
1593,1593.0
1600,1600.0
1601,1601.0
1602,1602.0
1604,1604.0
1610,1885.5
1614,1614.0
1616,1616.0
1617,1617.0
1619,1786.0
1620,1620.0
1621,1621.0
1622,1622.0
1624,1624.0
1625,1625.0
1629,1629.0
1630,1630.0
1632,1632.0
1634,1634.0
1636,2361.0
1640,1640.0
1644,1644.0
1646,1646.0
1647,1647.0
1651,1651.0
1652,1652.0
1654,1654.0
1656,1656.0
1657,1657.0
1659,1659.0
1660,1660.0
1661,1661.0
1663,1663.0
1664,2095.0
1668,1668.0
1670,1670.0
1675,3493.0
1679,1679.0
1680,1680.0
1682,1682.0
1684,1684.0
1686,2067.0
1687,2384.5
1689,1689.0
1690,3279.0
1694,1694.0
1696,1696.0
1698,1698.0
1699,2834.5
1700,1700.0
1701,1701.0
1702,1702.0
1704,1704.0
1707,1707.0
1709,1709.0
1710,1710.0
1712,1712.0
1713,1713.0
1717,1717.0
1718,1718.0
1719,1719.0
1720,1720.0
1721,1721.0
1724,1724.0
1726,1726.0
1728,1822.6666666666667
1733,1733.0
1734,2096.6666666666665
1742,2037.0
1746,1746.0
1752,1752.0
1766,2090.0
1768,1768.0
1771,1771.0
1776,1776.0
1779,1779.0
1787,1787.0
1788,1788.0
1792,1792.0
1795,1795.0
1800,1800.0
1801,1801.0
1803,1803.0
1811,1811.0
1824,1824.0
1826,1826.0
1828,1828.0
1831,3627.0
1836,1836.0
1838,1838.0
1839,1839.0
1842,1842.0
1844,1844.0
1848,2728.0
1850,1850.0
1856,1856.0
1867,1867.0
1869,1869.0
1872,1872.0
1888,1888.0
1898,2978.0
1902,1902.0
1905,1905.0
1922,1922.0
1932,1932.0
1940,2567.0
1944,1944.0
1959,1959.0
1966,3140.0
1968,3447.0
1973,1973.0
1976,1976.0
1980,1980.0
1987,1987.0
1992,2868.0
2000,2352.0
2018,2018.0
2020,2020.0
2028,2028.0
2036,2036.0
2042,2042.0
2046,2046.0
2053,3238.0
2069,2356.0
2073,2073.0
2076,2076.0
2084,2084.0
2097,2097.0
2110,2110.0
2113,2113.0
2117,2117.0
2121,2121.0
2129,2872.0
2136,2136.0
2156,2156.0
2158,2158.0
2196,2196.0
2207,2207.0
2217,2217.0
2223,2223.0
2234,2234.0
2259,2259.0
2364,2364.0
2392,2392.0
2402,2402.0
2411,4476.0
2444,4316.0
2515,2515.0
2524,2524.0
2633,2633.0
2898,2898.0
3138,4676.0
3228,3228.0
4692,5642.0
