GrLivArea,OverallCond
1868,7.0
1869,5.5
1872,5.0
1876,6.0
1886,5.0
1888,6.0
1889,4.0
1894,5.0
1895,5.0
1902,6.5
1904,4.5
1905,5.0
1908,5.0
1911,5.0
1912,7.0
1913,6.0
1915,5.0
1919,5.0
1920,5.333333333333333
1922,5.0
1923,5.0
1924,5.0
1928,7.0
1929,5.0
1932,5.0
1933,5.0
1935,6.0
1936,5.0
1939,5.0
1940,5.0
1944,5.0
1947,5.0
1948,5.0
1949,5.0
1950,5.0
1953,5.0
1954,9.0
1958,5.5
1959,5.0
1960,5.0
1961,5.0
1962,5.0
1964,6.0
1968,4.5
1969,6.0
1970,5.0
1971,5.0
1973,5.0
1976,5.0
1977,6.0
1978,5.0
1980,5.0
1981,3.0
1982,6.0
1983,5.0
1986,6.0
1987,5.0
1989,5.0
1991,7.0
1992,5.0
1993,5.0
2000,5.0
2002,6.0
2007,5.0
2008,8.0
2013,5.0
2018,5.0
2019,8.0
2020,5.0
2021,5.0
2022,5.0
2028,5.0
2030,6.0
2031,5.0
2034,5.0
2035,5.0
2036,5.0
2042,5.0
2046,5.0
2054,5.0
2057,7.0
2058,5.0
2060,5.0
2062,5.0
2069,7.0
2073,6.0
2076,5.0
2078,5.0
2080,7.0
2082,5.0
2084,5.0
2087,8.0
2090,5.333333333333333
2093,6.0
2094,5.0
2097,5.333333333333333
2098,5.0
2108,7.0
2110,5.0
2112,5.0
2113,6.0
2117,7.0
2119,6.0
2121,5.0
2126,5.0
2127,5.0
2132,8.0
2134,6.0
2136,3.0
2138,5.0
2142,6.0
2144,7.0
2149,5.0
2153,5.0
2156,7.0
2157,6.0
2158,7.0
2161,5.0
2167,7.0
2169,5.0
2172,5.0
2183,5.0
2184,5.0
2192,8.0
2196,7.0
2198,5.0
2200,7.0
2201,7.0
2207,5.0
2210,4.0
2217,6.0
2223,6.0
2224,5.0
2229,6.0
2230,5.0
2234,5.0
2236,5.0
2240,5.0
2243,5.0
2256,5.0
2259,5.0
2260,5.0
2262,5.0
2263,5.666666666666667
2267,5.0
2270,7.0
2274,5.0
2285,5.0
2287,4.0
2290,5.5
2291,5.5
2295,5.0
2296,5.0
2320,7.0
2324,5.0
2329,5.0
2332,5.0
2337,5.0
2340,9.0
2344,5.0
2345,8.0
2353,7.0
2358,6.5
2364,5.0
2365,5.0
2372,4.0
2374,5.0
2376,5.0
2380,5.0
2392,5.0
2398,5.0
2402,5.0
2403,7.0
2414,4.0
2417,5.0
2418,5.0
2447,7.0
2448,7.0
2450,5.0
2452,5.0
2462,5.0
2466,5.0
2468,5.0
2473,5.0
2482,5.0
2504,5.0
2514,5.0
2515,3.0
2519,5.0
2520,6.0
2521,4.0
2524,5.0
2526,6.0
2531,5.0
2554,8.0
2555,7.0
2574,5.0
2576,5.0
2596,5.0
2599,5.0
2601,6.0
2610,5.0
2612,5.0
2614,7.0
2620,5.0
2622,5.0
2624,6.0
2630,5.0
2633,5.0
2634,5.0
2640,7.0
2643,5.0
2646,5.0
2654,7.0
2668,5.0
2696,5.0
2704,7.0
2713,5.0
2715,9.0
2727,8.0
2728,5.0
2730,5.0
2775,9.0
2784,5.0
2792,7.0
2794,5.0
2810,5.0
2822,5.0
2828,5.0
2868,5.0
2872,6.0
2898,6.0
2945,5.0
2978,7.0
3082,3.0
3086,6.0
3112,4.0
3140,5.0
3194,6.0
3222,5.0
3228,5.0
3238,5.0
3279,5.0
3395,7.0
3447,9.0
3493,9.0
3608,9.0
3627,5.0
4316,6.0
4476,5.0
4676,5.0
5642,5.0
