LotArea,MSSubClass
9828,60.0
9830,20.0
9842,80.0
9849,20.0
9855,20.0
9858,20.0
9873,190.0
9880,80.0
9900,60.0
9906,70.0
9920,33.333333333333336
9937,20.0
9938,60.0
9945,20.0
9947,80.0
9950,60.0
9965,60.0
9967,80.0
9986,20.0
9991,20.0
10000,28.0
10004,20.0
10005,60.0
10007,20.0
10010,20.0
10011,20.0
10012,85.0
10020,30.0
10029,60.0
10041,60.0
10083,20.0
10084,20.0
10106,190.0
10120,125.0
10125,55.0
10134,50.0
10140,28.0
10141,60.0
10142,60.0
10150,20.0
10152,20.0
10159,20.0
10171,20.0
10175,20.0
10182,20.0
10186,60.0
10192,80.0
10197,20.0
10200,43.333333333333336
10205,85.0
10206,20.0
10207,60.0
10208,60.0
10215,20.0
10226,20.0
10237,40.0
10240,40.0
10246,80.0
10261,60.0
10264,20.0
10267,30.0
10289,20.0
10300,70.0
10304,60.0
10316,60.0
10320,50.0
10335,20.0
10355,20.0
10356,20.0
10357,20.0
10364,60.0
10380,60.0
10382,125.0
10386,20.0
10395,80.0
10400,36.0
10402,20.0
10410,50.0
10420,20.0
10421,60.0
10434,20.0
10437,20.0
10440,56.666666666666664
10448,80.0
10452,20.0
10463,60.0
10475,20.0
10480,55.0
10482,80.0
10496,50.0
10500,40.0
10530,55.0
10542,60.0
10552,20.0
10562,60.0
10570,70.0
10574,60.0
10592,70.0
10593,20.0
10594,45.0
10603,20.0
10615,190.0
10624,90.0
10625,58.75
10628,20.0
10634,20.0
10635,20.0
10637,20.0
10650,20.0
10652,20.0
10655,20.0
10656,20.0
10659,20.0
10665,20.0
10667,60.0
10678,50.0
10680,20.0
10690,70.0
10708,20.0
10712,20.0
10721,20.0
10728,60.0
10762,110.0
10768,20.0
10769,60.0
10778,90.0
10780,80.0
10784,80.0
10791,90.0
10793,60.0
10800,83.21428571428571
10832,60.0
10839,60.0
10846,120.0
10852,60.0
10859,20.0
10880,190.0
10896,190.0
10900,60.0
10918,70.0
10920,20.0
10921,20.0
10927,60.0
10930,50.0
10944,60.0
10970,80.0
10991,20.0
10994,20.0
10998,50.0
11000,40.0
11003,60.0
11029,40.0
11040,35.0
11049,20.0
11050,60.0
11065,60.0
11070,90.0
11075,60.0
11096,20.0
11100,20.0
11103,60.0
11120,20.0
11143,60.0
11146,20.0
11160,20.0
11170,60.0
11175,20.0
11184,60.0
11194,60.0
11198,60.0
11200,20.0
11207,60.0
11210,20.0
11214,60.0
11216,20.0
11218,60.0
11228,60.0
11235,20.0
11241,20.0
11248,20.0
11249,20.0
11250,47.5
11275,65.0
11287,60.0
11302,20.0
11308,60.0
11310,20.0
11316,60.0
11317,60.0
11333,80.0
11340,110.0
11341,20.0
11344,50.0
11345,90.0
11361,20.0
11362,20.0
11367,60.0
11394,20.0
11400,20.0
11404,60.0
11409,50.0
11414,70.0
11423,20.0
11425,20.0
11426,50.0
11428,20.0
11435,70.0
11443,20.0
11457,20.0
11475,75.0
11478,20.0
11500,53.333333333333336
11512,80.0
11526,70.0
11553,20.0
11584,60.0
11600,46.666666666666664
11606,60.0
11616,40.0
11625,190.0
11639,20.0
11643,90.0
11645,40.0
11664,20.0
11670,20.0
11694,20.0
11700,62.5
11717,20.0
11751,20.0
11764,60.0
11767,50.0
11777,80.0
11782,85.0
11787,60.0
11796,60.0
11838,20.0
11839,60.0
11841,90.0
11844,20.0
11846,20.0
11851,20.0
11880,20.0
11883,20.0
11885,60.0
11888,75.0
11900,20.0
11911,60.0
11923,20.0
11924,60.0
11932,20.0
11952,60.0
11957,20.0
11988,45.0
11999,60.0
12000,45.0
12003,60.0
12011,60.0
12030,20.0
12046,60.0
12085,20.0
12090,53.333333333333336
12095,80.0
12099,60.0
12108,90.0
12118,20.0
12122,85.0
12134,50.0
12137,20.0
12144,40.0
12150,50.0
12155,45.0
12160,20.0
12168,70.0
12180,190.0
12182,20.0
12203,60.0
12205,60.0
12209,60.0
12220,20.0
12224,60.0
12227,60.0
12243,20.0
12244,60.0
12256,60.0
12257,60.0
12274,20.0
12327,50.0
12328,80.0
12342,25.0
12354,50.0
12358,50.0
12376,60.0
12378,20.0
12384,60.0
12393,60.0
12394,60.0
12400,20.0
12416,20.0
12420,60.0
12435,60.0
12438,60.0
12444,20.0
12456,20.0
12461,20.0
12464,20.0
12474,60.0
12493,20.0
12508,50.0
12513,50.0
12537,20.0
12546,20.0
12552,60.0
12589,60.0
12615,20.0
12640,90.0
12665,55.0
12677,120.0
12692,20.0
12702,20.0
12704,20.0
12735,20.0
12772,20.0
12798,60.0
12800,80.0
12803,20.0
12822,50.0
12886,80.0
12898,20.0
12900,90.0
12919,20.0
12925,20.0
12936,60.0
12968,20.0
12984,20.0
13000,60.0
13005,60.0
13006,60.0
13031,60.0
13053,50.0
13072,20.0
13101,90.0
13125,42.5
13132,70.0
13159,60.0
13173,20.0
13175,20.0
13214,20.0
13265,20.0
13284,20.0
13286,20.0
13300,20.0
13346,60.0
13350,20.0
13360,30.0
13400,80.0
13418,60.0
13450,60.0
13472,20.0
13474,60.0
13478,60.0
13500,47.5
13501,20.0
13515,70.0
13517,60.0
13518,60.0
13526,20.0
13560,20.0
13568,20.0
13600,125.0
13650,50.0
13651,20.0
13673,20.0
13680,20.0
13682,60.0
13688,60.0
13693,60.0
13695,20.0
13700,60.0
13704,20.0
13710,50.0
13728,70.0
13758,50.0
13811,20.0
13825,80.0
13837,50.0
13860,80.0
13869,60.0
13891,33.333333333333336
13907,30.0
14000,40.0
14006,60.0
14054,60.0
14100,50.0
14112,80.0
14115,50.0
14145,20.0
14154,60.0
14157,20.0
14175,20.0
14191,60.0
14200,60.0
14215,60.0
14226,20.0
14230,20.0
14260,60.0
14303,20.0
14331,20.0
14364,60.0
14375,20.0
14442,20.0
14450,20.0
14536,20.0
14541,60.0
14559,20.0
14572,20.0
14585,20.0
14587,20.0
14598,60.0
14601,20.0
14684,20.0
14720,50.0
14762,60.0
14774,60.0
14778,20.0
14781,20.0
14803,40.0
14850,20.0
14859,20.0
14892,20.0
14948,60.0
14963,120.0
14977,20.0
15138,60.0
15256,20.0
15306,20.0
15384,60.0
15426,60.0
15431,20.0
15498,20.0
15523,20.0
15576,70.0
15578,60.0
15593,50.0
15602,20.0
15611,40.0
15623,60.0
15660,50.0
15750,190.0
15863,75.0
15865,20.0
15870,20.0
16033,20.0
16056,60.0
16059,60.0
16157,80.0
16158,20.0
16196,20.0
16226,60.0
16259,60.0
16285,20.0
16321,20.0
16381,20.0
16466,50.0
16492,20.0
16545,60.0
16560,70.0
16635,20.0
16647,85.0
16659,60.0
16669,20.0
16692,60.0
16737,20.0
16770,60.0
16905,20.0
17043,20.0
17104,60.0
17120,50.0
17140,20.0
17217,20.0
17400,20.0
17423,20.0
17500,20.0
17503,50.0
17542,60.0
17600,20.0
17671,70.0
17755,20.0
17871,80.0
17920,20.0
18000,30.0
18030,50.0
18386,75.0
18450,60.0
18800,60.0
18890,90.0
19138,20.0
19296,80.0
19378,60.0
19690,80.0
19900,20.0
20431,60.0
20544,60.0
20781,20.0
20896,20.0
21000,20.0
21286,50.0
21384,70.0
21453,80.0
21535,60.0
21695,20.0
21750,20.0
21780,50.0
21872,60.0
21930,60.0
22420,70.0
22950,75.0
23257,60.0
23595,40.0
24090,70.0
24682,60.0
25000,90.0
25095,20.0
25286,20.0
25339,30.0
25419,75.0
26142,20.0
26178,60.0
27650,20.0
28698,60.0
29959,60.0
31770,20.0
32463,190.0
32668,20.0
34650,190.0
35133,20.0
35760,60.0
36500,20.0
39104,20.0
40094,60.0
45600,50.0
46589,60.0
50271,20.0
53107,60.0
53227,20.0
53504,60.0
57200,20.0
63887,60.0
70761,20.0
115149,20.0
159000,50.0
164660,190.0
215245,20.0
