LotArea,HalfBath
7922,0.0
7930,0.0
7931,0.5
7937,0.0
7943,0.0
7945,0.0
7950,1.0
7990,0.0
8000,0.3333333333333333
8004,1.0
8012,0.0
8029,1.0
8049,0.0
8063,1.0
8064,0.0
8068,1.0
8070,0.0
8072,0.0
8089,0.0
8100,0.0
8120,0.0
8121,1.0
8123,1.0
8125,0.5
8158,1.0
8160,1.0
8163,0.0
8172,0.0
8176,0.0
8190,0.0
8197,1.0
8198,0.0
8199,1.0
8200,1.0
8212,0.0
8235,0.0
8244,1.0
8246,0.0
8248,0.5
8250,0.0
8263,0.0
8280,0.0
8281,0.0
8294,0.0
8314,0.0
8320,1.0
8335,0.0
8339,0.0
8366,1.0
8385,0.0
8393,0.0
8400,0.42857142857142855
8402,0.0
8405,0.0
8410,0.0
8414,0.0
8430,0.0
8445,0.0
8450,0.16666666666666666
8461,1.0
8462,1.0
8470,0.0
8471,0.0
8472,0.0
8475,0.0
8480,0.0
8487,0.0
8499,1.0
8500,0.0
8520,0.0
8521,0.0
8525,1.0
8529,0.0
8530,1.0
8532,0.0
8536,1.0
8544,0.25
8546,0.0
8556,0.0
8562,0.0
8593,0.0
8600,0.0
8633,1.0
8635,0.0
8640,0.5
8658,0.0
8688,0.0
8700,0.0
8712,0.0
8724,0.0
8730,0.0
8731,0.0
8737,1.0
8738,1.0
8740,0.0
8741,1.0
8749,0.0
8750,0.75
8755,1.0
8760,0.5
8765,0.0
8767,0.0
8769,1.0
8773,0.5
8775,0.0
8777,0.6666666666666666
8780,0.0
8791,1.0
8795,1.0
8800,0.0
8814,0.5
8816,0.0
8820,0.0
8834,1.0
8846,0.5
8849,0.0
8850,0.0
8854,0.0
8872,0.0
8877,0.0
8880,1.0
8885,0.0
8892,0.5
8899,0.0
8900,0.0
8910,0.0
8923,0.0
8924,1.0
8925,0.0
8926,0.0
8930,0.0
8935,1.0
8944,0.0
8960,0.0
8963,1.0
8967,0.0
8973,1.0
8978,0.0
8990,0.0
8993,0.0
9000,0.42857142857142855
9017,0.0
9018,1.0
9020,1.0
9022,0.0
9037,0.0
9042,0.5
9056,1.0
9060,0.0
9066,1.0
9069,0.0
9084,0.3333333333333333
9098,0.0
9100,0.0
9101,0.0
9120,0.3333333333333333
9125,1.0
9130,1.0
9135,0.0
9142,0.0
9144,0.0
9150,0.0
9156,0.0
9158,0.0
9170,0.0
9179,1.0
9180,0.0
9187,1.0
9196,0.0
9200,0.3333333333333333
9204,1.0
9206,1.0
9230,1.0
9236,0.0
9240,1.0
9245,0.5
9246,0.0
9247,1.0
9248,0.0
9250,0.0
9262,0.0
9286,1.0
9291,1.0
9297,0.0
9300,0.0
9303,1.0
9313,1.0
9317,0.5
9320,1.0
9337,1.0
9340,0.0
9350,0.0
9353,0.0
9360,1.0
9364,1.0
9375,1.0
9382,0.0
9400,1.0
9405,0.0
9416,0.0
9430,1.0
9439,0.0
9450,0.0
9452,1.0
9453,1.0
9464,0.0
9473,1.0
9477,0.0
9480,1.0
9490,0.0
9492,0.0
9500,1.0
9503,0.0
9505,1.0
9520,0.0
9525,0.5
9531,1.0
9541,0.0
9548,1.0
9549,1.0
9550,0.0
9554,1.0
9560,0.0
9571,0.0
9572,1.0
9587,0.0
9588,1.0
9590,0.0
9591,0.5
9600,0.3333333333333333
9612,0.0
9636,1.0
9638,0.0
9650,0.0
9672,0.0
9675,1.0
9717,0.0
9735,1.0
9738,0.0
9742,0.0
9750,0.6
9758,0.0
9760,1.0
9764,0.0
9765,1.0
9786,0.5
9790,0.5
9800,0.0
9803,1.0
9808,0.0
9819,0.0
9825,0.0
9828,1.0
9830,0.0
9842,0.5
9849,0.0
9855,0.0
9858,0.0
9873,0.0
9880,0.0
9900,0.5
9906,0.0
9920,0.6666666666666666
9937,0.5
9938,1.0
9945,0.0
9947,0.0
9950,1.0
9965,0.5
9967,1.0
9986,0.0
9991,0.0
10000,0.6
10004,1.0
10005,1.0
10007,1.0
10010,0.0
10011,0.0
10012,0.0
10020,1.0
10029,1.0
10041,1.0
10083,0.0
10084,0.0
10106,0.0
10120,1.0
10125,0.0
10134,0.0
10140,0.6
10141,1.0
10142,1.0
10150,0.0
10152,0.0
10159,1.0
10171,0.0
10175,0.0
10182,0.0
10186,1.0
10192,0.0
10197,1.0
10200,0.0
10205,0.0
10206,0.0
10207,0.0
10208,1.0
10215,0.0
10226,0.0
10237,0.5
10240,0.5
10246,0.0
10261,1.0
10264,0.0
10267,0.0
10289,1.0
10300,0.0
10304,1.0
10316,1.0
10320,0.0
10335,0.5
10355,0.0
10356,1.0
10357,0.0
10364,1.0
10380,1.0
10382,0.5
10386,0.0
10395,0.0
10400,0.6
10402,0.0
10410,0.5
10420,0.0
10421,1.0
10434,0.0
10437,1.0
10440,0.3333333333333333
10448,1.0
10452,0.0
10463,1.0
10475,0.0
10480,0.5
10482,0.0
10496,0.0
10500,0.0
10530,0.5
10542,1.0
10552,1.0
10562,1.0
10570,1.0
10574,1.0
10592,1.0
10593,0.0
10594,0.0
10603,0.0
10615,0.0
10624,0.0
10625,0.5
10628,0.0
10634,0.0
10635,0.0
10637,0.0
10650,0.0
10652,0.0
10655,0.0
10656,0.0
10659,0.0
10665,0.0
10667,1.0
10678,1.0
10680,0.0
10690,0.0
10708,0.0
10712,0.0
10721,0.0
10728,1.0
10762,1.0
10768,0.0
10769,1.0
10778,0.0
10780,0.0
10784,1.0
10791,0.0
10793,1.0
10800,0.35714285714285715
10832,1.0
10839,1.0
10846,1.0
10852,1.0
10859,1.0
10880,0.0
10896,0.0
10900,1.0
10918,1.0
10920,1.0
10921,0.0
10927,1.0
10930,1.0
10944,1.0
10970,0.0
10991,0.0
10994,0.0
10998,0.0
11000,1.0
11003,1.0
11029,0.5
11040,0.5
11049,0.0
11050,1.0
11065,1.0
11070,0.0
11075,1.0
11096,0.0
11100,0.0
11103,1.0
11120,0.0
11143,0.0
11146,0.0
11160,1.0
11170,1.0
11175,0.0
11184,1.0
11194,1.0
11198,1.0
11200,0.0
11207,1.0
11210,0.0
11214,1.0
11216,0.0
11218,1.0
11228,1.0
11235,1.0
11241,0.0
11248,0.0
11249,0.0
11250,0.75
11275,1.0
11287,1.0
11302,0.0
11308,1.0
11310,0.0
11316,1.0
11317,1.0
11333,0.0
11340,0.0
11341,1.0
11344,1.0
11345,0.0
11361,0.0
11362,0.0
11367,1.0
11394,1.0
11400,1.0
11404,1.0
11409,1.0
11414,0.0
11423,0.0
11425,0.0
11426,1.0
11428,0.0
11435,0.0
11443,0.0
11457,0.0
11475,0.5
11478,0.0
11500,0.3333333333333333
11512,0.0
11526,0.0
11553,1.0
11584,1.0
11600,0.3333333333333333
11606,2.0
11616,0.5
11625,1.0
11639,0.0
11643,2.0
11645,0.5
11664,0.0
11670,0.0
11694,0.0
11700,1.25
11717,0.0
11751,0.0
11764,1.0
11767,0.5
11777,0.0
11782,0.0
11787,1.0
11796,1.0
11838,0.0
11839,1.0
11841,0.0
11844,1.0
11846,0.0
11851,0.0
11880,0.0
11883,0.0
11885,1.0
11888,0.0
11900,0.5
11911,1.0
11923,0.0
11924,0.0
11932,0.0
11952,1.0
11957,0.0
11988,1.0
11999,1.0
12000,0.5
12003,1.0
12011,1.0
12030,0.0
12046,1.0
12085,0.0
12090,0.6666666666666666
12095,1.0
12099,1.0
12108,0.0
12118,0.0
12122,0.0
12134,0.0
12137,0.0
12144,0.0
12150,0.0
12155,0.0
12160,0.0
12168,1.0
12180,0.0
12182,0.0
12203,1.0
12205,1.0
12209,1.0
12220,1.0
12224,1.0
12227,1.0
12243,0.0
12244,1.0
12256,1.0
12257,1.0
12274,0.0
12327,1.0
12328,0.0
12342,0.0
12354,0.0
12358,1.0
12376,0.0
12378,0.0
12384,1.0
12393,1.0
12394,1.0
12400,0.0
12416,0.0
12420,1.0
12435,1.0
12438,1.0
12444,0.0
12456,0.0
12461,0.0
12464,0.0
12474,1.0
12493,0.0
12508,0.0
12513,0.0
12537,1.0
12546,0.0
12552,1.0
12589,1.0
12615,0.0
12640,0.0
12665,1.0
12677,1.0
12692,0.0
12702,0.0
12704,1.0
12735,0.0
12772,0.0
12798,1.0
12800,0.0
12803,0.0
12822,1.0
12886,0.0
12898,0.0
12900,2.0
12919,1.0
12925,1.0
12936,1.0
12968,0.0
12984,0.0
13000,1.0
13005,1.0
13006,1.0
13031,1.0
13053,1.0
13072,1.0
13101,0.0
13125,0.5
13132,1.0
13159,1.0
13173,0.0
13175,0.0
13214,0.0
13265,0.0
13284,0.0
13286,0.0
13300,0.0
13346,1.0
13350,0.0
13360,0.0
13400,0.0
13418,1.0
13450,1.0
13472,0.0
13474,1.0
13478,1.0
13500,0.5
13501,0.0
13515,0.0
13517,1.0
13518,1.0
13526,0.0
13560,0.0
13568,0.0
13600,0.5
13650,0.0
13651,0.0
13673,1.0
13680,0.0
13682,1.0
13688,1.0
13693,1.0
13695,0.5
13700,2.0
13704,0.0
13710,1.0
13728,0.0
13758,1.0
13811,0.0
13825,0.0
13837,1.0
13860,1.0
13869,0.0
13891,0.6666666666666666
13907,0.0
14000,0.5
14006,1.0
14054,1.0
14100,1.0
14112,0.0
14115,0.3333333333333333
14145,0.0
14154,1.0
14157,0.0
14175,1.0
14191,1.0
14200,1.0
14215,1.0
14226,0.0
14230,0.0
14260,1.0
14303,0.0
14331,0.0
14364,1.0
14375,0.0
14442,0.0
14450,1.0
14536,0.0
14541,1.0
14559,0.0
14572,0.0
14585,0.0
14587,0.0
14598,1.0
14601,0.0
14684,0.0
14720,1.0
14762,0.0
14774,1.0
14778,0.0
14781,0.0
14803,0.5
14850,0.0
14859,0.0
14892,0.0
14948,1.0
14963,1.0
14977,0.0
15138,1.0
15256,0.0
15306,0.0
15384,1.0
15426,1.0
15431,0.0
15498,0.0
15523,0.0
15576,0.0
15578,1.0
15593,0.0
15602,0.0
15611,0.5
15623,1.0
15660,1.0
15750,0.0
15863,1.0
15865,0.0
15870,0.0
16033,0.0
16056,1.0
16059,1.0
16157,1.0
16158,0.0
16196,0.0
16226,1.0
16259,1.0
16285,0.0
16321,0.0
16381,0.0
16466,1.0
16492,1.0
16545,1.0
16560,1.0
16635,0.0
16647,0.0
16659,1.0
16669,1.0
16692,1.0
16737,0.0
16770,1.0
16905,1.0
17043,0.0
17104,1.0
17120,0.0
17140,0.0
17217,0.0
17400,0.0
17423,0.0
17500,0.0
17503,0.0
17542,1.0
17600,0.0
17671,1.0
17755,1.0
17871,1.0
17920,1.0
18000,0.0
18030,0.0
18386,0.0
18450,1.0
18800,1.0
18890,2.0
19138,0.0
19296,0.0
19378,1.0
19690,0.0
19900,0.0
20431,1.0
20544,1.0
20781,0.0
20896,1.0
21000,0.0
21286,0.0
21384,1.0
21453,0.0
21535,1.0
21695,0.0
21750,0.0
21780,0.0
21872,1.0
21930,1.0
22420,1.0
22950,1.0
23257,1.0
23595,1.0
24090,0.0
24682,1.0
25000,0.0
25095,0.0
25286,0.0
25339,0.0
25419,0.0
26142,0.0
26178,1.0
27650,0.0
28698,1.0
29959,1.0
31770,0.0
32463,0.0
32668,0.0
34650,0.0
35133,1.0
35760,1.0
36500,0.0
39104,0.0
40094,1.0
45600,0.0
46589,1.0
50271,1.0
53107,1.0
53227,0.0
53504,1.0
57200,0.0
63887,1.0
70761,0.0
115149,0.0
159000,0.0
164660,0.0
215245,0.0
