GrLivArea.1,2ndFlrSF
1248,168.0
1250,600.75
1251,0.0
1252,232.8
1253,0.0
1256,0.0
1258,140.0
1261,0.0
1262,0.0
1264,0.0
1265,0.0
1266,0.0
1268,0.0
1269,0.0
1271,551.0
1274,0.0
1276,0.0
1277,0.0
1279,0.0
1283,0.0
1284,564.0
1285,106.5
1287,0.0
1288,0.0
1291,0.0
1294,200.0
1296,0.0
1297,0.0
1298,0.0
1301,0.0
1302,403.2
1304,688.0
1306,0.0
1308,332.0
1309,0.0
1310,222.5
1314,0.0
1316,0.0
1317,668.0
1319,0.0
1320,330.0
1322,467.0
1324,189.0
1327,0.0
1328,172.66666666666666
1334,0.0
1336,219.5
1337,0.0
1338,0.0
1339,0.0
1340,0.0
1342,0.0
1343,523.0
1344,340.85714285714283
1346,550.0
1347,527.0
1348,576.0
1349,0.0
1350,0.0
1352,229.66666666666666
1355,564.5
1357,0.0
1358,0.0
1360,185.66666666666666
1362,294.25
1363,207.33333333333334
1364,0.0
1365,600.0
1367,407.0
1368,228.0
1369,672.0
1370,0.0
1372,0.0
1374,534.0
1375,297.5
1376,502.0
1378,689.0
1381,0.0
1382,177.25
1383,0.0
1385,475.0
1386,714.0
1387,576.0
1389,341.0
1391,0.0
1392,278.4
1393,521.0
1394,320.0
1395,660.0
1396,698.0
1400,728.0
1402,0.0
1405,0.0
1406,371.0
1411,0.0
1412,461.0
1414,176.75
1416,492.0
1419,320.0
1422,0.0
1425,0.0
1426,621.0
1428,0.0
1429,0.0
1430,437.3333333333333
1431,0.0
1432,460.0
1434,0.0
1436,0.0
1437,0.0
1440,137.75
1441,631.5
1442,0.0
1445,0.0
1446,717.0
1452,727.5
1453,0.0
1456,602.4
1458,637.5
1459,0.0
1464,0.0
1466,123.33333333333333
1468,0.0
1469,713.0
1470,646.3333333333334
1471,729.0
1472,433.3333333333333
1473,0.0
1474,670.0
1475,550.0
1476,738.0
1477,600.0
1478,0.0
1479,377.0
1481,779.0
1482,664.0
1484,364.1666666666667
1486,0.0
1487,689.0
1489,181.66666666666666
1490,702.0
1493,0.0
1494,123.5
1496,416.0
1498,403.5
1500,250.0
1501,516.0
1502,313.25
1504,0.0
1505,258.5
1506,0.0
1507,0.0
1509,468.0
1510,755.0
1511,709.0
1512,756.0
1513,574.0
1516,0.0
1517,622.5
1518,0.0
1520,336.0
1522,0.0
1523,0.0
1524,421.0
1525,378.0
1526,0.0
1529,441.0
1530,0.0
1533,0.0
1535,0.0
1536,0.0
1537,0.0
1539,526.5
1541,0.0
1547,783.0
1548,670.0
1550,438.0
1552,370.5
1553,797.0
1554,0.0
1555,0.0
1556,783.5
1557,0.0
1558,579.0
1559,0.0
1560,438.0
1561,0.0
1563,0.0
1564,690.0
1566,0.0
1567,0.0
1569,0.0
1571,386.0
1572,383.0
1573,458.25
1574,392.0
1575,0.0
1576,612.0
1577,605.0
1578,310.0
1580,0.0
1582,406.0
1584,0.0
1586,0.0
1588,156.0
1590,804.0
1593,504.6666666666667
1595,403.0
1600,228.0
1601,193.33333333333334
1602,0.0
1603,793.0
1604,432.6666666666667
1605,765.0
1608,448.0
1610,0.0
1611,813.0
1614,0.0
1616,155.66666666666666
1617,0.0
1620,280.0
1621,0.0
1622,0.0
1624,0.0
1625,0.0
1626,862.0
1629,0.0
1630,0.0
1632,377.25
1634,0.0
1635,677.0
1636,0.0
1638,695.0
1639,0.0
1640,561.3333333333334
1641,809.0
1644,252.0
1646,182.0
1647,500.0
1651,0.0
1652,171.5
1654,0.0
1656,320.0
1657,0.0
1658,885.0
1659,0.0
1660,546.6666666666666
1661,278.0
1663,0.0
1664,550.75
1665,849.0
1666,833.0
1668,346.0
1670,0.0
1671,712.0
1674,685.5
1675,783.0
1679,0.0
1680,210.0
1682,439.0
1683,765.0
1684,0.0
1686,0.0
1687,0.0
1688,1072.0
1689,0.0
1690,808.5
1691,665.0
1692,846.0
1694,76.0
1696,0.0
1698,0.0
1699,685.0
1700,0.0
1701,0.0
1702,0.0
1704,0.0
1707,0.0
1708,732.0
1709,554.25
1710,508.0
1712,0.0
1713,0.0
1714,734.0
1716,753.25
1717,428.6666666666667
1718,277.6666666666667
1719,0.0
1720,580.0
1721,392.5
1724,422.0
1725,685.0
1726,0.0
1728,246.85714285714286
1732,755.0
1733,443.0
1734,270.25
1738,457.0
1739,756.0
1740,780.0
1742,413.0
1743,702.0
1744,730.0
1746,0.0
1750,714.0
1752,336.0
1756,868.0
1761,887.0
1762,764.0
1764,836.0
1766,0.0
1767,703.0
1768,727.1666666666666
1771,0.0
1774,715.5
1775,769.0
1776,280.0
1779,456.5
1784,892.0
1786,638.0
1787,0.0
1788,342.0
1790,843.0
1792,638.75
1795,248.33333333333334
1796,863.5
1797,858.0
1800,198.25
1801,450.0
1802,901.0
1803,0.0
1804,776.0
1811,0.0
1812,858.0
1818,592.0
1820,802.5
1824,558.6666666666666
1826,455.0
1828,0.0
1829,888.0
1836,0.0
1838,552.0
1839,477.3333333333333
1840,896.0
1842,0.0
1844,0.0
1845,790.0
1846,678.0
1848,795.0
1850,435.5
1851,831.0
1852,884.0
1855,700.0
1856,0.0
1861,941.0
1863,984.0
1865,873.0
1867,0.0
1868,754.0
1869,280.5
1872,286.5
1876,933.0
1886,930.0
1888,0.0
1889,925.0
1894,1070.0
1895,809.0
1902,292.0
1904,807.0
1905,0.0
1908,945.0
1911,846.0
1912,691.0
1913,741.0
1915,988.0
1919,840.0
1920,786.0
1922,713.5
1923,862.0
1924,838.0
1928,1027.0
1929,872.0
1932,0.0
1933,1039.0
1935,948.0
1936,482.0
1939,844.0
1940,0.0
1944,0.0
1947,956.0
1948,1101.0
1949,887.0
1950,975.0
1953,872.5
1954,817.0
1958,955.5
1959,661.0
1960,1050.0
1961,1157.0
1962,571.0
1964,903.0
1968,997.0
1969,808.0
1970,850.0
1971,858.0
1973,0.0
1976,0.0
1977,850.0
1978,880.0
1980,0.0
1981,653.0
1982,807.0
1983,978.0
1986,800.0
1987,0.0
1989,898.0
1991,895.0
1992,939.0
1993,896.0
2000,0.0
2002,1001.0
2007,981.0
2008,896.0
2013,886.0
2018,0.0
2019,883.0
2020,292.6666666666667
2021,1134.0
2022,866.0
2028,0.0
2030,912.0
2031,890.5
2034,977.0
2035,1151.0
2036,0.0
2042,0.0
2046,520.0
2054,1032.0
2057,1037.0
2058,924.0
2060,967.0
2062,882.0
2069,0.0
2073,0.0
2076,0.0
2078,1028.0
2080,922.0
2082,720.0
2084,564.0
2087,1111.0
2090,917.6666666666666
2093,857.0
2094,1182.0
2097,668.6666666666666
2098,1060.0
2108,872.0
2110,444.0
2112,1020.0
2113,0.0
2117,0.0
2119,741.0
2121,0.0
2126,966.0
2127,1059.5
2132,636.0
2134,689.0
2136,0.0
2138,1063.0
2142,960.0
2144,700.0
2149,631.0
2153,677.0
2156,0.0
2157,941.0
2158,0.0
2161,551.0
2167,651.0
2169,885.0
2172,1101.0
2183,806.0
2184,1054.0
2192,720.0
2196,0.0
2198,1053.0
2200,928.0
2201,626.0
2207,0.0
2210,1032.0
2217,0.0
2223,0.0
2224,762.0
2229,929.0
2230,795.0
2234,0.0
2236,1243.0
2240,1120.0
2243,1121.0
2256,1276.0
2259,0.0
2260,954.0
2262,780.0
2263,1033.6666666666667
2267,1257.0
2270,1106.0
2274,1169.0
2285,1288.0
2287,983.0
2290,1092.5
2291,1158.5
2295,1129.0
2296,568.0
2320,802.0
2324,1142.0
2329,797.0
2332,590.0
2337,915.0
2340,1152.0
2344,1067.0
2345,1175.0
2353,1200.0
2358,1133.0
2364,0.0
2365,1097.0
2372,994.0
2374,1140.0
2376,1218.0
2380,915.0
2392,492.5
2398,1015.0
2402,0.0
2403,1196.0
2414,648.0
2417,1116.0
2418,1093.0
2447,748.0
2448,762.0
2450,1140.0
2452,1281.0
2462,1070.0
2466,886.0
2468,1332.0
2473,1330.0
2482,1349.0
2504,1370.0
2514,1216.0
2515,0.0
2519,1281.0
2520,1237.0
2521,1230.0
2524,0.0
2526,1092.5
2531,1203.0
2554,978.0
2555,748.0
2574,1092.0
2576,1312.0
2596,1347.0
2599,1177.0
2601,1611.0
2610,1426.0
2612,1336.0
2614,1066.0
2620,1259.0
2622,1122.0
2624,1254.0
2630,1160.0
2633,0.0
2634,1296.0
2640,1320.0
2643,574.0
2646,1274.0
2654,1142.0
2668,1096.0
2696,1414.0
2704,704.0
2713,1237.0
2715,1540.0
2727,1178.0
2728,880.0
2730,1177.0
2775,1254.0
2784,1392.0
2792,1208.0
2794,1304.0
2810,1357.0
2822,1088.0
2828,1362.0
2868,876.0
2872,1036.5
2898,0.0
2945,1519.0
2978,1080.0
3082,998.0
3086,971.0
3112,1360.0
3140,1174.0
3194,1254.0
3222,1523.0
3228,0.0
3238,1185.0
3279,1589.0
3395,1440.0
3447,1479.0
3493,1818.0
3608,1518.0
3627,1796.0
4316,1872.0
4476,2065.0
4676,1538.0
5642,950.0
