LotArea,GarageCars
8944,3.0
8960,2.0
8963,2.0
8967,1.0
8973,2.0
8978,1.0
8990,2.0
8993,2.0
9000,1.4285714285714286
9017,2.0
9018,2.0
9020,2.0
9022,1.0
9037,2.0
9042,1.5
9056,2.0
9060,1.0
9066,3.0
9069,2.0
9084,1.3333333333333333
9098,0.0
9100,1.625
9101,2.0
9120,1.6666666666666667
9125,2.0
9130,2.0
9135,2.0
9142,1.0
9144,1.0
9150,1.0
9156,2.0
9158,2.0
9170,2.0
9179,2.0
9180,2.0
9187,2.5
9196,2.0
9200,1.6666666666666667
9204,1.0
9206,2.0
9230,2.0
9236,2.0
9240,2.0
9245,2.0
9246,2.0
9247,2.0
9248,2.0
9250,1.0
9262,3.0
9286,1.0
9291,2.0
9297,2.0
9300,2.0
9303,2.0
9313,2.0
9317,2.0
9320,0.0
9337,2.0
9340,1.0
9350,1.5
9353,1.0
9360,2.0
9364,1.0
9375,2.0
9382,2.0
9400,0.0
9405,0.0
9416,3.0
9430,3.0
9439,1.0
9450,2.0
9452,3.0
9453,2.0
9464,1.0
9473,2.0
9477,1.0
9480,1.0
9490,1.0
9492,1.0
9500,2.0
9503,1.0
9505,2.0
9520,3.0
9525,1.0
9531,2.0
9541,2.0
9548,2.0
9549,2.0
9550,3.0
9554,2.0
9560,1.0
9571,1.0
9572,2.0
9587,2.0
9588,3.0
9590,2.0
9591,3.0
9600,1.5416666666666667
9612,3.0
9636,2.0
9638,1.0
9650,2.0
9672,2.0
9675,2.0
9717,1.0
9735,2.0
9738,1.0
9742,2.0
9750,1.6
9758,1.0
9760,2.0
9764,2.0
9765,2.0
9786,1.5
9790,2.0
9800,2.0
9803,2.0
9808,2.0
9819,1.5
9825,0.0
9828,2.0
9830,2.0
9842,2.0
9849,3.0
9855,2.0
9858,1.0
9873,2.0
9880,1.0
9900,1.75
9906,1.0
9920,1.3333333333333333
9937,1.5
9938,2.0
9945,2.0
9947,2.0
9950,3.0
9965,3.0
9967,2.0
9986,3.0
9991,2.0
10000,2.0
10004,2.0
10005,2.0
10007,1.0
10010,2.0
10011,1.0
10012,2.0
10020,0.0
10029,2.0
10041,2.0
10083,2.0
10084,2.5
10106,0.0
10120,2.0
10125,2.0
10134,1.0
10140,2.0
10141,2.0
10142,2.0
10150,1.0
10152,1.0
10159,3.0
10171,2.0
10175,2.0
10182,2.0
10186,2.0
10192,2.0
10197,2.0
10200,1.6666666666666667
10205,1.0
10206,2.5
10207,2.0
10208,3.0
10215,1.0
10226,3.0
10237,2.0
10240,2.5
10246,1.0
10261,2.0
10264,2.0
10267,1.0
10289,2.0
10300,2.0
10304,2.0
10316,3.0
10320,1.0
10335,2.0
10355,1.0
10356,2.0
10357,2.0
10364,2.0
10380,2.0
10382,1.5
10386,3.0
10395,2.0
10400,2.0
10402,3.0
10410,2.0
10420,2.0
10421,2.0
10434,2.0
10437,3.0
10440,2.0
10448,2.0
10452,2.0
10463,3.0
10475,3.0
10480,1.5
10482,1.0
10496,1.0
10500,1.0
10530,2.0
10542,3.0
10552,2.0
10562,3.0
10570,2.0
10574,3.0
10592,1.0
10593,2.0
10594,1.0
10603,2.0
10615,2.0
10624,1.0
10625,2.25
10628,2.0
10634,1.0
10635,2.0
10637,3.0
10650,1.0
10652,3.0
10655,3.0
10656,3.0
10659,1.0
10665,2.0
10667,2.0
10678,2.0
10680,2.0
10690,1.0
10708,1.0
10712,0.0
10721,2.0
10728,3.0
10762,1.5
10768,2.0
10769,2.0
10778,0.0
10780,2.0
10784,2.0
10791,2.0
10793,2.0
10800,1.4285714285714286
10832,2.0
10839,2.0
10846,2.0
10852,2.0
10859,2.0
10880,1.0
10896,0.0
10900,1.0
10918,1.0
10920,1.0
10921,1.0
10927,2.0
10930,1.0
10944,2.0
10970,2.0
10991,3.0
10994,2.0
10998,2.0
11000,2.5
11003,3.0
11029,2.0
11040,1.5
11049,2.0
11050,3.0
11065,3.0
11070,3.0
11075,2.0
11096,3.0
11100,1.0
11103,2.0
11120,2.0
11143,2.0
11146,3.0
11160,2.0
11170,2.0
11175,2.0
11184,2.0
11194,2.0
11198,3.0
11200,1.5
11207,2.0
11210,3.0
11214,2.0
11216,2.0
11218,2.0
11228,3.0
11235,2.0
11241,2.0
11248,3.0
11249,2.0
11250,1.75
11275,2.0
11287,2.0
11302,3.0
11308,3.0
11310,2.0
11316,2.0
11317,2.0
11333,2.0
11340,1.5
11341,2.0
11344,1.0
11345,2.0
11361,2.0
11362,3.0
11367,2.0
11394,3.0
11400,3.0
11404,2.0
11409,1.0
11414,2.0
11423,2.0
11425,1.0
11426,2.0
11428,3.0
11435,2.0
11443,3.0
11457,2.0
11475,2.5
11478,3.0
11500,1.3333333333333333
11512,1.0
11526,2.0
11553,1.0
11584,2.0
11600,1.3333333333333333
11606,2.0
11616,1.5
11625,2.0
11639,2.0
11643,4.0
11645,2.0
11664,1.0
11670,3.0
11694,3.0
11700,2.5
11717,2.0
11751,2.0
11764,3.0
11767,1.0
11777,2.0
11782,2.0
11787,3.0
11796,2.0
11838,2.0
11839,2.0
11841,0.0
11844,3.0
11846,3.0
11851,2.0
11880,2.0
11883,2.0
11885,2.0
11888,2.0
11900,2.0
11911,2.0
11923,2.0
11924,3.0
11932,3.0
11952,2.0
11957,3.0
11988,1.0
11999,3.0
12000,1.5
12003,3.0
12011,2.0
12030,3.0
12046,2.0
12085,3.0
12090,2.0
12095,2.0
12099,3.0
12108,0.0
12118,2.0
12122,2.0
12134,2.0
12137,2.0
12144,1.0
12150,1.0
12155,1.5
12160,2.0
12168,2.0
12180,1.0
12182,2.0
12203,3.0
12205,2.0
12209,2.0
12220,3.0
12224,2.0
12227,2.0
12243,2.0
12244,3.0
12256,2.0
12257,3.0
12274,2.0
12327,2.0
12328,3.0
12342,1.5
12354,2.0
12358,2.0
12376,3.0
12378,3.0
12384,2.0
12393,2.0
12394,2.0
12400,1.0
12416,2.0
12420,2.0
12435,2.0
12438,3.0
12444,3.0
12456,3.0
12461,3.0
12464,2.0
12474,3.0
12493,1.0
12508,1.0
12513,1.0
12537,2.0
12546,2.0
12552,2.0
12589,2.0
12615,2.0
12640,2.0
12665,3.0
12677,2.0
12692,2.0
12702,1.0
12704,3.0
12735,2.0
12772,1.0
12798,2.0
12800,2.0
12803,2.0
12822,2.0
12886,2.0
12898,3.0
12900,2.0
12919,3.0
12925,2.0
12936,2.0
12968,1.0
12984,2.0
13000,1.0
13005,2.0
13006,2.0
13031,2.0
13053,2.0
13072,2.0
13101,2.0
13125,2.0
13132,1.0
13159,2.0
13173,2.0
13175,2.0
13214,3.0
13265,3.0
13284,1.0
13286,3.0
13300,1.0
13346,2.0
13350,2.0
13360,2.0
13400,2.0
13418,3.0
13450,2.0
13472,3.0
13474,3.0
13478,3.0
13500,2.0
13501,3.0
13515,2.0
13517,2.0
13518,3.0
13526,1.0
13560,2.0
13568,2.0
13600,2.0
13650,2.0
13651,2.0
13673,1.0
13680,2.0
13682,3.0
13688,3.0
13693,3.0
13695,2.0
13700,2.0
13704,3.0
13710,1.0
13728,2.0
13758,2.0
13811,2.0
13825,1.0
13837,3.0
13860,2.0
13869,2.0
13891,3.0
13907,0.0
14000,1.5
14006,2.0
14054,3.0
14100,3.0
14112,2.0
14115,2.0
14145,2.0
14154,3.0
14157,3.0
14175,2.0
14191,2.0
14200,2.0
14215,3.0
14226,3.0
14230,3.0
14260,3.0
14303,2.0
14331,3.0
14364,2.0
14375,2.0
14442,2.0
14450,3.0
14536,3.0
14541,3.0
14559,1.0
14572,3.0
14585,2.0
14587,2.0
14598,3.0
14601,3.0
14684,3.0
14720,3.0
14762,2.0
14774,3.0
14778,2.0
14781,3.0
14803,2.5
14850,1.0
14859,3.0
14892,3.0
14948,3.0
14963,2.0
14977,3.0
15138,3.0
15256,3.0
15306,3.0
15384,2.0
15426,2.0
15431,3.0
15498,2.0
15523,1.0
15576,1.0
15578,2.0
15593,2.0
15602,2.0
15611,2.0
15623,3.0
15660,2.0
15750,1.0
15863,2.0
15865,2.0
15870,1.0
16033,3.0
16056,3.0
16059,2.0
16157,2.0
16158,2.0
16196,2.0
16226,2.0
16259,3.0
16285,2.0
16321,1.0
16381,2.0
16466,1.0
16492,2.0
16545,3.0
16560,2.0
16635,2.0
16647,2.0
16659,2.0
16669,2.0
16692,2.0
16737,3.0
16770,2.0
16905,1.0
17043,2.0
17104,2.0
17120,2.0
17140,1.0
17217,0.0
17400,2.0
17423,3.0
17500,2.0
17503,1.0
17542,2.0
17600,2.0
17671,2.0
17755,2.0
17871,2.0
17920,2.0
18000,3.0
18030,0.0
18386,3.0
18450,2.0
18800,2.0
18890,2.0
19138,2.0
19296,2.0
19378,2.0
19690,2.0
19900,2.0
20431,3.0
20544,2.0
20781,2.0
20896,3.0
21000,2.0
21286,1.0
21384,2.0
21453,2.0
21535,3.0
21695,2.0
21750,2.0
21780,2.0
21872,2.0
21930,2.0
22420,3.0
22950,3.0
23257,2.0
23595,2.0
24090,1.0
24682,2.0
25000,2.0
25095,1.0
25286,2.0
25339,2.0
25419,2.0
26142,1.0
26178,2.0
27650,2.0
28698,2.0
29959,2.0
31770,2.0
32463,4.0
32668,2.0
34650,2.0
35133,3.0
35760,3.0
36500,2.0
39104,2.0
40094,3.0
45600,2.0
46589,3.0
50271,3.0
53107,2.0
53227,2.0
53504,3.0
57200,2.0
63887,2.0
70761,2.0
115149,2.0
159000,2.0
164660,2.0
215245,2.0
