Id,FullBath
268,2
269,1
270,1
271,2
272,1
273,2
274,2
275,1
276,2
277,2
278,1
279,2
280,2
281,2
282,2
283,2
284,2
285,2
286,2
287,1
288,1
289,1
290,1
291,2
292,2
293,1
294,2
295,1
296,1
297,1
298,2
299,1
300,1
301,1
302,2
303,2
304,1
305,3
306,2
307,2
308,1
309,1
310,2
311,2
312,1
313,1
314,2
315,1
316,2
317,2
318,2
319,2
320,2
321,3
322,2
323,2
324,1
325,2
326,1
327,1
328,1
329,2
330,1
331,2
332,1
333,2
334,2
335,2
336,2
337,2
338,2
339,2
340,1
341,2
342,1
343,2
344,2
345,1
346,1
347,1
348,2
349,2
350,2
351,2
352,1
353,1
354,1
355,1
356,2
357,2
358,1
359,1
360,2
361,1
362,1
363,3
364,1
365,2
366,1
367,1
368,1
369,1
370,1
371,2
372,2
373,1
374,1
375,2
376,0
377,1
378,3
379,1
380,2
381,2
382,2
383,2
384,1
385,2
386,2
387,1
388,1
389,2
390,2
391,1
392,2
393,1
394,1
395,1
396,1
397,1
398,2
399,1
400,2
401,1
402,2
403,1
404,2
405,2
406,2
407,1
408,2
409,2
410,2
411,1
412,1
413,2
414,1
415,2
416,2
417,1
418,2
419,1
420,1
421,2
422,2
423,1
424,2
425,1
426,1
427,2
428,1
429,2
430,2
431,1
432,1
433,1
434,2
435,1
436,2
437,1
438,1
439,1
440,1
441,2
442,2
443,2
444,2
445,2
446,1
447,2
448,2
449,2
450,1
451,1
452,2
453,2
454,2
455,2
456,1
457,1
458,1
459,1
460,1
461,2
462,1
463,1
464,1
465,2
466,2
467,1
468,1
469,2
470,2
471,1
472,2
473,1
474,2
475,2
476,1
477,2
478,2
479,2
480,1
481,2
482,2
483,1
484,2
485,1
486,1
487,1
488,2
489,2
490,1
491,1
492,1
493,2
494,1
495,1
496,1
497,3
498,2
499,1
500,1
501,1
502,2
503,1
504,2
505,2
506,2
507,2
508,2
509,2
510,1
511,1
512,2
513,1
514,1
515,1
516,2
517,2
518,2
519,2
520,1
521,2
522,1
523,2
524,3
525,2
526,2
527,1
528,2
529,1
530,3
531,2
532,2
533,1
534,1
535,2
536,1
537,2
538,1
539,1
540,2
541,2
542,2
543,2
544,1
545,2
546,2
547,1
548,1
549,1
550,2
551,2
552,1
553,2
554,2
555,2
556,1
557,1
558,1
559,2
560,2
561,1
562,1
563,1
564,2
565,2
566,1
567,2
568,2
569,1
570,1
571,2
572,1
573,2
574,2
575,1
576,1
577,2
578,1
579,2
580,2
581,1
582,2
583,1
584,3
585,1
586,2
587,1
588,1
589,1
590,1
591,2
592,2
593,1
594,1
595,1
596,2
597,1
598,0
599,2
600,2
601,2
602,1
603,2
604,2
605,2
606,2
607,1
608,3
609,2
610,1
611,2
612,2
613,2
614,1
615,1
616,1
617,2
618,1
619,2
620,2
621,1
622,2
623,1
624,2
625,1
626,1
627,1
628,1
629,1
630,1
631,1
632,2
633,2
634,1
635,0
636,2
637,1
638,2
639,1
640,2
641,1
642,2
643,2
644,2
645,2
646,1
647,1
648,1
649,1
650,1
651,2
652,1
653,2
654,1
655,2
656,1
657,1
658,1
659,1
660,1
661,2
662,2
663,1
664,2
665,1
666,2
667,2
668,2
669,1
670,1
671,2
672,2
673,1
674,2
675,1
676,2
677,2
678,1
679,2
680,1
681,2
682,1
683,1
684,2
685,2
686,2
687,3
688,2
689,2
690,2
691,1
692,3
693,2
694,1
695,1
696,2
697,1
698,1
699,1
700,2
701,2
702,1
703,2
704,2
705,2
706,2
707,2
708,2
709,2
710,1
711,1
712,1
713,2
714,1
715,2
716,2
717,1
718,1
719,2
720,1
721,2
722,1
723,1
724,2
725,2
726,1
727,2
728,2
729,2
730,1
731,2
732,2
733,2
734,1
735,1
736,1
737,2
738,2
739,3
740,2
741,2
742,1
743,2
744,2
745,2
746,3
747,2
748,1
749,2
750,2
751,1
752,2
753,2
754,2
755,1
756,2
757,2
758,2
759,2
760,2
761,1
762,1
763,2
764,2
765,1
766,2
767,2
768,2
769,2
770,3
771,1
772,1
773,1
774,1
775,2
776,2
777,2
778,1
779,2
780,1
781,2
782,2
783,2
784,1
785,2
786,2
787,2
788,2
789,1
790,2
791,2
792,1
793,2
794,2
795,2
796,2
797,1
798,1
799,3
800,1
801,2
802,1
803,2
804,3
805,1
806,2
807,2
808,1
809,1
810,2
811,1
812,1
813,1
814,1
815,1
816,2
817,1
818,2
819,1
820,2
821,2
822,1
823,2
824,2
825,2
826,2
827,1
828,2
829,2
830,2
831,1
832,2
833,2
834,1
835,1
836,2
837,1
838,1
839,1
840,1
841,2
842,2
843,1
844,2
845,1
846,2
847,2
848,1
849,3
850,2
851,1
852,2
853,2
854,1
855,1
856,1
857,1
858,2
859,2
860,2
861,1
862,1
863,2
864,1
865,2
866,1
867,2
868,1
869,2
870,2
871,1
872,2
873,1
874,1
875,1
876,2
877,1
878,2
879,1
880,1
881,1
882,2
883,2
884,1
885,1
886,2
887,2
888,1
889,2
890,1
891,1
892,2
893,1
894,1
895,2
896,1
897,1
898,2
899,2
900,1
901,1
902,1
903,2
904,2
905,1
906,1
907,2
908,1
909,1
910,2
911,2
912,1
913,1
914,2
915,2
916,1
917,0
918,1
919,2
920,1
921,2
922,2
923,2
924,2
925,2
926,2
927,2
928,2
929,2
930,2
931,2
932,1
933,2
934,2
935,2
936,1
937,2
938,2
939,2
940,2
941,2
942,2
943,2
944,2
945,1
946,1
947,1
948,2
949,2
950,1
951,1
952,1
953,1
954,2
955,2
956,2
957,1
958,1
959,2
960,2
961,1
962,2
963,2
964,2
965,2
966,2
967,1
968,1
969,1
970,1
971,1
972,2
973,2
974,2
975,1
976,2
977,1
978,1
979,1
980,1
981,1
982,2
983,2
984,2
985,2
986,1
987,1
988,2
989,2
990,2
991,2
992,1
993,2
994,2
995,2
996,1
997,1
998,2
999,1
1000,2
1001,1
1002,1
1003,2
1004,2
1005,2
1006,2
1007,2
1008,1
1009,2
1010,2
1011,2
1012,2
1013,1
1014,1
1015,1
1016,2
1017,2
1018,1
1019,2
1020,2
1021,1
1022,2
1023,1
1024,2
1025,2
1026,1
1027,1
1028,2
1029,1
1030,1
1031,2
1032,2
1033,2
1034,2
1035,1
1036,1
1037,2
1038,2
1039,1
1040,1
1041,2
1042,1
1043,2
1044,2
1045,2
1046,2
1047,3
1048,1
1049,1
1050,1
1051,2
1052,2
1053,1
1054,1
1055,2
1056,2
1057,2
1058,2
1059,2
1060,1
1061,2
1062,1
1063,2
1064,1
1065,1
1066,2
1067,2
1068,1
1069,2
1070,1
1071,1
1072,1
1073,1
1074,1
1075,2
1076,1
1077,2
1078,1
1079,1
1080,1
1081,2
1082,1
1083,2
1084,1
1085,2
1086,1
1087,1
1088,2
1089,2
1090,1
1091,2
1092,2
1093,2
1094,1
1095,1
1096,2
1097,1
1098,1
1099,1
1100,2
1101,1
1102,1
1103,1
1104,1
1105,2
1106,2
1107,2
1108,2
1109,2
1110,2
1111,2
1112,2
1113,1
1114,1
1115,1
1116,2
1117,2
1118,1
1119,1
1120,1
1121,1
1122,2
1123,1
1124,1
1125,2
1126,1
1127,2
1128,2
1129,2
1130,1
1131,2
1132,1
1133,2
1134,2
1135,2
1136,1
1137,1
1138,1
1139,2
1140,1
1141,1
1142,2
1143,3
1144,1
1145,1
1146,1
1147,2
1148,1
1149,1
1150,1
1151,1
1152,1
1153,1
1154,1
1155,1
1156,2
1157,2
1158,2
1159,2
1160,2
1161,2
1162,1
1163,1
1164,0
1165,1
1166,2
1167,2
1168,2
1169,2
1170,3
1171,1
1172,1
1173,2
1174,3
1175,2
1176,2
1177,1
1178,1
1179,1
1180,1
1181,2
1182,2
1183,3
1184,1
1185,1
1186,1
1187,2
1188,2
1189,2
1190,2
1191,1
1192,2
1193,1
1194,2
1195,1
1196,2
1197,2
1198,1
1199,2
1200,1
1201,1
1202,2
1203,1
1204,2
1205,1
1206,2
1207,1
1208,2
1209,1
1210,2
1211,2
1212,2
1213,1
1214,0
1215,1
1216,1
1217,2
1218,2
1219,1
1220,1
1221,1
1222,1
1223,2
1224,2
1225,2
1226,1
1227,2
1228,1
1229,1
1230,2
1231,2
1232,1
1233,2
1234,1
1235,1
1236,1
1237,2
1238,2
1239,1
1240,2
1241,2
1242,2
1243,2
1244,2
1245,1
1246,3
1247,2
1248,1
1249,1
1250,1
1251,2
1252,2
1253,1
1254,2
1255,2
1256,1
1257,2
1258,1
1259,2
1260,1
1261,2
1262,1
1263,1
1264,1
1265,2
1266,2
1267,1
1268,2
1269,3
1270,1
1271,0
1272,2
1273,1
1274,1
1275,2
1276,2
1277,1
1278,1
1279,2
1280,1
1281,2
1282,2
1283,2
1284,2
1285,2
1286,1
1287,1
1288,2
1289,2
1290,2
1291,1
1292,2
1293,2
1294,2
1295,1
1296,1
1297,2
1298,2
1299,2
1300,1
1301,2
1302,1
1303,2
1304,2
1305,2
1306,2
1307,2
1308,1
1309,1
1310,2
1311,2
1312,2
1313,2
1314,2
1315,1
1316,2
1317,2
1318,2
1319,2
1320,1
1321,1
1322,1
1323,2
1324,1
1325,2
1326,1
1327,1
1328,1
1329,2
1330,2
1331,2
1332,1
1333,1
1334,1
1335,1
1336,2
1337,2
1338,1
1339,2
1340,1
1341,1
1342,1
1343,2
1344,1
1345,2
1346,1
1347,2
1348,2
1349,2
1350,2
1351,2
1352,1
1353,1
1354,2
1355,2
1356,3
1357,1
1358,1
1359,2
1360,2
1361,3
1362,2
1363,2
1364,2
1365,2
1366,2
1367,2
1368,2
1369,1
1370,2
1371,1
1372,1
1373,2
1374,2
1375,2
1376,2
1377,1
1378,2
1379,1
1380,2
1381,1
1382,2
1383,1
1384,2
1385,1
1386,1
1387,3
1388,2
1389,2
1390,1
1391,2
1392,2
1393,1
1394,2
1395,2
1396,2
1397,1
1398,1
1399,1
1400,2
1401,1
1402,2
1403,2
1404,2
1405,1
1406,2
1407,1
1408,1
1409,1
1410,2
1411,2
1412,1
1413,2
1414,2
1415,1
1416,2
1417,2
1418,2
1419,1
1420,2
1421,2
1422,2
1423,1
1424,2
1425,1
1426,1
1427,2
1428,1
1429,1
1430,2
1431,2
1432,2
1433,2
1434,2
1435,2
1436,1
1437,1
1438,2
1439,1
1440,2
1441,2
1442,1
1443,2
1444,1
1445,2
1446,1
1447,1
1448,2
1449,1
1450,1
1451,2
1452,2
1453,1
1454,1
1455,2
1456,2
1457,2
1458,2
1459,1
1460,1
