LotArea,OverallCond
10480,5.5
10482,8.0
10496,6.0
10500,6.0
10530,5.0
10542,5.0
10552,5.0
10562,5.0
10570,8.0
10574,5.0
10592,7.0
10593,5.0
10594,5.0
10603,7.0
10615,5.0
10624,4.0
10625,5.25
10628,5.0
10634,6.0
10635,5.0
10637,5.0
10650,6.0
10652,5.0
10655,5.0
10656,5.0
10659,6.0
10665,5.0
10667,6.0
10678,5.0
10680,3.0
10690,7.0
10708,5.0
10712,5.0
10721,6.0
10728,5.0
10762,5.5
10768,8.0
10769,5.0
10778,5.0
10780,5.0
10784,5.0
10791,5.0
10793,5.0
10800,6.214285714285714
10832,5.0
10839,5.0
10846,5.0
10852,5.0
10859,5.0
10880,5.0
10896,7.0
10900,7.0
10918,9.0
10920,5.0
10921,5.0
10927,5.0
10930,6.0
10944,5.0
10970,6.0
10991,5.0
10994,5.0
10998,5.0
11000,5.5
11003,5.0
11029,7.5
11040,6.5
11049,5.0
11050,5.0
11065,5.0
11070,5.0
11075,4.5
11096,5.0
11100,7.0
11103,5.0
11120,6.0
11143,5.0
11146,5.0
11160,5.0
11170,5.0
11175,5.0
11184,5.0
11194,5.0
11198,5.0
11200,5.0
11207,5.0
11210,5.0
11214,5.0
11216,5.0
11218,5.0
11228,5.0
11235,5.0
11241,7.0
11248,5.0
11249,5.0
11250,5.25
11275,7.0
11287,6.0
11302,5.0
11308,5.0
11310,5.0
11316,5.0
11317,5.0
11333,5.0
11340,5.5
11341,6.0
11344,5.0
11345,5.0
11361,5.0
11362,5.0
11367,5.0
11394,2.0
11400,5.0
11404,5.0
11409,4.0
11414,8.0
11423,5.0
11425,6.0
11426,5.0
11428,5.0
11435,7.0
11443,5.0
11457,5.0
11475,5.5
11478,5.0
11500,5.333333333333333
11512,7.0
11526,7.0
11553,5.0
11584,6.0
11600,5.0
11606,5.0
11616,5.0
11625,4.0
11639,5.0
11643,5.0
11645,5.0
11664,5.0
11670,5.0
11694,5.0
11700,6.25
11717,6.0
11751,6.0
11764,7.0
11767,6.5
11777,6.0
11782,7.0
11787,5.0
11796,5.0
11838,5.0
11839,5.0
11841,5.0
11844,5.0
11846,5.0
11851,5.0
11880,5.0
11883,5.0
11885,5.0
11888,6.0
11900,5.0
11911,5.0
11923,5.0
11924,5.0
11932,5.0
11952,6.0
11957,5.0
11988,6.5
11999,5.0
12000,7.0
12003,5.0
12011,5.0
12030,5.0
12046,6.0
12085,5.0
12090,6.0
12095,6.0
12099,5.0
12108,4.0
12118,5.0
12122,9.0
12134,7.0
12137,5.0
12144,7.0
12150,5.0
12155,5.5
12160,4.5
12168,6.0
12180,4.0
12182,5.0
12203,5.0
12205,8.0
12209,5.0
12220,5.0
12224,5.0
12227,7.0
12243,6.0
12244,5.0
12256,5.0
12257,5.0
12274,5.0
12327,8.0
12328,5.0
12342,5.0
12354,8.0
12358,6.0
12376,5.0
12378,5.0
12384,7.0
12393,5.0
12394,5.0
12400,7.0
12416,5.0
12420,5.0
12435,5.0
12438,5.0
12444,5.0
12456,5.0
12461,5.0
12464,5.0
12474,5.0
12493,5.0
12508,7.0
12513,4.0
12537,6.0
12546,7.0
12552,5.0
12589,5.0
12615,7.0
12640,5.0
12665,6.5
12677,5.0
12692,5.0
12702,5.0
12704,5.0
12735,5.0
12772,8.0
12798,5.0
12800,5.0
12803,5.0
12822,5.0
12886,6.0
12898,5.0
12900,4.0
12919,5.0
12925,7.0
12936,6.0
12968,6.0
12984,6.0
13000,6.0
13005,7.0
13006,5.0
13031,5.0
13053,7.0
13072,5.0
13101,5.0
13125,5.0
13132,5.0
13159,5.0
13173,5.0
13175,6.0
13214,5.0
13265,5.0
13284,5.0
13286,5.0
13300,7.0
13346,5.0
13350,5.0
13360,7.0
13400,5.0
13418,5.0
13450,5.0
13472,5.0
13474,5.0
13478,5.0
13500,8.0
13501,5.0
13515,6.0
13517,8.0
13518,5.0
13526,6.0
13560,3.0
13568,5.0
13600,5.5
13650,5.0
13651,6.0
13673,5.0
13680,5.0
13682,5.0
13688,5.0
13693,5.0
13695,5.0
13700,6.0
13704,5.0
13710,5.0
13728,7.0
13758,5.0
13811,6.0
13825,6.0
13837,5.0
13860,7.0
13869,6.0
13891,5.0
13907,6.0
14000,6.5
14006,5.0
14054,5.0
14100,9.0
14112,7.0
14115,5.666666666666667
14145,7.0
14154,5.0
14157,5.0
14175,6.0
14191,5.0
14200,6.0
14215,5.0
14226,5.0
14230,5.0
14260,5.0
14303,5.0
14331,5.0
14364,5.0
14375,6.0
14442,7.0
14450,5.0
14536,5.0
14541,7.0
14559,7.0
14572,5.0
14585,6.0
14587,5.0
14598,5.0
14601,5.0
14684,7.0
14720,5.0
14762,6.0
14774,5.0
14778,7.0
14781,5.0
14803,5.0
14850,5.0
14859,5.0
14892,5.0
14948,5.0
14963,5.0
14977,5.0
15138,5.0
15256,5.0
15306,5.0
15384,5.0
15426,5.0
15431,5.0
15498,6.0
15523,6.0
15576,7.0
15578,5.0
15593,4.0
15602,8.0
15611,5.5
15623,5.0
15660,9.0
15750,5.0
15863,3.0
15865,6.0
15870,5.0
16033,5.0
16056,5.0
16059,5.0
16157,7.0
16158,5.0
16196,5.0
16226,5.0
16259,5.0
16285,5.0
16321,6.0
16381,5.0
16466,7.0
16492,6.0
16545,5.0
16560,8.0
16635,7.0
16647,5.0
16659,7.0
16669,6.0
16692,5.0
16737,5.0
16770,5.0
16905,6.0
17043,5.0
17104,5.0
17120,4.0
17140,6.0
17217,5.0
17400,5.0
17423,5.0
17500,8.0
17503,5.0
17542,7.0
17600,5.0
17671,9.0
17755,4.0
17871,5.0
17920,4.0
18000,4.0
18030,6.0
18386,9.0
18450,5.0
18800,5.0
18890,5.0
19138,5.0
19296,5.0
19378,5.0
19690,7.0
19900,5.0
20431,5.0
20544,6.0
20781,7.0
20896,5.0
21000,5.0
21286,5.0
21384,6.0
21453,5.0
21535,6.0
21695,9.0
21750,4.5
21780,7.0
21872,5.0
21930,5.0
22420,6.0
22950,9.0
23257,5.0
23595,6.0
24090,7.0
24682,5.0
25000,4.0
25095,8.0
25286,5.0
25339,7.0
25419,4.0
26142,7.0
26178,5.0
27650,7.0
28698,5.0
29959,6.0
31770,5.0
32463,4.0
32668,3.0
34650,5.0
35133,4.0
35760,5.0
36500,5.0
39104,7.0
40094,5.0
45600,8.0
46589,7.0
50271,5.0
53107,5.0
53227,6.0
53504,5.0
57200,5.0
63887,5.0
70761,5.0
115149,5.0
159000,7.0
164660,6.0
215245,5.0
