Id,1stFlrSF
335,943
336,1619
337,1922
338,1536
339,1621
340,1215
341,993
342,841
343,1040
344,1684
345,536
346,972
347,958
348,1478
349,764
350,1848
351,1869
352,1453
353,616
354,720
355,1192
356,1200
357,1167
358,1142
359,1352
360,1086
361,912
362,988
363,495
364,483
365,790
366,672
367,1394
368,1431
369,1268
370,1287
371,953
372,1120
373,752
374,1319
375,847
376,904
377,914
378,1580
379,1856
380,1007
381,1026
382,1301
383,939
384,784
385,1079
386,1269
387,658
388,1125
389,1479
390,1742
391,961
392,804
393,882
394,788
395,735
396,1144
397,894
398,876
399,1077
400,1112
401,1288
402,1310
403,672
404,1165
405,806
406,1620
407,1166
408,840
409,1071
410,1050
411,1276
412,1056
413,1478
414,1028
415,1080
416,1340
417,672
418,1370
419,756
420,1056
421,1344
422,1602
423,988
424,1470
425,1196
426,707
427,1644
428,907
429,1208
430,1412
431,483
432,1088
433,765
434,926
435,630
436,827
437,734
438,904
439,694
440,684
441,2402
442,1440
443,1128
444,1258
445,933
446,1689
447,1888
448,956
449,780
450,679
451,813
452,1533
453,888
454,786
455,1728
456,1242
457,624
458,1663
459,833
460,979
461,832
462,575
463,864
464,849
465,1040
466,1414
467,1277
468,888
469,1634
470,832
471,1502
472,1161
473,1072
474,1976
475,1652
476,970
477,1493
478,2069
479,1718
480,1131
481,1850
482,1792
483,916
484,1216
485,999
486,1113
487,1073
488,1484
489,1766
490,630
491,616
492,958
493,728
494,1269
495,886
496,720
497,3228
498,1133
499,899
500,912
501,672
502,866
503,1214
504,1801
505,855
506,960
507,1065
508,1218
509,689
510,1041
511,1363
512,1368
513,864
514,1080
515,789
516,2020
517,1378
518,1277
519,882
520,1276
521,694
522,1244
523,1004
524,3138
525,1383
526,1266
527,928
528,1476
529,605
530,2515
531,1509
532,751
533,827
534,334
535,707
536,820
537,880
538,864
539,1159
540,1601
541,1838
542,997
543,1680
544,767
545,664
546,1377
547,915
548,768
549,825
550,912
551,1069
552,928
553,1717
554,1126
555,1006
556,1048
557,1092
558,897
559,729
560,1557
561,1392
562,1389
563,996
564,1163
565,1166
566,841
567,1134
568,1535
569,1496
570,943
571,1728
572,864
573,846
574,774
575,576
576,832
577,877
578,1320
579,703
580,1050
581,1429
582,2042
583,816
584,1521
585,989
586,2028
587,838
588,860
589,1473
590,779
591,770
592,1728
593,816
594,848
595,924
596,1826
597,684
598,1402
599,1647
600,716
601,1058
602,780
603,927
604,600
605,1494
606,1186
607,1040
608,1112
609,1940
610,1029
611,1476
612,1032
613,1299
614,1120
615,630
616,1054
617,807
618,832
619,1828
620,1482
621,864
622,1548
623,980
624,756
625,1012
626,1116
627,1422
628,1520
629,1040
630,1350
631,1089
632,1554
633,1411
634,1056
635,1056
636,1440
637,800
638,811
639,796
640,1567
641,1518
642,1057
643,2000
644,780
645,1766
646,981
647,1048
648,1094
649,1051
650,630
651,822
652,755
653,909
654,756
655,2113
656,525
657,1053
658,851
659,912
660,1486
661,1142
662,1686
663,1392
664,1181
665,2097
666,1454
667,1465
668,1679
669,1437
670,1180
671,738
672,697
673,1208
674,1839
675,1136
676,855
677,1095
678,792
679,2046
680,988
681,923
682,848
683,1291
684,1668
685,1195
686,1190
687,874
688,551
689,1419
690,1362
691,848
692,2444
693,1238
694,1073
695,1067
696,1137
697,616
698,1148
699,894
700,1391
701,1800
702,1164
703,1264
704,1032
705,1484
706,372
707,1824
708,1324
709,728
710,904
711,729
712,859
713,1228
714,960
715,725
716,1350
717,1576
718,1178
719,1325
720,971
721,1742
722,848
723,864
724,997
725,1698
726,864
727,1680
728,1232
729,1776
730,848
731,1616
732,1146
733,1153
734,1144
735,948
736,880
737,1040
738,901
739,1200
740,864
741,768
742,912
743,1349
744,1464
745,1337
746,1175
747,980
748,1320
749,1720
750,1088
751,792
752,660
753,1494
754,1038
755,1026
756,742
757,866
758,672
759,757
760,1328
761,864
762,1301
763,764
764,1268
765,1494
766,1506
767,980
768,983
769,1836
770,1690
771,858
772,1220
773,1117
774,912
775,1973
776,1204
777,1614
778,894
779,2020
780,1004
781,1253
782,810
783,1430
784,1110
785,742
786,1342
787,966
788,956
789,901
790,976
791,1145
792,1062
793,1127
794,1496
795,1086
796,888
797,1285
798,773
799,1966
800,981
801,616
802,1196
803,728
804,1734
805,1128
806,1428
807,980
808,1072
809,1086
810,1075
811,1309
812,848
813,1044
814,1442
815,686
816,1661
817,1008
818,1689
819,1052
820,1358
821,798
822,936
823,847
824,944
825,1489
826,2084
827,784
828,1434
829,1160
830,520
831,1392
832,520
833,941
834,1516
835,1144
836,1067
837,1559
838,483
839,1099
840,768
841,810
842,958
843,1165
844,1800
845,876
846,1701
847,1006
848,864
849,1307
850,1094
851,848
852,1456
853,918
854,1445
855,1779
856,1040
857,1026
858,702
859,1370
860,1512
861,912
862,1039
863,1097
864,1148
865,1372
866,1002
867,1646
868,1120
869,1547
870,1062
871,894
872,804
873,910
874,1036
875,676
876,1184
877,1040
878,1462
879,1155
880,864
881,1090
882,1187
883,808
884,954
885,892
886,1709
887,1712
888,872
889,2217
890,1505
891,672
892,918
893,1068
894,1383
895,1535
896,983
897,951
898,1120
899,2364
900,1236
901,858
902,1306
903,807
904,1670
905,902
906,1063
907,1636
908,1020
909,902
910,742
911,1105
912,1268
913,1015
914,1001
915,612
916,546
917,480
918,1229
919,912
920,1414
921,936
922,1272
923,1316
924,1617
925,1686
926,1126
927,1234
928,1098
929,1788
930,993
931,1466
932,925
933,1905
934,1500
935,2069
936,747
937,1200
938,1113
939,1391
940,1207
941,1728
942,1022
943,1440
944,1632
945,1344
946,1188
947,1144
948,1629
949,936
950,1381
951,864
952,965
953,768
954,1168
955,980
956,979
957,561
958,1057
959,1337
960,696
961,858
962,1542
963,804
964,1800
965,824
966,783
967,976
968,1098
969,600
970,1095
971,720
972,764
973,918
974,1428
975,1136
976,673
977,869
978,1241
979,894
980,1121
981,999
982,1276
983,1266
984,1149
985,1302
986,1164
987,1001
988,1940
989,1118
990,778
991,1407
992,916
993,1020
994,750
995,1718
996,774
997,1050
998,1442
999,1077
1000,1208
1001,944
1002,691
1003,1574
1004,1680
1005,1504
1006,985
1007,1657
1008,546
1009,1710
1010,1008
1011,720
1012,1664
1013,900
1014,1022
1015,1082
1016,810
1017,1504
1018,1360
1019,802
1020,1506
1021,1132
1022,1220
1023,912
1024,1504
1025,2898
1026,882
1027,1264
1028,1646
1029,968
1030,672
1031,948
1032,1687
1033,1352
1034,1654
1035,954
1036,845
1037,1620
1038,1055
1039,798
1040,630
1041,1803
1042,800
1043,1306
1044,1532
1045,2524
1046,1733
1047,1992
1048,990
1049,1771
1050,930
1051,1302
1052,1316
1053,1127
1054,1526
1055,1091
1056,1523
1057,1364
1058,979
1059,1130
1060,1096
1061,1338
1062,894
1063,1422
1064,1103
1065,1154
1066,1306
1067,799
1068,798
1069,1291
1070,893
1071,1048
1072,829
1073,1002
1074,698
1075,1240
1076,960
1077,1096
1078,1096
1079,848
1080,990
1081,1258
1082,1040
1083,1459
1084,1251
1085,691
1086,996
1087,546
1088,1082
1089,970
1090,1247
1091,1040
1092,624
1093,1390
1094,1200
1095,936
1096,1314
1097,773
1098,1088
1099,757
1100,1601
1101,438
1102,950
1103,1134
1104,1194
1105,630
1106,1500
1107,1442
1108,887
1109,948
1110,1836
1111,773
1112,1098
1113,816
1114,1008
1115,833
1116,1734
1117,779
1118,894
1119,1021
1120,1040
1121,1012
1122,1552
1123,960
1124,698
1125,812
1126,1005
1127,1555
1128,1530
1129,847
1130,936
1131,1328
1132,974
1133,1178
1134,1142
1135,916
1136,986
1137,1032
1138,780
1139,1567
1140,1167
1141,952
1142,1088
1143,1466
1144,1006
1145,672
1146,1042
1147,1298
1148,860
1149,572
1150,832
1151,932
1152,1466
1153,1811
1154,816
1155,902
1156,1437
1157,1265
1158,1314
1159,1580
1160,943
1161,855
1162,1640
1163,894
1164,1258
1165,1432
1166,1502
1167,1694
1168,959
1169,1236
1170,1831
1171,1118
1172,1261
1173,625
1174,1636
1175,1170
1176,2129
1177,923
1178,818
1179,820
1180,1124
1181,1298
1182,1652
1183,2411
1184,1130
1185,1572
1186,949
1187,1014
1188,1624
1189,831
1190,1028
1191,1622
1192,764
1193,842
1194,1224
1195,663
1196,728
1197,879
1198,815
1199,1212
1200,1382
1201,864
1202,866
1203,884
1204,1630
1205,1074
1206,2196
1207,1056
1208,1700
1209,1283
1210,1660
1211,1055
1212,1080
1213,672
1214,960
1215,999
1216,894
1217,1318
1218,1314
1219,672
1220,672
1221,912
1222,1211
1223,1168
1224,2136
1225,788
1226,1138
1227,894
1228,912
1229,1702
1230,1507
1231,1361
1232,1190
1233,1224
1234,1188
1235,1024
1236,892
1237,764
1238,847
1239,1141
1240,1484
1241,884
1242,1689
1243,1173
1244,2076
1245,792
1246,1140
1247,756
1248,1034
1249,1134
1250,988
1251,2110
1252,1405
1253,874
1254,1516
1255,760
1256,959
1257,1987
1258,864
1259,1166
1260,1054
1261,892
1262,1050
1263,1104
1264,1060
1265,1337
1266,713
1267,964
1268,2018
1269,1968
1270,874
1271,1332
1272,1489
1273,935
1274,1357
1275,661
1276,928
1277,735
1278,1724
1279,1128
1280,698
1281,1573
1282,1339
1283,1040
1284,912
1285,1699
1286,825
1287,1328
1288,1582
1289,1659
1290,1120
1291,1152
1292,630
1293,1378
1294,832
1295,864
1296,1052
1297,1128
1298,1072
1299,4692
1300,1246
1301,1005
1302,753
1303,1203
1304,1616
1305,976
1306,1652
1307,1368
1308,990
1309,1122
1310,1294
1311,1902
1312,1274
1313,1453
1314,1422
1315,948
1316,1092
1317,1630
1318,1352
1319,1787
1320,948
1321,1478
1322,720
1323,1061
1324,708
1325,1795
1326,796
1327,774
1328,816
1329,1584
1330,955
1331,1588
1332,954
1333,816
1334,803
1335,765
1336,1334
1337,1656
1338,693
1339,920
1340,864
1341,872
1342,1114
1343,1284
1344,1172
1345,728
1346,960
1347,2156
1348,1776
1349,1494
1350,938
1351,1338
1352,858
1353,786
1354,2053
1355,992
1356,1222
1357,892
1358,1078
1359,769
1360,1980
1361,990
1362,1530
1363,1281
1364,616
1365,520
1366,814
1367,882
1368,925
1369,848
1370,1668
1371,840
1372,1661
1373,1108
1374,2633
1375,1026
1376,1571
1377,790
1378,984
1379,483
1380,754
1381,864
1382,2117
1383,998
1384,1416
1385,698
1386,796
1387,1392
1388,1664
1389,1746
1390,869
1391,1525
1392,1584
1393,900
1394,1221
1395,1500
1396,1133
1397,1687
1398,939
1399,1136
1400,1160
1401,950
1402,864
1403,1294
1404,1464
1405,694
1406,1646
1407,768
1408,833
1409,741
1410,1236
1411,944
1412,1112
1413,1040
1414,1844
1415,1053
1416,1569
1417,1246
1418,1310
1419,1144
1420,1844
1421,708
1422,1069
1423,848
1424,1575
1425,1344
1426,1252
1427,1223
1428,1048
1429,804
1430,1440
1431,734
1432,958
1433,968
1434,962
1435,1126
1436,1537
1437,864
1438,1932
1439,1236
1440,1040
1441,1423
1442,848
1443,1026
1444,952
1445,1422
1446,913
1447,1188
1448,1220
1449,796
1450,630
1451,896
1452,1578
1453,1072
1454,1140
1455,1221
1456,953
1457,2073
1458,1188
1459,1078
1460,1256
